percentage,n_points,sample_path,bottleneck_h0,bottleneck_h1,wasserstein_h0,wasserstein_h1,normalized_bottleneck_h0,normalized_bottleneck_h1,normalized_wasserstein_h0,normalized_wasserstein_h1
1,8,counties/IL/Cook/samples/fps__pct01.csv,0.009307875727625085,0.004665866884019782,0.05731192670637422,0.015337946039510896,8.145934315206908,2.4536017718360243,1.5000807882004563,0.851270829508473
2,16,counties/IL/Cook/samples/fps__pct02.csv,0.0028875590561252967,0.0020589638895790185,0.04753923709137485,0.016628042182360088,2.527092871756589,1.0827307278996203,1.2442906798760016,0.9228724123305713
3,25,counties/IL/Cook/samples/fps__pct03.csv,0.0026810952499998894,0.0014090084317640373,0.0442978216484998,0.017862975454279624,2.3464028139624564,0.7409438954524367,1.1594499615148033,0.9914124025004727
4,33,counties/IL/Cook/samples/fps__pct04.csv,0.00193622849299989,0.0014090084317640373,0.040704542907874494,0.01823475360523735,1.69452091806489,0.7409438954524367,1.0653995829072795,1.0120464492068335
5,41,counties/IL/Cook/samples/fps__pct05.csv,0.001142640655750078,0.001901639841304942,0.038205893413998986,0.018017704246211613,1.0,1.0,1.0,1.0
6,49,counties/IL/Cook/samples/fps__pct06.csv,0.001142640655750078,0.0010927861071433568,0.036984136802247665,0.015335456797159955,1.0,0.5746546130383269,0.9680217761560405,0.8511326741521121
7,57,counties/IL/Cook/samples/fps__pct07.csv,0.0009268143526252119,0.0011228415217272292,0.03334647567637509,0.013858368312174947,0.8111162052227272,0.5904596114039731,0.8728097342217009,0.7691528356110516
8,66,counties/IL/Cook/samples/fps__pct08.csv,0.0009268143526252119,0.000693112050448907,0.03076559557625306,0.011932901396745249,0.8111162052227272,0.3644812416073908,0.8052578496955202,0.6622875608169809
9,74,counties/IL/Cook/samples/fps__pct09.csv,0.0008149322556249851,0.000693112050448907,0.028787813118002565,0.01198735862055269,0.7132008226068491,0.3644812416073908,0.7534914262063677,0.665309989371878
10,82,counties/IL/Cook/samples/fps__pct10.csv,0.0007762737285002795,0.0006973016112248086,0.026451060971254436,0.011619844795741524,0.6793682025874532,0.3666843721292181,0.6923293399955549,0.6449126168881756
11,90,counties/IL/Cook/samples/fps__pct11.csv,0.0005733770162501888,0.0006961543211056188,0.024895168653378947,0.010954119429916642,0.5017999432847063,0.36608105593112955,0.6516054573993323,0.6079642156530484
12,99,counties/IL/Cook/samples/fps__pct12.csv,0.0005733770162501888,0.0006961543211056188,0.02319417414750322,0.009166396651166066,0.5017999432847063,0.36608105593112955,0.6070836741382067,0.5087438735760903
13,107,counties/IL/Cook/samples/fps__pct13.csv,0.0005733770162501888,0.0006961543211056188,0.02187497417150232,0.008243174742803101,0.5017999432847063,0.36608105593112955,0.5725549703671406,0.4575041653564884
14,115,counties/IL/Cook/samples/fps__pct14.csv,0.0005733770162501888,0.0004877195793549648,0.020382644872125738,0.007819559201004139,0.5017999432847063,0.256473160038697,0.5334947844632093,0.433993093356956
15,123,counties/IL/Cook/samples/fps__pct15.csv,0.00045181218775030337,0.0004877195793549648,0.018472500757625625,0.007750389255498649,0.39541056540974784,0.256473160038697,0.4834987251170295,0.43015409452778863
16,131,counties/IL/Cook/samples/fps__pct16.csv,0.0002912200037506282,0.0004877195793549648,0.01685931609775299,0.007326942780405893,0.2548657815430687,0.256473160038697,0.4412752743422454,0.40665240589385576
17,140,counties/IL/Cook/samples/fps__pct17.csv,0.0002912200037506282,0.0005580312442894972,0.01513723357187794,0.006843511560013052,0.2548657815430687,0.2934473879694093,0.39620153382754086,0.3798215059197657
18,148,counties/IL/Cook/samples/fps__pct18.csv,0.0002912200037506282,0.0004175744004887395,0.013964026772252716,0.0056422224806654,0.2548657815430687,0.21958648079343554,0.36549405142653124,0.3131488009551344
19,156,counties/IL/Cook/samples/fps__pct19.csv,0.0002912200037506282,0.0004175744004887395,0.012692779886127258,0.005290593990603719,0.2548657815430687,0.21958648079343554,0.33222047050669173,0.293633079903402
20,164,counties/IL/Cook/samples/fps__pct20.csv,0.0002912200037506282,0.0004175744004887395,0.011998675794751267,0.00513573874265868,0.2548657815430687,0.21958648079343554,0.3140530091714815,0.2850384639729291
21,172,counties/IL/Cook/samples/fps__pct21.csv,0.00021950699399968568,0.0004170867856741829,0.011079686216375543,0.004739296462446827,0.19210500947525969,0.21933006272521607,0.2899994013048219,0.2630355342547765
22,181,counties/IL/Cook/samples/fps__pct22.csv,0.00021950699399968568,0.0004170867856741829,0.010283016038626578,0.00452229120614396,0.19210500947525969,0.21933006272521607,0.26914737805499894,0.2509915327916881
23,189,counties/IL/Cook/samples/fps__pct23.csv,0.00021950699399968568,0.0004100175181203832,0.009361754064375971,0.0042308054748491876,0.19210500947525969,0.2156126040349582,0.24503429256141251,0.2348137929802435
24,197,counties/IL/Cook/samples/fps__pct24.csv,0.00021950699399968568,0.00028630533592888827,0.008671502783250401,0.00370324923975198,0.19210500947525969,0.15055707695544493,0.2269676745753859,0.2055339120426856
25,205,counties/IL/Cook/samples/fps__pct25.csv,0.00021950699399968568,0.00020854339283709144,0.008072056238251394,0.00317886968374938,0.19210500947525969,0.10966503136260804,0.2112777772471542,0.17643033986517825
26,213,counties/IL/Cook/samples/fps__pct26.csv,0.00021950699399968568,0.00020854339283709144,0.007150525237126033,0.0031182975058984637,0.19210500947525969,0.10966503136260804,0.18715765025157127,0.1730685254506891
