percentage,n_points,sample_path,bottleneck_h0,bottleneck_h1,wasserstein_h0,wasserstein_h1,normalized_bottleneck_h0,normalized_bottleneck_h1,normalized_wasserstein_h0,normalized_wasserstein_h1
1,7,counties/NC/Mecklenburg/samples/fps__pct01.csv,0.005433977282024599,0.003262038179681629,0.028090225435875527,0.0073629871742224694,8.923458950242527,6.663373313674895,1.6398778516484551,1.1170459682762586
2,14,counties/NC/Mecklenburg/samples/fps__pct02.csv,0.0023319647239217296,0.001728205988821843,0.02391477159737474,0.008994151843149547,3.8294586832678252,3.5302105714693135,1.3961192429477576,1.3645115517284099
3,21,counties/NC/Mecklenburg/samples/fps__pct03.csv,0.0010638324323432274,0.0009758752046603592,0.021175461810249912,0.009207459385646748,1.7469828354553791,1.9934226511246755,1.2362012152706743,1.3968726471250723
4,29,counties/NC/Mecklenburg/samples/fps__pct04.csv,0.000801828810281108,0.0006324235168122102,0.018947071446875494,0.007254210707148818,1.316731024499134,1.2918530540553625,1.1061101268218976,1.1005433843231922
5,36,counties/NC/Mecklenburg/samples/fps__pct05.csv,0.000608954141250004,0.0004895475648928625,0.017129462055749077,0.00659148090886938,1.0,1.0,1.0,1.0
6,43,counties/NC/Mecklenburg/samples/fps__pct06.csv,0.0005852725913125037,0.0005151448231879141,0.015523718192750342,0.006632857709566167,0.9611111111111109,1.0522875816993464,0.9062583601415664,1.006277314805101
7,50,counties/NC/Mecklenburg/samples/fps__pct07.csv,0.00046924524541774827,0.0005164222075800804,0.014543134639876165,0.006473332666315939,0.7705756700406464,1.0548968979002058,0.8490129224458117,0.9820756148448427
8,57,counties/NC/Mecklenburg/samples/fps__pct08.csv,0.00046924524541774827,0.0005164222075800804,0.013404970531001027,0.006129917787746572,0.7705756700406464,1.0548968979002058,0.7825680974319904,0.9299758085467961
9,64,counties/NC/Mecklenburg/samples/fps__pct09.csv,0.00037664829202913757,0.0005151709911944944,0.011469914478250527,0.005634615568299396,0.6185166772262839,1.0523410351499545,0.6696015578843549,0.8548330255675257
10,72,counties/NC/Mecklenburg/samples/fps__pct10.csv,0.00023009278153123805,0.0002289247582687904,0.010396845442749436,0.004869146316605805,0.3778491120183946,0.46762515981238834,0.6069569148705399,0.7387029385238707
11,79,counties/NC/Mecklenburg/samples/fps__pct11.csv,0.00021467419307811387,0.00027822692168934823,0.00957529979074814,0.004575095296663768,0.3525293261614919,0.5683348087948067,0.5589959427555069,0.6940921713825493
12,86,counties/NC/Mecklenburg/samples/fps__pct12.csv,0.00021467419307811387,0.00027822692168934823,0.009040097797999509,0.004423574521724638,0.3525293261614919,0.5683348087948067,0.5277514126583692,0.6711048067775414
13,93,counties/NC/Mecklenburg/samples/fps__pct13.csv,0.00018146492564061553,0.00018191760264303538,0.008185787463373267,0.003913709044640661,0.29799440277739364,0.3716035288273736,0.4778776727915931,0.5937526177728049
14,100,counties/NC/Mecklenburg/samples/fps__pct14.csv,0.00015893006559374175,0.00018191760264303538,0.00730109688912386,0.003631485765450727,0.2609885619096128,0.3716035288273736,0.4262303664506165,0.5509362487213251
15,107,counties/NC/Mecklenburg/samples/fps__pct15.csv,0.00015893006559374175,0.00018191760264303538,0.006662045110125375,0.0034058189523348058,0.2609885619096128,0.3716035288273736,0.38892319492832095,0.5167001163201422
16,115,counties/NC/Mecklenburg/samples/fps__pct16.csv,0.00015893006559374175,0.00018191760264303538,0.00635623636237401,0.0031558376640519453,0.2609885619096128,0.3716035288273736,0.37107040149230475,0.4787752111677219
17,122,counties/NC/Mecklenburg/samples/fps__pct17.csv,0.00015774402032811682,0.00012395366062442116,0.006093989552873678,0.002719519246827915,0.25904088607446646,0.25320044366178884,0.3557607082487673,0.41258091837428795
18,129,counties/NC/Mecklenburg/samples/fps__pct18.csv,0.00015774402032811682,0.00014446397856946927,0.005729660588875309,0.0026423748297997526,0.25904088607446646,0.2950969199511496,0.3344915660648135,0.4008772635970499
19,136,counties/NC/Mecklenburg/samples/fps__pct19.csv,0.00014469752240624245,0.00012395366062442116,0.005282484781125695,0.002419573620907483,0.23761645188785635,0.25320044366178884,0.30838591217479366,0.36707587480861054
20,143,counties/NC/Mecklenburg/samples/fps__pct20.csv,0.00014469752240624245,0.00012395366062442116,0.00481157889887599,0.0023233077426428345,0.23761645188785635,0.25320044366178884,0.2808949214643377,0.3524712844903537
21,150,counties/NC/Mecklenburg/samples/fps__pct21.csv,0.00014469752240624245,0.00012395366062442116,0.004572203235500755,0.002261453160927498,0.23761645188785635,0.25320044366178884,0.2669204217050242,0.3430872655467342
22,158,counties/NC/Mecklenburg/samples/fps__pct22.csv,0.00014469752240624245,0.00012395366062442116,0.004202411345625157,0.002061355584859252,0.23761645188785635,0.25320044366178884,0.24533235964726177,0.3127302670459879
23,165,counties/NC/Mecklenburg/samples/fps__pct23.csv,0.00014469752240624245,0.00012395366062442116,0.003750262950125777,0.0019160543567400524,0.23761645188785635,0.25320044366178884,0.21893641130820538,0.2906864759574504
24,172,counties/NC/Mecklenburg/samples/fps__pct24.csv,7.590689699999605e-05,0.00012395366062442116,0.0033503306699984685,0.001964260353174223,0.12465125344936728,0.25320044366178884,0.19558878493058185,0.29799985471112406
25,179,counties/NC/Mecklenburg/samples/fps__pct25.csv,7.590689699999605e-05,0.00012395366062442116,0.0031431833148738496,0.0017733178758427362,0.12465125344936728,0.25320044366178884,0.18349573995050933,0.26903178517237164
26,186,counties/NC/Mecklenburg/samples/fps__pct26.csv,5.4558082218747166e-05,9.363406018391527e-05,0.002837167925248015,0.0016757434873594013,0.08959308841673275,0.19126652219055992,0.16563088297894274,0.254228679492123
27,193,counties/NC/Mecklenburg/samples/fps__pct27.csv,5.4558082218747166e-05,9.363406018391527e-05,0.0026951143786237324,0.0015750957304158,0.08959308841673275,0.19126652219055992,0.15733794615687796,0.23895931008407822
28,200,counties/NC/Mecklenburg/samples/fps__pct28.csv,5.4558082218747166e-05,6.91108539452708e-05,0.002547870601499933,0.001504723390014275,0.08959308841673275,0.1411729092358895,0.14874200913068392,0.22828305365939022
29,208,counties/NC/Mecklenburg/samples/fps__pct29.csv,5.4558082218747166e-05,6.91108539452708e-05,0.002327241618623796,0.0014435334252760285,0.08959308841673275,0.1411729092358895,0.13586192088517546,0.2189998644058326
30,215,counties/NC/Mecklenburg/samples/fps__pct30.csv,5.4558082218747166e-05,6.91108539452708e-05,0.002086584506872974,0.001344023738483183,0.08959308841673275,0.1411729092358895,0.12181261151588026,0.20390315273077533
31,222,counties/NC/Mecklenburg/samples/fps__pct31.csv,3.9436005082029205e-05,6.91108539452708e-05,0.0018820829697481836,0.0012145521229977394,0.06476022151861661,0.1411729092358895,0.10987402661115732,0.18426088761987608
32,229,counties/NC/Mecklenburg/samples/fps__pct32.csv,3.9436005082029205e-05,6.91108539452708e-05,0.00175307986099847,0.0011049907940806514,0.06476022151861661,0.1411729092358895,0.10234296064248512,0.1676392315107513
33,236,counties/NC/Mecklenburg/samples/fps__pct33.csv,3.9436005082029205e-05,6.91108539452708e-05,0.0016280951311239875,0.0010357284459147338,0.06476022151861661,0.1411729092358895,0.09504648341116807,0.157131373091148
34,243,counties/NC/Mecklenburg/samples/fps__pct34.csv,3.9436005082029205e-05,6.91108539452708e-05,0.0014801459468762126,0.0010053652589377723,0.06476022151861661,0.1411729092358895,0.08640936545811947,0.15252494436947706
35,251,counties/NC/Mecklenburg/samples/fps__pct35.csv,3.9436005082029205e-05,6.910478803166342e-05,0.0013555092307513709,0.0009020615262005652,0.06476022151861661,0.14116051837942858,0.07913320490391162,0.13685263428234573
36,258,counties/NC/Mecklenburg/samples/fps__pct36.csv,3.9436005082029205e-05,6.910478803166342e-05,0.0012527866438756165,0.0008316612157945551,0.06476022151861661,0.14116051837942858,0.07313636819407004,0.12617213450098694
37,265,counties/NC/Mecklenburg/samples/fps__pct37.csv,3.9436005082029205e-05,6.910478803166342e-05,0.001154614285750248,0.0008129216463019111,0.06476022151861661,0.14116051837942858,0.0674051690585771,0.12332913612903863
38,272,counties/NC/Mecklenburg/samples/fps__pct38.csv,3.143019953906087e-05,6.910478803166342e-05,0.001078021736625856,0.0007828044971136501,0.05161340963137865,0.14116051837942858,0.06293377650257527,0.1187600340403508
39,279,counties/NC/Mecklenburg/samples/fps__pct39.csv,3.143019953906087e-05,6.910478803166342e-05,0.0010217483327502283,0.0007403770550343469,0.05161340963137865,0.14116051837942858,0.05964859430056088,0.1123233254059962
40,286,counties/NC/Mecklenburg/samples/fps__pct40.csv,3.143019953906087e-05,6.910478803166342e-05,0.0009449228945011513,0.0007346333554072447,0.05161340963137865,0.14116051837942858,0.05516360592211426,0.11145194313143425
41,294,counties/NC/Mecklenburg/samples/fps__pct41.csv,3.143019953906087e-05,6.910478803166342e-05,0.0008914105887501013,0.0006886531179761724,0.05161340963137865,0.14116051837942858,0.05203961372802841,0.10447623644779626
42,301,counties/NC/Mecklenburg/samples/fps__pct42.csv,2.120055912304577e-05,2.3797675348652306e-05,0.0008074221847504373,0.0005989639697334283,0.034814705553241246,0.04861156924324693,0.047136458933889645,0.09086940825808552
43,308,counties/NC/Mecklenburg/samples/fps__pct43.csv,2.120055912304577e-05,2.3797675348652306e-05,0.0007612006942497806,0.0005885054299046628,0.034814705553241246,0.04861156924324693,0.044438096874986364,0.08928273297625429
44,315,counties/NC/Mecklenburg/samples/fps__pct44.csv,2.120055912304577e-05,2.3797675348652306e-05,0.0007043855113749277,0.0005549161631816867,0.034814705553241246,0.04861156924324693,0.041121286184146004,0.08418687254862581
45,322,counties/NC/Mecklenburg/samples/fps__pct45.csv,2.120055912304577e-05,2.3797675348652306e-05,0.0006466551794992565,0.0005272451678280057,0.034814705553241246,0.04861156924324693,0.037751050056018705,0.0799888788448972
46,329,counties/NC/Mecklenburg/samples/fps__pct46.csv,2.120055912304577e-05,2.3797675348652306e-05,0.0005754005596254716,0.0004899419599667784,0.034814705553241246,0.04861156924324693,0.033591280202074573,0.07432957278348802
47,337,counties/NC/Mecklenburg/samples/fps__pct47.csv,2.120055912304577e-05,2.3797675348652306e-05,0.0005343480142504622,0.0004887175444706018,0.034814705553241246,0.04861156924324693,0.03119467572953475,0.07414381551389948
48,344,counties/NC/Mecklenburg/samples/fps__pct48.csv,2.120055912304577e-05,2.3797675348652306e-05,0.0005097930001256777,0.00046875600967091725,0.034814705553241246,0.04861156924324693,0.02976117980042335,0.07111543159294711
49,351,counties/NC/Mecklenburg/samples/fps__pct49.csv,2.120055912304577e-05,2.3797675348652306e-05,0.0004920298988755156,0.00044479186696988774,0.034814705553241246,0.04861156924324693,0.02872418860990314,0.0674798081219326
50,358,counties/NC/Mecklenburg/samples/fps__pct50.csv,2.120055912304577e-05,2.3797675348652306e-05,0.0004545688355005675,0.00041510922472670023,0.034814705553241246,0.04861156924324693,0.026537251083609062,0.0629766255058308
51,365,counties/NC/Mecklenburg/samples/fps__pct51.csv,2.120055912304577e-05,2.3797675348652306e-05,0.00041415954087528124,0.0003916753179366392,0.034814705553241246,0.04861156924324693,0.024178198914091346,0.05942144464222112
52,372,counties/NC/Mecklenburg/samples/fps__pct52.csv,2.120055912304577e-05,2.3797675348652306e-05,0.000388890327125461,0.0003798042620017266,0.034814705553241246,0.04861156924324693,0.022703008761150188,0.05762047516373273
53,379,counties/NC/Mecklenburg/samples/fps__pct53.csv,2.120055912304577e-05,2.3797675348652306e-05,0.0003665252041255438,0.00036735788975433793,0.034814705553241246,0.04861156924324693,0.021397356375387675,0.05573222388614183
54,387,counties/NC/Mecklenburg/samples/fps__pct54.csv,2.120055912304577e-05,2.3797675348652306e-05,0.00034074458224974763,0.0003453617060723131,0.034814705553241246,0.04861156924324693,0.019892310753295676,0.05239516139804039
55,394,counties/NC/Mecklenburg/samples/fps__pct55.csv,1.1119174365233796e-05,2.3797675348652306e-05,0.00030034806824977495,0.0002895496595873906,0.01825946095449716,0.04861156924324693,0.017534004703257486,0.043927861369935504
