ID,Start_Lat,Start_Lng,State,County,City
A-3445569,35.50615,-80.86633,NC,Mecklenburg,Davidson
A-3446935,35.03028,-80.85146999999998,NC,Mecklenburg,Charlotte
A-3450981,35.231309,-80.605471,NC,Mecklenburg,Charlotte
A-3446473,35.255272,-80.985642,NC,Mecklenburg,Charlotte
A-3451110,35.317147,-80.780233,NC,Mecklenburg,Charlotte
A-3445855,35.10277,-80.98872,NC,Mecklenburg,Charlotte
A-3449202,35.1674,-80.74294,NC,Mecklenburg,Charlotte
A-3452482,35.37508300000001,-80.90670899999998,NC,Mecklenburg,Huntersville
A-3446988,35.178754999999995,-80.87586,NC,Mecklenburg,Charlotte
A-3449430,35.274463,-80.89231600000002,NC,Mecklenburg,Charlotte
A-3451087,35.06451,-80.764983,NC,Mecklenburg,Charlotte
A-3445919,35.450436,-80.796323,NC,Mecklenburg,Davidson
A-3451063,35.31468800000001,-80.696923,NC,Mecklenburg,Charlotte
A-3455139,35.151633000000004,-80.62956,NC,Mecklenburg,Charlotte
