ID,Start_Lat,Start_Lng,State,County,City
A-3511667,40.72803,-112.17087,UT,Salt Lake,Magna
A-3511194,40.74218,-111.73751,UT,Salt Lake,Salt Lake City
A-3511301,40.52231,-111.944956,UT,Salt Lake,Riverton
A-3511509,40.776218,-111.94905,UT,Salt Lake,Salt Lake City
A-3511190,40.634448,-111.83426,UT,Salt Lake,Salt Lake City
A-3511202,40.65308,-111.978993,UT,Salt Lake,Salt Lake City
A-3511369,40.71882,-112.06251,UT,Salt Lake,West Valley City
A-3511331,40.750055,-111.83057,UT,Salt Lake,Salt Lake City
A-3511141,40.69994000000001,-111.89974,UT,Salt Lake,Salt Lake City
A-3511150,40.5935,-111.9027,UT,Salt Lake,Sandy
A-3511292,40.720359,-111.986201,UT,Salt Lake,West Valley City
A-3511339,40.769956,-111.88826,UT,Salt Lake,Salt Lake City
A-3511529,40.68061,-111.79821,UT,Salt Lake,Salt Lake City
A-3511424,40.56188,-111.9772,UT,Salt Lake,South Jordan
A-3511518,40.71809,-112.11069,UT,Salt Lake,Magna
A-3511360,40.64105,-111.90326,UT,Salt Lake,Salt Lake City
A-3511184,40.81384,-111.9228,UT,Salt Lake,Salt Lake City
A-3511515,40.69197,-111.95187,UT,Salt Lake,West Valley City
A-3511476,40.550349,-111.89606,UT,Salt Lake,South Jordan
A-3511688,40.731368,-111.8712,UT,Salt Lake,Salt Lake City
A-3511614,40.764772,-111.986516,UT,Salt Lake,Salt Lake City
A-3511625,40.714862,-112.02488999999998,UT,Salt Lake,West Valley City
A-3511071,40.64479,-111.938894,UT,Salt Lake,Salt Lake City
A-3511147,40.7145,-111.82831000000002,UT,Salt Lake,Salt Lake City
A-3511149,40.73928,-111.90424,UT,Salt Lake,Salt Lake City
A-3511685,40.724077,-111.943507,UT,Salt Lake,West Valley City
A-3511291,40.66928,-111.90125,UT,Salt Lake,Salt Lake City
A-3511073,40.62371,-111.92098,UT,Salt Lake,West Jordan
A-3511296,40.69661,-111.98046200000002,UT,Salt Lake,West Valley City
A-3511511,40.7679,-111.91254,UT,Salt Lake,Salt Lake City
A-3511145,40.717216,-111.853521,UT,Salt Lake,Salt Lake City
A-3511653,40.72425,-111.92001,UT,Salt Lake,West Valley City
A-3511045,40.6206,-111.897009,UT,Salt Lake,Midvale
A-3511361,40.63424000000001,-111.81355,UT,Salt Lake,Salt Lake City
A-3511523,40.717,-111.88826,UT,Salt Lake,Salt Lake City
A-3511683,40.67177,-111.95277,UT,Salt Lake,Salt Lake City
A-3511592,40.69942,-111.91693,UT,Salt Lake,South Salt Lake
A-3511140,40.72243,-112.04661000000002,UT,Salt Lake,West Valley City
A-3511341,40.74233,-111.88823,UT,Salt Lake,Salt Lake City
A-3511482,40.609294,-111.905825,UT,Salt Lake,Midvale
A-3511077,40.56412,-111.89942,UT,Salt Lake,South Jordan
A-3511177,40.72626,-111.97393,UT,Salt Lake,West Valley City
A-3511537,40.6694,-111.80566,UT,Salt Lake,Salt Lake City
A-3511428,40.65309,-111.949486,UT,Salt Lake,Salt Lake City
A-3511514,40.7259,-112.0187,UT,Salt Lake,West Valley City
A-3511716,40.723423,-112.159084,UT,Salt Lake,Magna
A-3511072,40.71232,-111.93897,UT,Salt Lake,West Valley City
A-3511075,40.71172,-111.9039,UT,Salt Lake,Salt Lake City
A-3511655,40.72685,-111.90386,UT,Salt Lake,Salt Lake City
A-3511502,40.769883,-111.93923,UT,Salt Lake,Salt Lake City
A-3511710,40.70361,-111.95284,UT,Salt Lake,West Valley City
A-3511336,40.71954,-111.86471,UT,Salt Lake,Salt Lake City
A-3511196,40.73646,-111.7452,UT,Salt Lake,Salt Lake City
A-3511621,40.77703,-111.91028,UT,Salt Lake,Salt Lake City
A-3511185,40.72575,-111.99293,UT,Salt Lake,West Valley City
A-3511120,40.63595,-111.9102,UT,Salt Lake,Salt Lake City
A-3511252,40.76585,-111.94621399999998,UT,Salt Lake,Salt Lake City
A-3511295,40.63508,-111.89848,UT,Salt Lake,Salt Lake City
A-3511144,40.760682,-111.914579,UT,Salt Lake,Salt Lake City
A-3511203,40.65308,-111.972246,UT,Salt Lake,Salt Lake City
A-3511654,40.72409,-111.90919,UT,Salt Lake,West Valley City
A-3511343,40.558958,-111.901642,UT,Salt Lake,South Jordan
A-3511524,40.71978,-111.84915,UT,Salt Lake,Salt Lake City
A-3511242,40.69979,-111.895061,UT,Salt Lake,Salt Lake City
A-3511293,40.63598,-111.90204,UT,Salt Lake,Salt Lake City
A-3511664,40.559203,-111.89846599999998,UT,Salt Lake,South Jordan
A-3511626,40.69989,-111.898563,UT,Salt Lake,Salt Lake City
A-3511370,40.59451,-111.90263,UT,Salt Lake,Sandy
A-3511074,40.62383,-111.92079,UT,Salt Lake,West Jordan
A-3511197,40.73646,-111.7452,UT,Salt Lake,Salt Lake City
A-3511297,40.81384,-111.9228,UT,Salt Lake,Salt Lake City
