percentage,n_points,sample_path,bottleneck_h0,bottleneck_h1,wasserstein_h0,wasserstein_h1,normalized_bottleneck_h0,normalized_bottleneck_h1,normalized_wasserstein_h0,normalized_wasserstein_h1
1,3,counties/VA/Loudoun/samples/fps__pct01.csv,0.015511881904250407,0.0008445660442576015,0.03269717447224983,0.00357906816293682,5.561462154615621,0.5827688699869633,1.72207140471001,0.5448494859109037
2,5,counties/VA/Loudoun/samples/fps__pct02.csv,0.007447652497000142,0.0026338059901188137,0.033525852641999095,0.008554312966707224,2.6702006731656063,1.817383200594642,1.7657156340009466,1.3022420390023972
3,8,counties/VA/Loudoun/samples/fps__pct03.csv,0.0053016527571251495,0.0026338059901188137,0.030184249449625042,0.0072429868024879215,1.9007971661765888,1.817383200594642,1.5897224665069518,1.1026159481010889
4,11,counties/VA/Loudoun/samples/fps__pct04.csv,0.0027891733276251174,0.0014492298538123609,0.022482971834498846,0.006631137368311632,1.0,1.0,1.1841170839379551,1.0094727514673918
5,13,counties/VA/Loudoun/samples/fps__pct05.csv,0.0027891733276251174,0.0014492298538123609,0.01898711887487378,0.006568911700362852,1.0,1.0,1.0,1.0
6,16,counties/VA/Loudoun/samples/fps__pct06.csv,0.0027891733276251174,0.0010618562507913006,0.016820356670000956,0.006634084021643956,1.0,0.7327038205830284,0.885882517555617,1.0099213270407492
7,19,counties/VA/Loudoun/samples/fps__pct07.csv,0.0010499264439999584,0.0010272477927534994,0.013637608743875124,0.005845446165095731,0.3764292572286763,0.7088232346657843,0.7182558256335656,0.8898652366986212
8,21,counties/VA/Loudoun/samples/fps__pct08.csv,0.0006339211486245687,0.0006229055764569091,0.012341133089499991,0.0035244875838838694,0.22727922368465,0.42981834442499683,0.6499739729249487,0.5365405632852676
9,24,counties/VA/Loudoun/samples/fps__pct09.csv,0.0005996109462496418,0.0008414689366172282,0.011938940831624063,0.004019748694890229,0.21497801528174992,0.5806317986092062,0.6287915986781555,0.6119352608542731
10,27,counties/VA/Loudoun/samples/fps__pct10.csv,0.0005980971046250286,0.0008464908252443061,0.012122710402624151,0.004356470132549194,0.21443525889955614,0.5840970105725586,0.6384702430375836,0.663195112260156
11,29,counties/VA/Loudoun/samples/fps__pct11.csv,0.000537346766750059,0.0008464908252443061,0.011363919601125106,0.004297442232529243,0.19265449064350218,0.5840970105725586,0.5985067916840886,0.6542091640981963
12,32,counties/VA/Loudoun/samples/fps__pct12.csv,0.0005025964296247708,0.0003625188968981051,0.009925409700373998,0.003975645681309965,0.1801954810935733,0.25014589365824796,0.5227443808501452,0.6052213612629865
13,35,counties/VA/Loudoun/samples/fps__pct13.csv,0.0004940126285002414,0.0003625188968981051,0.008805840372498814,0.0032265945512758437,0.17711793799522516,0.25014589365824796,0.46377970404724467,0.4911916461135585
14,37,counties/VA/Loudoun/samples/fps__pct14.csv,0.00048051788062520966,0.0003625188968981051,0.008450992588748252,0.0031767857995749086,0.17227967723122953,0.25014589365824796,0.4450908347096148,0.4836091493510911
15,40,counties/VA/Loudoun/samples/fps__pct15.csv,0.0004265941922498685,0.00045268857176108544,0.008269563764123833,0.00337176661280678,0.15294646195871175,0.3123649230453248,0.4355354711065297,0.5132915110764134
16,43,counties/VA/Loudoun/samples/fps__pct16.csv,0.0003291778145004846,0.00045268857176108544,0.007429294664248984,0.0029214986467738123,0.11801984883484021,0.3123649230453248,0.39128077899593244,0.44474621977525364
17,45,counties/VA/Loudoun/samples/fps__pct17.csv,0.00024930278250060453,0.00045268857176108544,0.007050167470124144,0.0026720896643784753,0.08938231985492169,0.3123649230453248,0.37131317903391026,0.4067781371198634
18,48,counties/VA/Loudoun/samples/fps__pct18.csv,0.00024930278250060453,0.00045268857176108544,0.006415979353249923,0.0027249323607689067,0.08938231985492169,0.3123649230453248,0.3379122127760194,0.4148224980126293
19,51,counties/VA/Loudoun/samples/fps__pct19.csv,0.00024930278250060453,0.000456368966653452,0.006044126713125097,0.002797172069810122,0.08938231985492169,0.31490447526520554,0.3183277438223379,0.42581970916972633
20,53,counties/VA/Loudoun/samples/fps__pct20.csv,0.00024930278250060453,0.00046741015133055174,0.0056901352579995824,0.0026738556819382703,0.08938231985492169,0.32252313192484766,0.29968397498840693,0.40704698189055766
21,56,counties/VA/Loudoun/samples/fps__pct21.csv,0.00024930278250060453,0.0001729785599412278,0.005405097733624778,0.002495587087702897,0.08938231985492169,0.11935895433439243,0.28467182247315603,0.3799087583358818
22,59,counties/VA/Loudoun/samples/fps__pct22.csv,0.00024930278250060453,0.0001729785599412278,0.005163046296749457,0.002342836054268696,0.08938231985492169,0.11935895433439243,0.2719236304767581,0.35665512966771695
23,61,counties/VA/Loudoun/samples/fps__pct23.csv,0.00024930278250060453,0.0001729785599412278,0.004852449838248866,0.002265625659634793,0.08938231985492169,0.11935895433439243,0.2555653582951049,0.34490122001634527
24,64,counties/VA/Loudoun/samples/fps__pct24.csv,0.0001828679012499518,0.00012697362378664593,0.004295834569499025,0.00181990027052696,0.06556347697676335,0.0876145515858838,0.22624994333309997,0.27704745527732283
25,66,counties/VA/Loudoun/samples/fps__pct25.csv,0.00012691980374941812,0.00012689848293001652,0.00408278097312386,0.0017856837308762614,0.04550445197949955,0.0875627027667115,0.2150289888650103,0.27183859554355466
26,69,counties/VA/Loudoun/samples/fps__pct26.csv,9.618241500026462e-05,0.00012689848293001652,0.0037650523681253384,0.0015937576646542666,0.034484201482795816,0.0875627027667115,0.1982950858915064,0.24262126473190848
27,72,counties/VA/Loudoun/samples/fps__pct27.csv,9.618241500026462e-05,0.00012689848293001652,0.003619806168624614,0.001554757462825385,0.034484201482795816,0.0875627027667115,0.1906453629157403,0.2366841774931308
28,74,counties/VA/Loudoun/samples/fps__pct28.csv,9.618241500026462e-05,0.00012689848293001652,0.0035464730190004103,0.0014431349253940776,0.034484201482795816,0.0875627027667115,0.186783105028829,0.21969163100706043
29,77,counties/VA/Loudoun/samples/fps__pct29.csv,9.618241500026462e-05,0.00012689848293001652,0.0032478190696253175,0.0013921802362626369,0.034484201482795816,0.0875627027667115,0.17105381237820413,0.21193468564750778
30,80,counties/VA/Loudoun/samples/fps__pct30.csv,9.618241500026462e-05,0.00012689848293001652,0.0031080339498754444,0.00135522303587241,0.034484201482795816,0.0875627027667115,0.16369170964576404,0.2063086090497381
31,82,counties/VA/Loudoun/samples/fps__pct31.csv,9.618241500026462e-05,0.00012689848293001652,0.0030139182565002516,0.0013882590656224152,0.034484201482795816,0.0875627027667115,0.1587348916053114,0.21133775714259195
32,85,counties/VA/Loudoun/samples/fps__pct32.csv,9.618241500026462e-05,0.00011156846485793398,0.002919986591001289,0.0013358618215964142,0.034484201482795816,0.07698465813717588,0.15378776581345338,0.20336120845141276
33,88,counties/VA/Loudoun/samples/fps__pct33.csv,9.618241500026462e-05,0.00011156846485793398,0.0027204118285007444,0.0012639591438746223,0.034484201482795816,0.07698465813717588,0.14327670492971667,0.19241530431971007
34,90,counties/VA/Loudoun/samples/fps__pct34.csv,9.618241500026462e-05,0.00011156846485793398,0.002688402704375672,0.0012871487742368178,0.034484201482795816,0.07698465813717588,0.14159087126869552,0.19594551319143452
35,93,counties/VA/Loudoun/samples/fps__pct35.csv,9.618241500026462e-05,0.00011156846485793398,0.0024931528150009367,0.0012529720718440006,0.034484201482795816,0.07698465813717588,0.1313075897102114,0.19074271797180486
36,96,counties/VA/Loudoun/samples/fps__pct36.csv,9.618241500026462e-05,0.00011156846485793398,0.0022845451240006776,0.001145486448240733,0.034484201482795816,0.07698465813717588,0.12032078900732456,0.17437994305471619
37,98,counties/VA/Loudoun/samples/fps__pct37.csv,9.618241500026462e-05,0.00014393183634344152,0.002125607677376057,0.0011230795244523417,0.034484201482795816,0.09931608568841772,0.11194998521808051,0.17096888734100435
38,101,counties/VA/Loudoun/samples/fps__pct38.csv,9.618241500026462e-05,0.00014393183634344152,0.0019419646765013896,0.001033852778714419,0.034484201482795816,0.09931608568841772,0.10227800696351301,0.15738570190512854
39,104,counties/VA/Loudoun/samples/fps__pct39.csv,9.618241500026462e-05,0.00014393183634344152,0.0017881870255012787,0.0010183110787413013,0.034484201482795816,0.09931608568841772,0.09417895560066462,0.1550197544419804
40,106,counties/VA/Loudoun/samples/fps__pct40.csv,9.618241500026462e-05,0.00014393183634344152,0.0017212842717508696,0.0009830447097344721,0.034484201482795816,0.09931608568841772,0.09065536920552472,0.14965107685648613
41,109,counties/VA/Loudoun/samples/fps__pct41.csv,9.618241500026462e-05,0.00014393183634344152,0.0015769986047510227,0.0009554704907962191,0.034484201482795816,0.09931608568841772,0.08305623486867784,0.14545339233947094
42,112,counties/VA/Loudoun/samples/fps__pct42.csv,9.618241500026462e-05,0.00014393183634344152,0.0014810656418761145,0.0009399472477261955,0.034484201482795816,0.09931608568841772,0.07800370617766832,0.14309025461162386
43,114,counties/VA/Loudoun/samples/fps__pct43.csv,9.618241500026462e-05,0.00014393183634344152,0.0013962398743759558,0.0009311690306832729,0.034484201482795816,0.09931608568841772,0.07353616331036099,0.1417539271584115
44,117,counties/VA/Loudoun/samples/fps__pct44.csv,9.618241500026462e-05,0.00014393183634344152,0.0012684184922508762,0.0008787955563372334,0.034484201482795816,0.09931608568841772,0.06680415815637054,0.13378099697834128
45,120,counties/VA/Loudoun/samples/fps__pct45.csv,9.618241500026462e-05,0.00014393183634344152,0.001189101801000861,0.000886452290781394,0.034484201482795816,0.09931608568841772,0.06262676337769366,0.1349465986477529
46,122,counties/VA/Loudoun/samples/fps__pct46.csv,9.618241500026462e-05,0.00014393183634344152,0.0011745534376261693,0.0008529159346512547,0.034484201482795816,0.09931608568841772,0.06186054057840713,0.12984128476017442
47,125,counties/VA/Loudoun/samples/fps__pct47.csv,9.618241500026462e-05,0.00014393183634344152,0.0011292167152506492,0.0007626210766064024,0.034484201482795816,0.09931608568841772,0.059472778502744586,0.11609549821841522
48,128,counties/VA/Loudoun/samples/fps__pct48.csv,7.987503199988004e-05,6.217173995900138e-05,0.0009378024397506966,0.0005830306314942804,0.02863752897991851,0.04289984766422778,0.049391508313128996,0.08875604637250263
49,130,counties/VA/Loudoun/samples/fps__pct49.csv,7.987503199988004e-05,6.217173995900138e-05,0.0008671273211259076,0.0005657889322189966,0.02863752897991851,0.04289984766422778,0.04566924170224705,0.08613130424446772
50,133,counties/VA/Loudoun/samples/fps__pct50.csv,7.987503199988004e-05,6.217173995900138e-05,0.000802248055500773,0.0005543718965504094,0.02863752897991851,0.04289984766422778,0.04225222693277661,0.08439326357816428
51,136,counties/VA/Loudoun/samples/fps__pct51.csv,7.987503199988004e-05,6.217173995900138e-05,0.0007295546153763279,0.0004750743592473542,0.02863752897991851,0.04289984766422778,0.03842366080836884,0.07232162356834727
