ID,Start_Lat,Start_Lng,State,County,City
A-231169,39.319805,-77.71257,VA,Loudoun,Purcellville
A-229077,38.903252,-77.493279,VA,Loudoun,Chantilly
A-229575,38.96825,-77.735023,VA,Loudoun,Middleburg
A-231820,39.141582,-77.54600500000002,VA,Loudoun,Leesburg
A-231802,39.163834,-77.799522,VA,Loudoun,Round Hill
A-230128,39.044598,-77.390648,VA,Loudoun,Sterling
A-231803,39.185852,-77.66855600000002,VA,Loudoun,Waterford
A-229870,39.270927,-77.548309,VA,Loudoun,Leesburg
A-3454751,39.01725,-77.57598399999998,VA,Loudoun,Leesburg
A-229210,39.001213,-77.475716,VA,Loudoun,Ashburn
A-232657,38.930336,-77.590538,VA,Loudoun,Aldie
A-233061,39.25895300000001,-77.761116,VA,Loudoun,Purcellville
A-3447444,39.080054,-77.499379,VA,Loudoun,Ashburn
A-232316,39.245644,-77.619484,VA,Loudoun,Lovettsville
A-231886,39.07967,-77.610825,VA,Loudoun,Leesburg
A-230229,38.976749,-77.409317,VA,Loudoun,Sterling
A-229147,39.13818,-77.735283,VA,Loudoun,Purcellville
A-230564,39.021137,-77.693375,VA,Loudoun,Middleburg
A-230045,39.148983,-77.614868,VA,Loudoun,Paeonian Springs
A-229063,38.962803,-77.53568299999998,VA,Loudoun,Ashburn
A-230101,39.240303,-77.70105,VA,Loudoun,Lovettsville
A-230155,39.122173,-77.6791,VA,Loudoun,Hamilton
A-232658,39.215878,-77.534607,VA,Loudoun,Leesburg
A-233037,39.052307,-77.45193499999998,VA,Loudoun,Ashburn
A-230892,39.117889,-77.823006,VA,Loudoun,Bluemont
A-231148,39.202751,-77.732948,VA,Loudoun,Purcellville
A-3453951,38.893025,-77.54101999999997,VA,Loudoun,Chantilly
A-232345,39.099476,-77.56118000000002,VA,Loudoun,Leesburg
A-233320,38.966625,-77.616646,VA,Loudoun,Aldie
A-232626,39.031761,-77.535538,VA,Loudoun,Ashburn
A-230194,38.963356,-77.494675,VA,Loudoun,Sterling
A-232343,39.022717,-77.424728,VA,Loudoun,Sterling
A-229209,39.05585900000001,-77.57646899999997,VA,Loudoun,Leesburg
A-232375,39.03619000000001,-77.497437,VA,Loudoun,Ashburn
A-229264,38.929428,-77.518982,VA,Loudoun,Chantilly
A-231423,39.13488,-77.771675,VA,Loudoun,Round Hill
A-230747,38.981678,-77.44651800000003,VA,Loudoun,Sterling
A-231887,39.014866,-77.371941,VA,Loudoun,Sterling
A-230239,39.11241500000001,-77.509895,VA,Loudoun,Leesburg
A-229480,38.933861,-77.550285,VA,Loudoun,Aldie
A-229466,39.001362,-77.529106,VA,Loudoun,Ashburn
A-233569,39.15685300000001,-77.674614,VA,Loudoun,Purcellville
A-230054,39.136536,-77.704643,VA,Loudoun,Purcellville
A-229085,38.992279,-77.563812,VA,Loudoun,Ashburn
A-231564,39.134438,-77.591507,VA,Loudoun,Leesburg
A-229321,38.988926,-77.503784,VA,Loudoun,Ashburn
A-231183,39.008228,-77.398041,VA,Loudoun,Sterling
A-230123,39.028538,-77.463852,VA,Loudoun,Ashburn
A-228770,38.91592,-77.472588,VA,Loudoun,Chantilly
A-229877,39.063992,-77.48123199999998,VA,Loudoun,Ashburn
A-233429,39.113602,-77.54205300000002,VA,Loudoun,Leesburg
A-232127,39.078957,-77.573708,VA,Loudoun,Leesburg
A-229826,39.010841,-77.496338,VA,Loudoun,Ashburn
A-230177,38.964851,-77.428337,VA,Loudoun,Sterling
A-233380,39.045422,-77.430588,VA,Loudoun,Sterling
A-232296,39.089439,-77.518745,VA,Loudoun,Leesburg
A-231242,38.990986,-77.425247,VA,Loudoun,Sterling
A-231170,38.902496,-77.522453,VA,Loudoun,Chantilly
A-228779,39.04467,-77.519981,VA,Loudoun,Ashburn
A-3448005,39.03351,-77.40742,VA,Loudoun,Sterling
A-231932,38.981514,-77.52774000000002,VA,Loudoun,Ashburn
A-230314,39.011105,-77.45681,VA,Loudoun,Ashburn
A-228736,39.186554,-77.687309,VA,Loudoun,Purcellville
A-232146,39.137543,-77.668503,VA,Loudoun,Hamilton
A-230622,39.123379,-77.805779,VA,Loudoun,Round Hill
A-229096,39.024616,-77.390404,VA,Loudoun,Sterling
A-229869,39.117298,-77.56369000000002,VA,Loudoun,Leesburg
A-230923,39.141239,-77.75301400000002,VA,Loudoun,Round Hill
A-229359,39.021725,-77.480446,VA,Loudoun,Ashburn
A-229983,38.920658,-77.496666,VA,Loudoun,Chantilly
A-232452,39.046951,-77.479897,VA,Loudoun,Ashburn
A-233564,38.98526,-77.47206899999998,VA,Loudoun,Sterling
A-228975,39.007561,-77.418663,VA,Loudoun,Sterling
A-229457,39.028015,-77.448318,VA,Loudoun,Ashburn
A-231758,38.992317,-77.488647,VA,Loudoun,Ashburn
A-3448721,39.135824,-77.68620899999998,VA,Loudoun,Hamilton
A-232748,38.934818,-77.532913,VA,Loudoun,Sterling
A-229405,38.990513,-77.45837399999998,VA,Loudoun,Sterling
A-232128,38.907181,-77.539101,VA,Loudoun,Chantilly
A-229681,38.920952,-77.555756,VA,Loudoun,Aldie
A-230541,38.916676,-77.51326800000002,VA,Loudoun,Chantilly
A-231712,39.068703,-77.50730899999998,VA,Loudoun,Ashburn
A-231689,38.944736,-77.558563,VA,Loudoun,Aldie
A-229104,39.031437,-77.378784,VA,Loudoun,Sterling
A-229082,38.942787,-77.51880600000001,VA,Loudoun,Sterling
A-230593,39.076534,-77.476845,VA,Loudoun,Leesburg
A-229621,39.020523,-77.408913,VA,Loudoun,Sterling
A-229576,38.978642,-77.422699,VA,Loudoun,Sterling
A-229344,39.045811,-77.408447,VA,Loudoun,Sterling
A-3449860,39.065211,-77.468952,VA,Loudoun,Ashburn
A-230525,38.994766,-77.41391,VA,Loudoun,Sterling
A-231568,38.970177,-77.524292,VA,Loudoun,Ashburn
A-231731,39.01754,-77.468231,VA,Loudoun,Ashburn
A-230195,38.979137,-77.43450899999998,VA,Loudoun,Sterling
A-231073,38.972992,-77.54126,VA,Loudoun,Ashburn
A-233069,39.067017,-77.573433,VA,Loudoun,Leesburg
A-3454750,39.000485,-77.571809,VA,Loudoun,Leesburg
A-233543,38.916302,-77.48608399999998,VA,Loudoun,Chantilly
A-228716,39.17767,-77.661041,VA,Loudoun,Hamilton
A-3449994,38.95189,-77.53372,VA,Loudoun,Sterling
A-231779,39.007595,-77.485817,VA,Loudoun,Ashburn
