ID,Start_Lat,Start_Lng,State,County,City
A-3525807,46.931667,-123.723726,WA,Grays Harbor,Cosmopolis
A-3446079,46.480776,-67.86838,ME,Aroostook,Westfield
A-3427695,29.015363,-95.551073,TX,Brazoria,Brazoria
A-3427831,46.94087,-104.079828,MT,Wibaux,Wibaux
A-3448426,44.61936,-86.09916,MI,Benzie,Beulah
A-3511081,32.69255,-113.95871,AZ,Yuma,Wellton
A-117088,25.803728,-80.125626,FL,Miami-Dade,Miami Beach
A-3452739,37.2063,-75.966347,VA,Northampton,Cape Charles
A-3426733,39.2479,-94.732976,MO,Platte,Kansas City
A-3511347,42.740558,-114.611592,ID,Jerome,Jerome
A-3453574,33.58692,-86.69315999999998,AL,Jefferson,Birmingham
A-3427850,32.90573,-104.43019,NM,Eddy,Artesia
A-9073,37.254379,-122.383202,CA,San Mateo,Pescadero
A-3425317,47.596987,-94.769456,MN,Beltrami,Bemidji
A-3511671,39.324842,-108.206191,CO,Mesa,De Beque
A-3452298,44.165039,-75.712633,NY,Jefferson,Philadelphia
A-3445736,38.39257,-82.40805999999998,WV,Cabell,Huntington
A-3511717,48.55572,-112.097862,MT,Toole,Shelby
A-3426622,39.363643,-101.03619,KS,Thomas,Colby
A-3452978,32.8142,-80.03404,SC,Charleston,Charleston
A-167589,39.120304,-88.554062,IL,Effingham,Effingham
A-3527382,48.30679,-118.14687,WA,Stevens,Gifford
A-198137,41.55516400000001,-70.610985,MA,Barnstable,Falmouth
A-3424882,33.570907,-98.419098,TX,Clay,Windthorst
A-3424917,43.767345,-91.152598,WI,La Crosse,La Crosse
A-3426670,30.08553,-90.43155,LA,St. John the Baptist,LA Place
A-3528685,38.142763,-117.46864,NV,Esmeralda,Tonopah
A-3526051,42.18273,-122.66419,OR,Jackson,Ashland
A-3511656,37.836837,-112.875455,UT,Iron,Parowan
A-3426859,43.53808,-96.78022,SD,Minnehaha,Sioux Falls
A-3511166,45.79806,-108.51976,MT,Yellowstone,Billings
A-3452311,42.1427,-79.91667,PA,Erie,Harborcreek
A-55496,33.746147,-118.304245,CA,Los Angeles,San Pedro
A-3511044,32.3626,-109.62755,AZ,Cochise,San Simon
A-3426985,33.454235,-94.130869,TX,Bowie,Texarkana
A-119905,29.370533,-82.228325,FL,Marion,Reddick
A-3425553,41.11532,-104.84465,WY,Laramie,Cheyenne
A-3446578,40.62882000000001,-74.3025,NJ,Union,Clark
A-3449624,40.98238,-85.09128,IN,Allen,Fort Wayne
A-3448032,35.15302,-90.070818,AR,Crittenden,Marion
A-3527559,44.714609,-119.10383,OR,Grant,Long Creek
A-3511582,36.295568,-105.748147,NM,Taos,Penasco
A-3449988,30.18813,-85.74774000000002,FL,Bay,Panama City Beach
A-3446303,34.44659,-83.12333000000002,GA,Franklin,Lavonia
A-3449640,36.601936,-79.41420500000002,VA,Danville City,Danville
A-3511694,36.150233,-109.591812,AZ,Apache,Chinle
A-3511304,43.54346,-111.04559,WY,Teton,Wilson
A-3446328,37.03283,-85.90581999999998,KY,Barren,Glasgow
A-3425789,36.19359,-95.95335,OK,Tulsa,Tulsa
A-229673,40.060501,-77.479164,PA,Cumberland,Shippensburg
A-3425381,29.535215,-98.68274,TX,Bexar,San Antonio
A-3528041,35.467122,-115.491638,CA,San Bernardino,Nipton
A-168032,42.265236,-88.243011,IL,Mchenry,Crystal Lake
A-3427547,47.02565,-91.671181,MN,Lake,Two Harbors
A-3426723,37.94516,-91.87924,MO,Phelps,Newburg
A-3425363,48.00539000000001,-97.859596,ND,Grand Forks,Niagara
A-3427664,32.26224000000001,-101.49595,TX,Howard,Big Spring
A-161045,42.034538,-93.61393,IA,Story,Ames
A-3511296,40.69661,-111.98046200000002,UT,Salt Lake,West Valley City
A-3453976,44.262699,-71.824555,NH,Grafton,Lisbon
A-3527212,39.329808,-120.282243,CA,Nevada,Truckee
A-3525754,45.533465,-116.306424,ID,Idaho,Lucile
A-179516,42.743481,-82.777374,MI,Macomb,Lenox
A-3511692,43.503,-106.45422,WY,Johnson,Kaycee
A-3511471,34.590715,-111.877142,AZ,Yavapai,Camp Verde
A-3528761,35.97874,-119.95709,CA,Kings,Kettleman City
A-8877,39.392719,-123.810753,CA,Mendocino,Fort Bragg
A-3425395,40.950524,-96.64358,NE,Lancaster,Lincoln
A-3524502,40.642976,-116.949803,NV,Lander,Battle Mountain
A-3528514,44.621727,-123.06185,OR,Linn,Albany
A-3511662,41.64006,-108.48333999999998,WY,Sweetwater,Wamsutter
A-3511721,46.263396,-112.291269,MT,Jefferson,Boulder
A-3525597,48.98404,-122.73302,WA,Whatcom,Blaine
A-3426571,45.60264,-94.4571,MN,Stearns,Avon
A-3525591,46.609824,-120.489646,WA,Yakima,Yakima
A-3425365,38.76209,-104.77288,CO,El Paso,Colorado Springs
A-3445872,32.068746999999995,-83.798425,GA,Dooly,Vienna
