ID,Start_Lat,Start_Lng,State,County,City
A-3454147,30.4034,-87.34246,FL,Escambia,Pensacola
A-117088,25.803728,-80.125626,FL,Miami-Dade,Miami Beach
A-3455002,30.253925,-82.405594,FL,Baker,Sanderson
A-3449187,27.359890000000004,-82.54911,FL,Sarasota,Sarasota
A-3454320,30.505038,-84.848197,FL,Liberty,Bristol
A-118477,28.385841,-80.605591,FL,Brevard,Cape Canaveral
A-116756,26.056023,-81.68763,FL,Collier,Naples
A-3454060,28.75893,-82.09770999999998,FL,Sumter,Sumterville
A-117736,27.10857,-80.26061999999997,FL,Martin,Stuart
A-120080,29.553858,-81.218834,FL,Flagler,Palm Coast
A-119191,27.24176,-81.382233,FL,Highlands,Lake Placid
A-3447308,30.732772,-86.355254,FL,Walton,Defuniak Springs
A-117340,28.145435,-81.45719100000002,FL,Osceola,Kissimmee
A-3452535,30.372551,-81.552074,FL,Duval,Jacksonville
A-118207,28.195171,-82.741241,FL,Pasco,Holiday
A-3452020,30.202258,-85.622773,FL,Bay,Panama City
A-117260,26.170547,-80.8563,FL,Broward,Conservation
A-118949,29.49696,-82.294975,FL,Alachua,Micanopy
A-117843,26.745892,-81.917976,FL,Lee,North Fort Myers
A-116653,28.84511,-81.163391,FL,Volusia,Osteen
A-3454021,30.48848,-84.16363,FL,Leon,Tallahassee
A-116938,27.937677,-82.121201,FL,Hillsborough,Plant City
A-3448428,27.7036,-80.89527,FL,Osceola,Okeechobee
A-3447771,26.46674,-80.08927,FL,Palm Beach,Delray Beach
A-3449818,30.76277,-85.68979,FL,Holmes,Bonifay
A-3447912,29.171446000000003,-81.624696,FL,Lake,Astor
A-119274,29.016613,-82.569191,FL,Citrus,Crystal River
A-117970,25.433098,-80.50147199999998,FL,Miami-Dade,Homestead
A-120003,27.52763400000001,-81.809341,FL,Hardee,Wauchula
A-118657,27.142702000000003,-80.881119,FL,Glades,Okeechobee
A-117828,28.569857,-81.593063,FL,Orange,Winter Garden
