ID,Start_Lat,Start_Lng,State,County,City
A-5118,38.481644,-121.334816,CA,Sacramento,Sacramento
A-5119,37.421124,-122.092476,CA,Santa Clara,Mountain View
A-5122,38.004459,-122.038872,CA,Contra Costa,Concord
A-5131,38.378597,-122.552788,CA,Sonoma,Glen Ellen
A-5136,37.764954,-121.410652,CA,San Joaquin,Tracy
A-5139,38.886555,-121.237999,CA,Placer,Lincoln
A-5208,39.480412,-121.540627,CA,Butte,Oroville
A-5220,38.18811,-120.826477,CA,Calaveras,Valley Springs
A-5226,37.152908,-121.652679,CA,Santa Clara,Morgan Hill
A-5229,36.539394,-121.91021,CA,Monterey,Carmel
A-5233,36.464996,-121.38768,CA,Monterey,Soledad
A-5252,37.700405,-122.471291,CA,San Mateo,Daly City
A-5322,37.62373,-120.934288,CA,Stanislaus,Modesto
A-5347,39.136452,-122.858002,CA,Lake,Nice
A-5396,37.321789,-120.541,CA,Merced,Merced
A-5440,38.418713,-121.894348,CA,Solano,Dixon
A-5468,38.68576,-120.746078,CA,El Dorado,Placerville
A-5658,39.276299,-122.182602,CA,Colusa,Maxwell
A-5687,39.270882,-123.788673,CA,Mendocino,Little River
A-5810,39.284885,-120.964943,CA,Nevada,Nevada City
A-5906,38.699871,-122.894836,CA,Sonoma,Geyserville
A-5921,37.056969,-121.015945,CA,Merced,Gustine
A-6100,38.962082,-123.340431,CA,Mendocino,Yorkville
A-6965,38.848576,-121.94076499999998,CA,Yolo,Zamora
A-7642,36.688259,-120.659981,CA,Fresno,Firebaugh
A-7658,39.434433,-123.245224,CA,Mendocino,Willits
A-8620,36.969257,-122.116684,CA,Santa Cruz,Santa Cruz
A-53206,34.19957,-118.338249,CA,Los Angeles,Burbank
A-53210,33.832306,-117.93177,CA,Orange,Anaheim
A-53211,33.192974,-117.268814,CA,San Diego,Vista
A-53214,33.840118,-117.068596,CA,Riverside,Nuevo
A-53242,32.704197,-117.011101,CA,San Diego,Spring Valley
A-53258,34.249718,-117.442184,CA,San Bernardino,San Bernardino
