ID,Start_Lat,Start_Lng,State,County,City
A-3511046,33.485240000000005,-112.04093,AZ,Maricopa,Phoenix
A-3511047,33.45924,-112.00607,AZ,Maricopa,Phoenix
A-3511048,33.558681,-112.038329,AZ,Maricopa,Phoenix
A-3511050,33.43683,-112.08253,AZ,Maricopa,Phoenix
A-3511053,33.66921,-112.09007,AZ,Maricopa,Phoenix
A-3511060,33.47064,-111.8882,AZ,Maricopa,Scottsdale
A-3511062,33.60276,-112.00964,AZ,Maricopa,Phoenix
A-3511064,33.490916,-112.112963,AZ,Maricopa,Phoenix
A-3511068,33.38602,-111.81078,AZ,Maricopa,Mesa
A-3511069,33.28713,-111.86469,AZ,Maricopa,Chandler
A-3511070,33.52791,-112.04371,AZ,Maricopa,Phoenix
A-3511076,33.53848,-111.88195,AZ,Maricopa,Scottsdale
A-3511082,33.46213,-112.05922,AZ,Maricopa,Phoenix
A-3511083,33.5276,-112.11241,AZ,Maricopa,Phoenix
A-3511084,33.46268,-112.19308,AZ,Maricopa,Phoenix
A-3511087,33.51444,-111.888,AZ,Maricopa,Scottsdale
A-3511089,33.3857,-111.93489,AZ,Maricopa,Tempe
A-3511090,33.41452,-111.97833,AZ,Maricopa,Phoenix
A-3511091,33.38602,-111.90264,AZ,Maricopa,Tempe
A-3511097,33.572066,-112.117063,AZ,Maricopa,Phoenix
A-3511102,33.705,-112.11595,AZ,Maricopa,Phoenix
A-3511108,33.66616,-112.22688,AZ,Maricopa,Glendale
A-3511114,33.2919,-111.91109,AZ,Maricopa,Chandler
A-3511116,33.662712,-111.947338,AZ,Maricopa,Phoenix
A-3511125,33.43538,-111.93238999999998,AZ,Maricopa,Tempe
A-3511133,33.670190000000005,-112.03802,AZ,Maricopa,Phoenix
A-3511146,33.479859999999995,-111.71298,AZ,Maricopa,Mesa
A-3511148,33.2936,-111.98275,AZ,Maricopa,Phoenix
A-3511154,33.38235,-111.96799,AZ,Maricopa,Tempe
A-3511157,33.645109999999995,-112.00153,AZ,Maricopa,Phoenix
A-3511158,33.64399,-112.11544,AZ,Maricopa,Phoenix
A-3511163,33.67288,-111.97729,AZ,Maricopa,Phoenix
A-3511172,33.60126,-112.11691,AZ,Maricopa,Phoenix
A-3511176,33.43476,-111.88171,AZ,Maricopa,Mesa
A-3511187,33.42738,-112.04772,AZ,Maricopa,Phoenix
A-3511189,33.6698,-112.39086,AZ,Maricopa,Sun City West
A-3511191,33.69827,-112.334256,AZ,Maricopa,Sun City West
A-3511193,33.451248,-112.10808,AZ,Maricopa,Phoenix
A-3511201,33.33835,-111.97235,AZ,Maricopa,Phoenix
A-3511219,33.45617,-111.97465,AZ,Maricopa,Phoenix
A-3511220,33.4804,-111.74581,AZ,Maricopa,Mesa
A-3511225,33.38628,-111.75981000000002,AZ,Maricopa,Mesa
A-3511231,33.46278,-112.16351,AZ,Maricopa,Phoenix
A-3511245,33.6121,-111.89134,AZ,Maricopa,Scottsdale
A-3511250,33.32931,-111.893,AZ,Maricopa,Chandler
A-3511266,33.5378,-112.2377,AZ,Maricopa,Glendale
A-3511282,33.47505,-111.77827,AZ,Maricopa,Mesa
A-3511302,33.57694,-111.88948,AZ,Maricopa,Scottsdale
A-3511305,33.4737,-112.26643,AZ,Maricopa,Phoenix
A-3511315,33.29318,-111.95178,AZ,Maricopa,Chandler
A-3511317,33.57677,-112.01298,AZ,Maricopa,Phoenix
A-3511328,33.455890000000004,-111.85732,AZ,Maricopa,Scottsdale
A-3511332,33.221319,-111.988327,AZ,Maricopa,Chandler
A-3511356,33.60545,-112.24962,AZ,Maricopa,Peoria
A-3511358,33.57592,-112.25816,AZ,Maricopa,Peoria
A-3511366,33.385870000000004,-111.84627,AZ,Maricopa,Mesa
A-3511367,33.83364,-112.14473,AZ,Maricopa,Phoenix
A-3511406,33.65699,-111.919,AZ,Maricopa,Scottsdale
A-3511408,33.28261,-111.81346,AZ,Maricopa,Chandler
A-3511429,33.46102,-112.29573,AZ,Maricopa,Avondale
A-3511436,33.668665000000004,-112.16654,AZ,Maricopa,Glendale
A-3511461,33.219235,-111.892342,AZ,Maricopa,Chandler
A-3511491,33.60531,-112.2987,AZ,Maricopa,Sun City
A-3511492,33.63875,-112.35065,AZ,Maricopa,Surprise
A-3511505,33.98245,-112.7362,AZ,Maricopa,Wickenburg
A-3511520,33.35535,-111.64415,AZ,Maricopa,Mesa
A-3511532,33.25112,-111.94459,AZ,Maricopa,Chandler
A-3511535,33.46117,-112.38229,AZ,Maricopa,Goodyear
A-3511539,33.462270000000004,-112.22652,AZ,Maricopa,Phoenix
A-3511554,33.43151,-112.59684,AZ,Maricopa,Buckeye
A-3511560,33.943490000000004,-113.14347,AZ,Maricopa,Wickenburg
A-3511563,33.537796,-112.26967,AZ,Maricopa,Glendale
A-3511566,33.638474,-112.237399,AZ,Maricopa,Glendale
A-3511570,33.422059999999995,-111.636339,AZ,Maricopa,Mesa
A-3511617,33.3907,-111.6476,AZ,Maricopa,Mesa
A-3511630,33.3867,-111.71928,AZ,Maricopa,Mesa
A-3511631,33.38674,-111.67959,AZ,Maricopa,Mesa
A-3511693,33.131557,-112.65102,AZ,Maricopa,Buckeye
A-3511726,33.45774,-112.34631,AZ,Maricopa,Goodyear
