ID,Start_Lat,Start_Lng,State,County,City
A-3511067,32.181119,-110.985714,AZ,Pima,Tucson
A-3511101,31.769433000000006,-110.683198,AZ,Pima,Sonoita
A-3511113,32.13012,-110.88258,AZ,Pima,Tucson
A-3511132,32.18029,-110.95013,AZ,Pima,Tucson
A-3511139,31.996512,-110.62005,AZ,Pima,Vail
A-3511264,32.17126,-111.07131,AZ,Pima,Tucson
A-3511283,32.27624,-111.01445,AZ,Pima,Tucson
A-3511500,32.079609999999995,-110.80215,AZ,Pima,Tucson
A-3511627,32.309473,-110.97848,AZ,Pima,Tucson
A-3511642,32.241609999999994,-110.98629,AZ,Pima,Tucson
A-3511711,32.27093,-110.97212,AZ,Pima,Tucson
