ID,Start_Lat,Start_Lng,State,County,City
A-53206,34.19957,-118.338249,CA,Los Angeles,Burbank
A-53207,33.873173,-118.266052,CA,Los Angeles,Carson
A-53208,34.182049,-118.397179,CA,Los Angeles,North Hollywood
A-53209,34.155421999999994,-118.2939,CA,Los Angeles,Los Angeles
A-53212,34.005787,-118.413177,CA,Los Angeles,Culver City
A-53213,34.033218,-118.192375,CA,Los Angeles,Los Angeles
A-53215,34.055695,-118.451965,CA,Los Angeles,Los Angeles
A-53216,33.938202000000004,-118.348259,CA,Los Angeles,Inglewood
A-53219,34.27512,-118.493736,CA,Los Angeles,Granada Hills
A-53220,34.071853999999995,-117.887756,CA,Los Angeles,West Covina
A-53221,34.023575,-118.243019,CA,Los Angeles,Los Angeles
A-53223,33.943008,-118.033081,CA,Los Angeles,Whittier
A-53227,34.072418,-118.072884,CA,Los Angeles,El Monte
A-53233,33.97876,-118.39193,CA,Los Angeles,Los Angeles
A-53234,34.098068,-118.314629,CA,Los Angeles,Los Angeles
A-53236,34.0611,-118.165245,CA,Los Angeles,Monterey Park
A-53237,34.011848,-117.966248,CA,Los Angeles,Hacienda Heights
A-53240,34.114853000000004,-117.978043,CA,Los Angeles,Baldwin Park
A-53243,33.914726,-118.104927,CA,Los Angeles,Norwalk
A-53244,33.900688,-118.059448,CA,Los Angeles,Norwalk
A-53247,34.165508,-118.492355,CA,Los Angeles,Encino
A-53249,33.875439,-118.193504,CA,Los Angeles,Long Beach
A-53251,34.068695,-117.839516,CA,Los Angeles,Covina
A-53255,33.971817,-117.846436,CA,Los Angeles,Diamond Bar
A-53259,34.071346000000005,-118.235413,CA,Los Angeles,Los Angeles
A-53269,34.049706,-118.263718,CA,Los Angeles,Los Angeles
A-53270,33.821648,-118.207024,CA,Los Angeles,Long Beach
A-53271,33.912704,-118.180206,CA,Los Angeles,Lynwood
A-53276,34.054359000000005,-118.004349,CA,Los Angeles,La Puente
A-53279,33.954529,-118.306831,CA,Los Angeles,Los Angeles
A-53287,34.380093,-118.568787,CA,Los Angeles,Stevenson Ranch
A-53288,33.903324,-118.225052,CA,Los Angeles,Compton
A-53291,34.015308000000005,-118.044006,CA,Los Angeles,Whittier
A-53296,33.928944,-118.280663,CA,Los Angeles,Los Angeles
A-53299,33.943138,-118.239067,CA,Los Angeles,Los Angeles
A-53300,33.949703,-118.170532,CA,Los Angeles,South Gate
A-53301,33.876289,-118.102577,CA,Los Angeles,Cerritos
A-53306,34.235577,-118.472961,CA,Los Angeles,North Hills
A-53307,33.962177000000004,-118.123146,CA,Los Angeles,Downey
A-53313,33.8396,-118.263474,CA,Los Angeles,Carson
A-53319,33.863921999999995,-118.046394,CA,Los Angeles,Cerritos
A-53325,34.045689,-117.954338,CA,Los Angeles,La Puente
A-53332,34.122634999999995,-118.478424,CA,Los Angeles,Los Angeles
A-53340,34.089703,-118.475563,CA,Los Angeles,Los Angeles
A-53345,34.034584,-118.345749,CA,Los Angeles,Los Angeles
A-53346,34.053425,-117.781143,CA,Los Angeles,Pomona
A-53363,34.152061,-118.12416100000002,CA,Los Angeles,Pasadena
A-53364,34.024887,-117.731453,CA,Los Angeles,Pomona
A-53371,34.207676,-118.571014,CA,Los Angeles,Winnetka
A-53377,34.147743,-118.031677,CA,Los Angeles,Arcadia
A-53385,33.887386,-118.333435,CA,Los Angeles,Gardena
A-53386,33.894356,-118.01165,CA,Los Angeles,La Mirada
A-53392,34.146896000000005,-118.161186,CA,Los Angeles,Pasadena
A-53399,34.011074,-118.280754,CA,Los Angeles,Los Angeles
A-53409,33.928101,-118.387489,CA,Los Angeles,El Segundo
A-53411,33.859955,-118.309158,CA,Los Angeles,Gardena
A-53414,34.120659,-117.873642,CA,Los Angeles,Glendora
A-53421,34.120468,-118.271271,CA,Los Angeles,Los Angeles
A-53436,34.266327000000004,-118.440071,CA,Los Angeles,Pacoima
A-53437,34.014645,-118.130043,CA,Los Angeles,Montebello
A-53443,33.969376000000004,-118.060051,CA,Los Angeles,Santa Fe Springs
A-53451,34.183075,-118.164131,CA,Los Angeles,Altadena
A-53459,34.216301,-118.408592,CA,Los Angeles,North Hollywood
A-53486,33.789928,-118.207939,CA,Los Angeles,Long Beach
A-53487,34.042645,-118.573601,CA,Los Angeles,Malibu
A-53492,34.147118,-118.370445,CA,Los Angeles,North Hollywood
A-53496,34.119938,-117.706848,CA,Los Angeles,Claremont
A-53509,33.748177,-118.290863,CA,Los Angeles,San Pedro
A-53510,33.779011,-118.280106,CA,Los Angeles,Wilmington
A-53517,33.84576,-118.092445,CA,Los Angeles,Lakewood
A-53518,34.425117,-118.423637,CA,Los Angeles,Canyon Country
A-53544,33.975452000000004,-118.265167,CA,Los Angeles,Los Angeles
A-53570,33.810146,-118.290329,CA,Los Angeles,Torrance
A-53580,34.167435,-118.087044,CA,Los Angeles,Pasadena
A-53585,34.109158,-118.629555,CA,Los Angeles,Topanga
A-53589,33.987595,-117.889572,CA,Los Angeles,Rowland Heights
A-53617,34.006546,-118.45504,CA,Los Angeles,Venice
A-53620,34.201115,-118.474922,CA,Los Angeles,Van Nuys
A-53625,34.046249,-118.931969,CA,Los Angeles,Malibu
A-53670,34.005585,-117.828796,CA,Los Angeles,Diamond Bar
A-53707,34.496723,-118.218819,CA,Los Angeles,Acton
A-53722,34.021503,-118.802567,CA,Los Angeles,Malibu
A-53757,34.076622,-117.745209,CA,Los Angeles,Pomona
A-53825,33.99700900000001,-118.352196,CA,Los Angeles,Los Angeles
A-53828,33.969265,-118.218124,CA,Los Angeles,Huntington Park
A-53829,34.207294,-118.216927,CA,Los Angeles,La Canada Flintridge
A-53841,34.077183000000005,-118.282005,CA,Los Angeles,Los Angeles
A-53845,34.024673,-117.917503,CA,Los Angeles,West Covina
A-53847,34.277824,-118.604782,CA,Los Angeles,Chatsworth
A-53853,34.147746999999995,-118.228745,CA,Los Angeles,Glendale
A-53856,34.126991,-118.090981,CA,Los Angeles,San Marino
A-53862,34.492104,-118.28343999999998,CA,Los Angeles,Acton
A-53863,33.876968,-118.155037,CA,Los Angeles,Long Beach
A-53871,34.173649,-118.553482,CA,Los Angeles,Tarzana
A-53891,34.489616,-118.619324,CA,Los Angeles,Castaic
A-53895,34.285221,-118.190819,CA,Los Angeles,Tujunga
A-53903,34.509388,-118.112122,CA,Los Angeles,Palmdale
A-53919,34.148575,-118.697922,CA,Los Angeles,Calabasas
A-53920,34.15073,-118.660248,CA,Los Angeles,Calabasas
A-53950,34.036079,-118.093018,CA,Los Angeles,Montebello
A-53965,34.436089,-118.59381100000002,CA,Los Angeles,Valencia
A-53980,33.778969000000004,-118.165482,CA,Los Angeles,Long Beach
A-53987,34.286907,-118.406464,CA,Los Angeles,Sylmar
A-54021,34.096066,-117.934204,CA,Los Angeles,Baldwin Park
A-54047,34.035812,-118.535759,CA,Los Angeles,Pacific Palisades
A-54052,34.335392,-118.510582,CA,Los Angeles,Newhall
A-54088,34.004791,-118.173012,CA,Los Angeles,Los Angeles
A-54161,34.480923,-118.149529,CA,Los Angeles,Acton
A-54192,34.275146,-118.536369,CA,Los Angeles,Porter Ranch
A-54254,34.155727,-118.431236,CA,Los Angeles,Sherman Oaks
A-54319,34.084,-118.599548,CA,Los Angeles,Topanga
A-54355,34.090599,-118.392021,CA,Los Angeles,West Hollywood
A-54447,34.259716,-118.329666,CA,Los Angeles,Sunland
A-54514,34.402683,-118.45498700000002,CA,Los Angeles,Canyon Country
A-54540,34.366669,-118.502739,CA,Los Angeles,Newhall
A-54570,33.786015,-118.093086,CA,Los Angeles,Long Beach
A-54595,34.234734,-118.290016,CA,Los Angeles,Sun Valley
A-54665,33.916451,-118.317802,CA,Los Angeles,Gardena
A-54720,34.340969,-118.110191,CA,Los Angeles,Palmdale
A-54721,34.184437,-117.872643,CA,Los Angeles,Azusa
A-54724,34.269695,-118.1493,CA,Los Angeles,Valyermo
A-54752,34.521107,-117.983665,CA,Los Angeles,Littlerock
A-54831,34.171951,-118.605896,CA,Los Angeles,Woodland Hills
A-54948,34.046021,-118.741707,CA,Los Angeles,Malibu
A-55008,34.103973,-118.190994,CA,Los Angeles,Los Angeles
A-55176,34.034119,-118.486374,CA,Los Angeles,Santa Monica
A-55177,34.433743,-118.385757,CA,Los Angeles,Canyon Country
A-55283,34.126282,-117.917938,CA,Los Angeles,Azusa
A-55352,34.071808000000004,-118.122864,CA,Los Angeles,Alhambra
A-55375,33.813431,-118.167686,CA,Los Angeles,Long Beach
A-55405,34.031040000000004,-118.390388,CA,Los Angeles,Los Angeles
A-55468,34.110123,-118.740257,CA,Los Angeles,Agoura Hills
A-55484,33.990986,-117.931801,CA,Los Angeles,Rowland Heights
A-55588,34.296772,-118.455299,CA,Los Angeles,Sylmar
A-55596,34.113789000000004,-118.785316,CA,Los Angeles,Agoura Hills
A-55650,34.466724,-118.329163,CA,Los Angeles,Santa Clarita
A-55661,33.802834000000004,-118.125191,CA,Los Angeles,Long Beach
A-55669,34.119492,-117.76162,CA,Los Angeles,La Verne
A-55765,34.176346,-117.675926,CA,Los Angeles,Valyermo
A-55772,33.921532,-117.98748799999998,CA,Los Angeles,Whittier
A-55784,33.978001,-117.981949,CA,Los Angeles,Hacienda Heights
A-55848,34.099369,-117.819221,CA,Los Angeles,San Dimas
A-55906,34.150707000000004,-118.809868,CA,Los Angeles,Westlake Village
A-56000,34.105995,-118.017395,CA,Los Angeles,Arcadia
A-56001,34.143253,-118.738083,CA,Los Angeles,Agoura Hills
A-56013,34.52026,-118.317062,CA,Los Angeles,Santa Clarita
A-56115,33.782532,-118.352364,CA,Los Angeles,Rolling Hills Estates
A-56254,34.222126,-118.366646,CA,Los Angeles,Sun Valley
A-56311,33.899769,-118.370544,CA,Los Angeles,Hawthorne
A-56318,34.229557,-118.248657,CA,Los Angeles,La Crescenta
A-56780,34.448032,-118.665871,CA,Los Angeles,Castaic
A-57212,34.521851,-118.045189,CA,Los Angeles,Palmdale
A-57220,34.446724,-118.48063700000002,CA,Los Angeles,Santa Clarita
A-57314,34.38118,-118.413422,CA,Los Angeles,Canyon Country
A-57325,33.978294,-118.436264,CA,Los Angeles,Marina Del Rey
A-57371,34.314442,-117.836723,CA,Los Angeles,Valyermo
A-57434,34.123188,-118.341576,CA,Los Angeles,Los Angeles
A-57458,34.483849,-118.464966,CA,Los Angeles,Santa Clarita
A-57465,34.185848,-118.12323,CA,Los Angeles,Altadena
A-57576,34.070393,-118.666122,CA,Los Angeles,Malibu
A-57633,34.204048,-117.808945,CA,Los Angeles,Valyermo
A-57643,34.463249,-118.557175,CA,Los Angeles,Valencia
A-58833,34.498627,-117.791534,CA,Los Angeles,Llano
A-58934,34.27301,-118.043343,CA,Los Angeles,Valyermo
A-58954,34.483115999999995,-117.712868,CA,Los Angeles,Llano
A-59231,34.236046,-117.659889,CA,Los Angeles,Valyermo
A-59407,34.355911,-117.877304,CA,Los Angeles,Valyermo
A-59572,34.115852000000004,-118.592117,CA,Los Angeles,Topanga
A-59993,34.155876,-117.836609,CA,Los Angeles,Glendora
A-3524620,34.58119,-118.13364,CA,Los Angeles,Palmdale
A-3524829,34.75584,-118.79559,CA,Los Angeles,Lebec
A-3525221,34.68097,-118.16309,CA,Los Angeles,Lancaster
A-3526517,34.219590999999994,-118.609734,CA,Los Angeles,Canoga Park
A-3526661,34.69024,-117.97547,CA,Los Angeles,Lancaster
A-3526781,34.57247,-118.69176000000002,CA,Los Angeles,Castaic
A-3527048,34.073855,-118.814456,CA,Los Angeles,Malibu
A-3527077,34.50645,-117.906469,CA,Los Angeles,Pearblossom
A-3527274,34.25846,-118.1052,CA,Los Angeles,La Canada Flintridge
A-3527329,34.66434,-118.76092,CA,Los Angeles,Lebec
A-3528271,34.6495,-118.15347,CA,Los Angeles,Lancaster
A-3528317,34.510865,-118.354088,CA,Los Angeles,Santa Clarita
A-3528353,33.759433,-118.235152,CA,Los Angeles,Long Beach
A-3528686,34.37894,-117.69061,CA,Los Angeles,Llano
A-3528721,33.83757,-118.366364,CA,Los Angeles,Torrance
A-3528735,34.64602,-118.04089,CA,Los Angeles,Palmdale
A-3528792,34.23501,-118.183921,CA,Los Angeles,La Canada Flintridge
A-3528912,34.351058,-118.544926,CA,Los Angeles,Newhall
A-3529036,34.53798,-118.082514,CA,Los Angeles,Palmdale
A-3529054,34.77316,-118.7632,CA,Los Angeles,Lancaster
