ID,Start_Lat,Start_Lng,State,County,City
A-53211,33.192974,-117.268814,CA,San Diego,Vista
A-53242,32.704197,-117.011101,CA,San Diego,Spring Valley
A-53246,33.360149,-117.53678899999998,CA,San Diego,San Clemente
A-53256,32.863312,-117.110138,CA,San Diego,San Diego
A-53264,32.719097,-117.08255,CA,San Diego,San Diego
A-53273,32.669788,-117.111519,CA,San Diego,National City
A-53282,33.331142,-117.15908799999998,CA,San Diego,Fallbrook
A-53283,33.257095,-117.157852,CA,San Diego,Vista
A-53284,33.162022,-117.105743,CA,San Diego,Escondido
A-53285,33.138409,-117.33149,CA,San Diego,Carlsbad
A-53286,33.236999999999995,-117.245743,CA,San Diego,Vista
A-53293,33.089455,-117.301628,CA,San Diego,Encinitas
A-53294,32.763817,-117.163246,CA,San Diego,San Diego
A-53295,32.689240000000005,-117.093956,CA,San Diego,San Diego
A-53298,33.107887,-117.313629,CA,San Diego,Carlsbad
A-53315,32.918175,-117.116005,CA,San Diego,San Diego
A-53329,32.815353,-117.1586,CA,San Diego,San Diego
A-53331,32.708282000000004,-117.097534,CA,San Diego,San Diego
A-53339,32.583889,-117.087273,CA,San Diego,San Diego
A-53344,32.610638,-117.036507,CA,San Diego,Chula Vista
A-53347,32.627644000000004,-117.043266,CA,San Diego,Chula Vista
A-53369,32.838482,-117.147774,CA,San Diego,San Diego
A-53378,32.896534,-117.225883,CA,San Diego,San Diego
A-53390,32.924484,-117.239227,CA,San Diego,San Diego
A-53391,32.883888,-117.126534,CA,San Diego,San Diego
A-53396,33.128971,-117.114365,CA,San Diego,Escondido
A-53417,33.030678,-116.563049,CA,San Diego,Julian
A-53430,33.182899,-117.17263,CA,San Diego,San Marcos
A-53446,32.872013,-117.229332,CA,San Diego,La Jolla
A-53448,32.853775,-117.182106,CA,San Diego,San Diego
A-53464,32.869053,-117.194023,CA,San Diego,San Diego
A-53520,33.201244,-117.128273,CA,San Diego,Escondido
A-53521,32.731983,-117.111252,CA,San Diego,San Diego
A-53534,33.153217,-117.202003,CA,San Diego,San Marcos
A-53537,32.739079,-116.972473,CA,San Diego,Spring Valley
A-53542,33.111858000000005,-117.09713,CA,San Diego,Escondido
A-53565,32.779434,-117.112526,CA,San Diego,San Diego
A-53577,32.778069,-117.003967,CA,San Diego,La Mesa
A-53605,32.637962,-117.099243,CA,San Diego,Chula Vista
A-53610,33.361996000000005,-117.249275,CA,San Diego,Fallbrook
A-53647,33.037098,-116.864838,CA,San Diego,Ramona
A-53649,33.036228,-117.281273,CA,San Diego,Cardiff By the Sea
A-53650,32.669979,-116.315353,CA,San Diego,Boulevard
A-53657,32.995827,-117.256516,CA,San Diego,Solana Beach
A-53677,32.770519,-117.137062,CA,San Diego,San Diego
A-53691,33.141159,-117.185867,CA,San Diego,San Marcos
A-53762,32.572529,-116.950928,CA,San Diego,San Diego
A-53771,32.855068,-116.947021,CA,San Diego,Lakeside
A-53785,32.568222,-117.076187,CA,San Diego,San Diego
A-53911,33.200302,-117.371819,CA,San Diego,Oceanside
A-53914,33.284492,-117.02356,CA,San Diego,Valley Center
A-53918,32.760445000000004,-117.186852,CA,San Diego,San Diego
A-53937,33.385609,-117.583092,CA,San Diego,San Clemente
A-53938,32.683811,-117.027405,CA,San Diego,Bonita
A-54006,32.749748,-117.108971,CA,San Diego,San Diego
A-54014,33.293147999999995,-117.241043,CA,San Diego,Bonsall
