ID,Start_Lat,Start_Lng,State,County,City
A-3511199,39.64614,-106.31176,CO,Eagle,Vail
A-3511340,39.69917,-106.67575,CO,Eagle,Edwards
A-3511353,39.531413,-106.393093,CO,Eagle,Vail
A-3511354,39.516186,-106.385154,CO,Eagle,Vail
A-3511355,39.64943,-106.587911,CO,Eagle,Silverthorne
A-3511400,39.60898,-106.4533,CO,Eagle,Vail
A-3511414,39.539458,-106.215234,CO,Eagle,Vail
A-3511496,39.662315,-106.824553,CO,Eagle,Eagle
A-3511498,39.652135,-106.959658,CO,Eagle,Gypsum
A-3511593,39.388903000000006,-107.083701,CO,Eagle,Basalt
A-3511701,39.6442,-106.37824,CO,Eagle,Vail
