ID,Start_Lat,Start_Lng,State,County,City
A-167332,41.635418,-88.16095,IL,Will,Plainfield
A-167461,41.667282,-88.102036,IL,Will,Bolingbrook
A-167464,41.699223,-88.040504,IL,Will,Bolingbrook
A-167571,41.535027,-87.886421,IL,Will,Mokena
A-167760,41.622982,-88.20270500000002,IL,Will,Plainfield
A-167840,41.394768,-88.192879,IL,Will,Channahon
A-167882,41.603703,-88.16330699999996,IL,Will,Plainfield
A-168209,41.542191,-87.943237,IL,Will,Mokena
A-168211,41.688667,-88.047539,IL,Will,Woodridge
A-168234,41.520161,-87.991638,IL,Will,New Lenox
A-168239,41.511154,-88.12439,IL,Will,Joliet
A-168302,41.277802,-88.23960100000002,IL,Will,Braidwood
A-168317,41.597309,-88.130951,IL,Will,Romeoville
A-168373,41.685043,-88.067947,IL,Will,Bolingbrook
A-168452,41.66703,-88.125153,IL,Will,Romeoville
A-168483,41.529892,-88.124901,IL,Will,Joliet
A-168484,41.553047,-87.853394,IL,Will,Orland Park
A-168495,41.51302,-88.042671,IL,Will,Joliet
A-168689,41.702904,-88.12539699999998,IL,Will,Bolingbrook
A-168844,41.399677,-87.62458000000002,IL,Will,Crete
A-168845,41.600075,-87.925163,IL,Will,Homer Glen
A-3450407,41.32838,-87.81929000000002,IL,Will,Peotone
A-3451030,41.53637,-87.96882,IL,Will,New Lenox
A-3451931,41.48582,-88.20483,IL,Will,Shorewood
A-3452276,41.65329000000001,-88.13011,IL,Will,Plainfield
A-3452364,41.51253,-88.07567,IL,Will,Joliet
A-3452956,41.55082,-87.80006,IL,Will,Tinley Park
A-3453545,41.59824,-88.00728000000002,IL,Will,Homer Glen
