ID,Start_Lat,Start_Lng,State,County,City
A-228663,39.973007,-76.677071,PA,York,York
A-228702,39.762165,-76.651009,PA,York,New Freedom
A-228713,39.956806,-76.735603,PA,York,York
A-228717,39.981911,-76.744934,PA,York,York
A-228738,39.966316,-76.774956,PA,York,York
A-228853,39.972961,-76.694016,PA,York,York
A-228859,39.954529,-76.718552,PA,York,York
A-228894,40.0168,-76.814026,PA,York,York
A-228910,39.901497,-76.646866,PA,York,Dallastown
A-228920,39.948494,-76.793503,PA,York,York
A-228985,40.178837,-76.836861,PA,York,New Cumberland
A-228995,39.994362,-76.649574,PA,York,York
A-228996,39.935867,-76.692123,PA,York,York
A-229014,39.798306,-76.98091099999998,PA,York,Hanover
A-229015,39.923473,-76.63466600000002,PA,York,Red Lion
A-229035,39.952606,-76.770279,PA,York,York
A-229092,39.906994,-76.939171,PA,York,Thomasville
A-229134,39.986317,-76.667427,PA,York,York
A-229149,39.749348,-76.80484799999998,PA,York,Glen Rock
A-229237,39.988602,-76.683838,PA,York,York
A-229242,39.824318,-76.993721,PA,York,Hanover
A-229252,40.036137,-76.75296800000002,PA,York,York
A-229326,40.16787,-76.903679,PA,York,Lewisberry
A-229328,40.026024,-76.727722,PA,York,Manchester
A-229329,39.816807,-76.62984499999997,PA,York,Stewartstown
A-229348,39.876862,-76.875732,PA,York,Spring Grove
A-229369,39.799438,-76.94547299999998,PA,York,Hanover
A-229375,39.894588,-76.58242,PA,York,Red Lion
A-229415,39.967278,-76.73246,PA,York,York
A-229424,39.783524,-76.595512,PA,York,Stewartstown
A-229467,39.863171,-76.89380600000001,PA,York,Spring Grove
A-229527,39.781151,-76.953011,PA,York,Hanover
A-229565,39.912235,-76.697372,PA,York,York
A-229587,39.934643,-76.713837,PA,York,York
A-229609,40.024948,-76.533783,PA,York,Wrightsville
A-229614,39.878216,-76.660728,PA,York,Dallastown
A-229635,39.809025,-76.997124,PA,York,Hanover
A-229636,40.151783,-76.819702,PA,York,Etters
A-229638,40.044872,-76.726959,PA,York,Manchester
A-229639,39.92683,-76.542633,PA,York,Windsor
A-229719,40.057388,-77.06397199999998,PA,York,Dillsburg
A-229735,39.73893,-76.703156,PA,York,New Freedom
A-229768,40.216667,-76.860466,PA,York,New Cumberland
A-229777,40.013359,-76.726295,PA,York,York
A-229800,39.759575,-76.975967,PA,York,Hanover
A-229871,40.073868,-76.90181700000002,PA,York,Wellsville
A-229872,39.771107,-76.66744200000002,PA,York,New Freedom
A-229892,39.907291,-76.679901,PA,York,York
A-229913,39.924713,-76.648605,PA,York,Red Lion
A-229938,39.944241,-76.733238,PA,York,York
A-229987,39.831032,-76.830574,PA,York,Seven Valleys
A-230010,40.111488,-76.817482,PA,York,York Haven
A-230039,39.788269,-76.729843,PA,York,Glen Rock
A-230049,39.928185,-76.855919,PA,York,Thomasville
A-230124,39.937897,-76.768188,PA,York,York
A-230298,39.842056,-76.632019,PA,York,Felton
A-230305,39.966812,-76.71122,PA,York,York
A-230317,39.746731,-76.35949699999998,PA,York,Delta
A-230320,39.949986,-76.665871,PA,York,York
A-230398,39.909782,-76.621338,PA,York,Red Lion
A-230405,39.960922,-76.759956,PA,York,York
A-230418,39.987389,-76.7854,PA,York,York
A-230427,39.894806,-76.866112,PA,York,Spring Grove
A-230486,39.958378,-76.681473,PA,York,York
A-230523,39.96146,-76.611458,PA,York,York
A-230526,39.974434,-76.764954,PA,York,York
A-230546,40.068489,-76.76722,PA,York,York
A-230584,39.951214,-76.83206899999998,PA,York,York
A-230586,39.833759,-76.946556,PA,York,Hanover
A-230592,39.911018,-76.54493000000002,PA,York,Red Lion
A-230659,39.738892,-76.984489,PA,York,Hanover
A-230699,40.016499,-76.609825,PA,York,York
A-230706,40.053951,-76.64711,PA,York,Mount Wolf
A-230722,39.983829,-76.722176,PA,York,York
A-230759,39.930866,-76.661705,PA,York,York
A-230820,40.022213,-76.740852,PA,York,York
A-230952,39.993179,-76.84246800000003,PA,York,Dover
A-231058,40.003998,-76.74981700000002,PA,York,York
A-231224,40.146255,-76.965843,PA,York,Dillsburg
A-231277,39.913425,-76.768135,PA,York,York
A-231464,39.991554,-76.734398,PA,York,York
A-231567,39.887547,-76.785393,PA,York,York
A-231570,39.879562,-76.521339,PA,York,Brogue
A-231646,39.816727,-76.973915,PA,York,Hanover
A-231750,40.002579,-76.851738,PA,York,Dover
A-231816,39.782108,-76.978607,PA,York,Hanover
A-231830,39.890373,-76.81452900000002,PA,York,Spring Grove
A-231953,40.127956,-77.01688399999998,PA,York,Dillsburg
A-231985,40.00404,-76.733322,PA,York,York
A-232069,39.847645,-76.915459,PA,York,Hanover
A-232070,39.940556,-76.525063,PA,York,Windsor
A-232074,39.967991,-76.82798000000003,PA,York,York
A-232087,39.982059,-76.81465899999998,PA,York,Dover
A-232235,40.199867,-76.90128299999998,PA,York,New Cumberland
A-232236,39.948383,-76.747833,PA,York,York
A-232253,39.972416,-76.904587,PA,York,Dover
A-232257,39.906906,-76.662491,PA,York,Dallastown
A-232271,39.959637,-76.63846600000002,PA,York,York
A-232280,39.982388,-76.70818299999998,PA,York,York
A-232356,39.949368,-76.513763,PA,York,Wrightsville
A-232361,39.739178,-76.28958100000001,PA,York,Delta
A-232363,39.928555,-76.82268499999998,PA,York,York
A-232384,40.206974,-76.875435,PA,York,New Cumberland
A-232425,39.803577,-76.967766,PA,York,Hanover
A-232483,39.93663400000001,-76.645393,PA,York,Red Lion
A-232516,39.910538,-76.842033,PA,York,Thomasville
A-232578,39.918278,-76.678673,PA,York,York
A-232587,39.758293,-76.619644,PA,York,Stewartstown
A-232605,39.965359,-76.536781,PA,York,York
A-232688,39.754677,-76.950172,PA,York,Hanover
A-232729,39.9897,-76.556816,PA,York,York
A-232749,39.937241,-76.7985,PA,York,York
A-233094,39.801552,-76.597412,PA,York,Stewartstown
A-233148,40.048412,-76.688538,PA,York,Mount Wolf
A-233180,40.121792,-76.78241700000002,PA,York,York Haven
A-233206,40.015179,-76.69249,PA,York,York
A-233230,39.782757,-76.894203,PA,York,Hanover
A-233250,40.16745,-76.837311,PA,York,Lewisberry
A-233253,39.854671,-76.56488,PA,York,Felton
A-233262,39.882957,-76.621262,PA,York,Red Lion
A-233294,39.872307,-76.484589,PA,York,Brogue
A-233308,39.863834,-76.945137,PA,York,Hanover
A-233316,40.077934,-76.92828399999998,PA,York,Dillsburg
A-233325,40.116032,-76.955391,PA,York,Dillsburg
A-233398,39.758705,-76.99337,PA,York,Hanover
A-233401,40.08226,-76.76516,PA,York,York
A-233477,39.852051,-76.92977900000002,PA,York,Hanover
A-233487,39.914284,-76.643326,PA,York,Dallastown
A-233649,39.978962,-76.850128,PA,York,Dover
A-3451565,40.02694,-76.55613000000002,PA,York,Wrightsville
A-3454266,40.110108,-77.04069799999998,PA,York,Dillsburg
