ID,Start_Lat,Start_Lng,State,County,City
A-229074,38.829964,-77.11344100000002,VA,Alexandria,Alexandria
A-229143,38.794235,-77.054161,VA,Alexandria,Alexandria
A-229276,38.815773,-77.137749,VA,Alexandria,Alexandria
A-229283,38.821716,-77.04386099999998,VA,Alexandria,Alexandria
A-229434,38.834785,-77.098129,VA,Alexandria,Alexandria
A-229562,38.793182,-77.046295,VA,Alexandria,Alexandria
A-230372,38.794098,-77.056061,VA,Alexandria,Alexandria
A-230470,38.801922,-77.111725,VA,Alexandria,Alexandria
A-231292,38.800537,-77.077759,VA,Alexandria,Alexandria
A-233593,38.830257,-77.043869,VA,Alexandria,Alexandria
A-3452571,38.818978,-77.131235,VA,Alexandria,Alexandria
