ID,Start_Lat,Start_Lng,State,County,City
A-3445392,35.20625,-80.79549,NC,Mecklenburg,Charlotte
A-3445393,35.23945,-80.85252,NC,Mecklenburg,Charlotte
A-3445395,35.199036,-80.867664,NC,Mecklenburg,Charlotte
A-3445397,35.13283,-80.80945600000003,NC,Mecklenburg,Charlotte
A-3445399,35.17609,-80.87482,NC,Mecklenburg,Charlotte
A-3445401,35.22192000000001,-80.83279,NC,Mecklenburg,Charlotte
A-3445402,35.23443,-80.85771,NC,Mecklenburg,Charlotte
A-3445410,35.22784,-80.91346800000002,NC,Mecklenburg,Charlotte
A-3445420,35.214437,-80.780821,NC,Mecklenburg,Charlotte
A-3445430,35.055361,-80.85951899999998,NC,Mecklenburg,Charlotte
A-3445433,35.213774,-80.837366,NC,Mecklenburg,Charlotte
A-3445437,35.076734,-80.742723,NC,Mecklenburg,Charlotte
A-3445481,35.31281,-80.70561,NC,Mecklenburg,Charlotte
A-3445482,35.23962,-80.91956,NC,Mecklenburg,Charlotte
A-3445515,35.133604,-80.762904,NC,Mecklenburg,Charlotte
A-3445524,35.20914000000001,-80.85418100000003,NC,Mecklenburg,Charlotte
A-3445525,35.29810900000001,-80.73803199999998,NC,Mecklenburg,Charlotte
A-3445526,35.140166,-80.91289300000003,NC,Mecklenburg,Charlotte
A-3445528,35.136517,-80.904663,NC,Mecklenburg,Charlotte
A-3445569,35.50615,-80.86633,NC,Mecklenburg,Davidson
A-3445607,35.28565,-80.76233,NC,Mecklenburg,Charlotte
A-3445608,35.19815,-80.88356999999998,NC,Mecklenburg,Charlotte
A-3445662,35.30918,-80.75976,NC,Mecklenburg,Charlotte
A-3445823,35.443675,-80.865791,NC,Mecklenburg,Huntersville
A-3445825,35.136983,-80.885676,NC,Mecklenburg,Charlotte
A-3445826,35.31794199999999,-80.777314,NC,Mecklenburg,Charlotte
A-3445827,35.261691,-80.819096,NC,Mecklenburg,Charlotte
A-3445841,35.409128,-80.854649,NC,Mecklenburg,Huntersville
A-3445855,35.10277,-80.98872,NC,Mecklenburg,Charlotte
A-3445867,35.11725,-80.95756,NC,Mecklenburg,Charlotte
A-3445868,35.209606,-80.82350500000003,NC,Mecklenburg,Charlotte
A-3445878,35.22490999999999,-80.865199,NC,Mecklenburg,Charlotte
A-3445880,35.37023,-80.81069000000002,NC,Mecklenburg,Huntersville
A-3445912,35.230592,-80.846982,NC,Mecklenburg,Charlotte
A-3445913,35.132206,-80.875261,NC,Mecklenburg,Charlotte
A-3445917,35.214219,-80.862368,NC,Mecklenburg,Charlotte
A-3445919,35.450436,-80.796323,NC,Mecklenburg,Davidson
A-3445920,35.367413,-80.7845,NC,Mecklenburg,Charlotte
A-3445941,35.244767,-80.892123,NC,Mecklenburg,Charlotte
A-3445943,35.2349,-80.83785999999998,NC,Mecklenburg,Charlotte
