ID,Start_Lat,Start_Lng,State,County,City
A-228716,39.17767,-77.661041,VA,Loudoun,Hamilton
A-228724,39.187378,-77.68004599999998,VA,Loudoun,Purcellville
A-228736,39.186554,-77.687309,VA,Loudoun,Purcellville
A-228759,39.11335800000001,-77.56192800000002,VA,Loudoun,Leesburg
A-228770,38.91592,-77.472588,VA,Loudoun,Chantilly
A-228779,39.04467,-77.519981,VA,Loudoun,Ashburn
A-228947,39.080189,-77.499268,VA,Loudoun,Leesburg
A-228975,39.007561,-77.418663,VA,Loudoun,Sterling
A-228978,39.037399,-77.415199,VA,Loudoun,Sterling
A-229025,39.01672,-77.489929,VA,Loudoun,Ashburn
A-229026,39.028133,-77.422974,VA,Loudoun,Sterling
A-229051,39.065563,-77.469162,VA,Loudoun,Ashburn
A-229052,39.017937,-77.378128,VA,Loudoun,Sterling
A-229056,38.995388,-77.482529,VA,Loudoun,Ashburn
A-229063,38.962803,-77.53568299999998,VA,Loudoun,Ashburn
A-229067,39.071384,-77.48162099999998,VA,Loudoun,Ashburn
A-229077,38.903252,-77.493279,VA,Loudoun,Chantilly
A-229082,38.942787,-77.51880600000001,VA,Loudoun,Sterling
A-229085,38.992279,-77.563812,VA,Loudoun,Ashburn
A-229096,39.024616,-77.390404,VA,Loudoun,Sterling
A-229104,39.031437,-77.378784,VA,Loudoun,Sterling
A-229147,39.13818,-77.735283,VA,Loudoun,Purcellville
A-229192,39.029106,-77.48494000000002,VA,Loudoun,Ashburn
A-229209,39.05585900000001,-77.57646899999997,VA,Loudoun,Leesburg
A-229210,39.001213,-77.475716,VA,Loudoun,Ashburn
A-229264,38.929428,-77.518982,VA,Loudoun,Chantilly
A-229321,38.988926,-77.503784,VA,Loudoun,Ashburn
A-229344,39.045811,-77.408447,VA,Loudoun,Sterling
A-229359,39.021725,-77.480446,VA,Loudoun,Ashburn
A-229405,38.990513,-77.45837399999998,VA,Loudoun,Sterling
A-229420,39.216297,-77.534485,VA,Loudoun,Leesburg
A-229457,39.028015,-77.448318,VA,Loudoun,Ashburn
A-229458,38.979115,-77.429192,VA,Loudoun,Sterling
A-229466,39.001362,-77.529106,VA,Loudoun,Ashburn
A-229480,38.933861,-77.550285,VA,Loudoun,Aldie
A-229519,38.982819,-77.454018,VA,Loudoun,Sterling
A-229529,39.141029,-77.612144,VA,Loudoun,Paeonian Springs
A-229559,38.939552,-77.54502099999998,VA,Loudoun,Aldie
A-229575,38.96825,-77.735023,VA,Loudoun,Middleburg
A-229621,39.020523,-77.408913,VA,Loudoun,Sterling
A-229649,39.14241,-77.69180300000002,VA,Loudoun,Purcellville
A-229650,38.932667,-77.52738199999997,VA,Loudoun,Chantilly
A-229681,38.920952,-77.555756,VA,Loudoun,Aldie
A-229684,39.134907,-77.76609,VA,Loudoun,Round Hill
A-229706,38.998299,-77.397133,VA,Loudoun,Sterling
A-229826,39.010841,-77.496338,VA,Loudoun,Ashburn
A-229827,39.050591,-77.4841,VA,Loudoun,Ashburn
A-229849,39.034809,-77.406174,VA,Loudoun,Sterling
A-229861,39.024708,-77.40158100000002,VA,Loudoun,Sterling
A-229870,39.270927,-77.548309,VA,Loudoun,Leesburg
A-229877,39.063992,-77.48123199999998,VA,Loudoun,Ashburn
A-229983,38.920658,-77.496666,VA,Loudoun,Chantilly
A-229991,38.936722,-77.537842,VA,Loudoun,Chantilly
A-230045,39.148983,-77.614868,VA,Loudoun,Paeonian Springs
A-230054,39.136536,-77.704643,VA,Loudoun,Purcellville
A-230101,39.240303,-77.70105,VA,Loudoun,Lovettsville
A-230111,38.979443,-77.443802,VA,Loudoun,Sterling
A-230123,39.028538,-77.463852,VA,Loudoun,Ashburn
A-230128,39.044598,-77.390648,VA,Loudoun,Sterling
A-230155,39.122173,-77.6791,VA,Loudoun,Hamilton
A-230156,38.925026,-77.507858,VA,Loudoun,Chantilly
A-230157,39.041668,-77.474419,VA,Loudoun,Ashburn
