ID,Start_Lat,Start_Lng,State,County,City
A-3445561,38.175522,-78.407423,VA,Albemarle,Charlottesville
A-3446590,38.12389,-78.44478000000002,VA,Albemarle,Charlottesville
A-3447524,38.03493,-78.60693,VA,Albemarle,Charlottesville
A-3447578,38.04586,-78.72927,VA,Albemarle,Crozet
A-3447900,38.016526,-78.425925,VA,Albemarle,Charlottesville
A-3449503,38.13901,-78.430675,VA,Albemarle,Charlottesville
A-3451654,38.085617,-78.471536,VA,Albemarle,Charlottesville
A-3452615,38.047098,-78.77086700000002,VA,Albemarle,Greenwood
A-3453107,37.967789,-78.616838,VA,Albemarle,North Garden
A-3454821,37.999989,-78.34849100000002,VA,Albemarle,Keswick
