ID,Start_Lat,Start_Lng,State,County,City
A-3511045,40.6206,-111.897009,UT,Salt Lake,Midvale
A-3511071,40.64479,-111.938894,UT,Salt Lake,Salt Lake City
A-3511072,40.71232,-111.93897,UT,Salt Lake,West Valley City
A-3511075,40.71172,-111.9039,UT,Salt Lake,Salt Lake City
A-3511077,40.56412,-111.89942,UT,Salt Lake,South Jordan
A-3511140,40.72243,-112.04661000000002,UT,Salt Lake,West Valley City
A-3511144,40.760682,-111.914579,UT,Salt Lake,Salt Lake City
A-3511145,40.717216,-111.853521,UT,Salt Lake,Salt Lake City
A-3511147,40.7145,-111.82831000000002,UT,Salt Lake,Salt Lake City
A-3511149,40.73928,-111.90424,UT,Salt Lake,Salt Lake City
A-3511150,40.5935,-111.9027,UT,Salt Lake,Sandy
A-3511177,40.72626,-111.97393,UT,Salt Lake,West Valley City
A-3511184,40.81384,-111.9228,UT,Salt Lake,Salt Lake City
A-3511190,40.634448,-111.83426,UT,Salt Lake,Salt Lake City
A-3511194,40.74218,-111.73751,UT,Salt Lake,Salt Lake City
A-3511202,40.65308,-111.978993,UT,Salt Lake,Salt Lake City
A-3511252,40.76585,-111.94621399999998,UT,Salt Lake,Salt Lake City
A-3511291,40.66928,-111.90125,UT,Salt Lake,Salt Lake City
A-3511296,40.69661,-111.98046200000002,UT,Salt Lake,West Valley City
A-3511301,40.52231,-111.944956,UT,Salt Lake,Riverton
A-3511331,40.750055,-111.83057,UT,Salt Lake,Salt Lake City
A-3511339,40.769956,-111.88826,UT,Salt Lake,Salt Lake City
A-3511360,40.64105,-111.90326,UT,Salt Lake,Salt Lake City
A-3511424,40.56188,-111.9772,UT,Salt Lake,South Jordan
A-3511514,40.7259,-112.0187,UT,Salt Lake,West Valley City
A-3511515,40.69197,-111.95187,UT,Salt Lake,West Valley City
A-3511518,40.71809,-112.11069,UT,Salt Lake,Magna
A-3511529,40.68061,-111.79821,UT,Salt Lake,Salt Lake City
A-3511614,40.764772,-111.986516,UT,Salt Lake,Salt Lake City
A-3511667,40.72803,-112.17087,UT,Salt Lake,Magna
A-3511683,40.67177,-111.95277,UT,Salt Lake,Salt Lake City
A-3511688,40.731368,-111.8712,UT,Salt Lake,Salt Lake City
