ID,Start_Lat,Start_Lng,State,County,City
A-5118,38.481644,-121.334816,CA,Sacramento,Sacramento
A-5119,37.421124,-122.092476,CA,Santa Clara,Mountain View
A-5120,37.789349,-122.254303,CA,Alameda,Oakland
A-5121,37.257954,-122.093964,CA,Santa Clara,Saratoga
A-5122,38.004459,-122.038872,CA,Contra Costa,Concord
A-5123,37.935719,-122.347549,CA,Contra Costa,Richmond
A-5126,37.321136,-121.899902,CA,Santa Clara,San Jose
A-5131,38.378597,-122.552788,CA,Sonoma,Glen Ellen
A-5132,38.705982,-121.363174,CA,Sacramento,Antelope
A-5133,37.254089,-122.373581,CA,San Mateo,Pescadero
A-5134,38.246796,-122.627808,CA,Sonoma,Petaluma
A-5135,38.56559,-121.499863,CA,Sacramento,Sacramento
A-5136,37.764954,-121.410652,CA,San Joaquin,Tracy
A-5139,38.886555,-121.237999,CA,Placer,Lincoln
A-5142,37.656654,-121.901588,CA,Alameda,Pleasanton
A-5144,37.190643,-121.69342,CA,Santa Clara,Morgan Hill
A-5146,37.748791,-122.404007,CA,San Francisco,San Francisco
A-5150,37.535507,-122.075211,CA,Alameda,Fremont
A-5155,37.966076,-121.243034,CA,San Joaquin,Stockton
A-5161,37.552986,-122.295914,CA,San Mateo,San Mateo
A-5165,38.957283,-121.033333,CA,Placer,Auburn
A-5166,38.243504,-122.268661,CA,Napa,Napa
A-5180,38.255573,-122.422401,CA,Sonoma,Sonoma
A-5181,38.01046,-122.230171,CA,Contra Costa,Rodeo
A-5182,37.866844,-122.039131,CA,Contra Costa,Alamo
A-5194,37.693562,-122.1119,CA,Alameda,San Leandro
A-5196,37.944382,-122.514839,CA,Marin,Greenbrae
A-5199,37.43473400000001,-121.88871,CA,Santa Clara,Milpitas
A-5205,37.686584,-121.057472,CA,Stanislaus,Modesto
A-5208,39.480412,-121.540627,CA,Butte,Oroville
A-5216,38.229687,-122.1157,CA,Solano,Fairfield
A-5220,38.18811,-120.826477,CA,Calaveras,Valley Springs
A-5221,38.69556400000001,-120.813416,CA,El Dorado,Diamond Springs
