ID,Start_Lat,Start_Lng,State,County,City
A-167322,41.799076,-87.802094,IL,Cook,Berwyn
A-167323,41.874142,-87.719757,IL,Cook,Chicago
A-167324,41.929115,-87.792938,IL,Cook,Elmwood Park
A-167325,38.604237,-90.092598,IL,Saint Clair,East Saint Louis
A-167326,41.995785,-88.185562,IL,Dupage,Bartlett
A-167327,42.319939,-87.895226,IL,Lake,North Chicago
A-167328,42.240257,-87.925262,IL,Lake,Libertyville
A-167330,41.809891,-88.074875,IL,DuPage,Lisle
A-167331,41.767647,-88.418716,IL,Kane,Sugar Grove
A-167332,41.635418,-88.16095,IL,Will,Plainfield
A-167333,42.313675,-88.098366,IL,Lake,Round Lake
A-167336,41.720947,-87.682076,IL,Cook,Evergreen Park
A-167338,42.353142,-87.977654,IL,Lake,Grayslake
A-167339,42.169876,-88.296318,IL,McHenry,Algonquin
A-167340,41.803806,-88.203468,IL,DuPage,Naperville
A-167344,41.788635,-87.94706,IL,DuPage,Clarendon Hills
A-167346,42.058395,-88.315392,IL,Kane,Elgin
A-167349,41.896847,-88.009506,IL,Dupage,Lombard
A-167353,42.254742,-88.020416,IL,Lake,Mundelein
A-167356,41.709782,-87.779579,IL,Cook,Chicago Ridge
A-167358,41.98489,-88.080261,IL,Dupage,Roselle
A-167362,41.754929,-88.291191,IL,Kane,Aurora
A-167365,42.199844,-87.84214,IL,Lake,Highland Park
A-167367,41.750504,-88.035416,IL,DuPage,Woodridge
A-167372,42.291523,-88.822037,IL,Boone,Belvidere
A-167377,41.981133,-87.878822,IL,Cook,Chicago
A-167380,41.783321,-87.649757,IL,Cook,Chicago
A-167381,41.861488,-88.160545,IL,Dupage,Winfield
A-167390,42.234478,-88.374214,IL,Mchenry,Crystal Lake
A-167400,41.634327,-87.578384,IL,Cook,Calumet City
A-167402,41.600929,-87.681229,IL,Cook,Markham
A-167415,42.377464,-87.830727,IL,Lake,Waukegan
A-167438,41.997215,-87.67038000000002,IL,Cook,Chicago
A-167443,41.718006,-87.944374,IL,Dupage,Willowbrook
A-167447,42.371204,-88.851547,IL,Boone,Poplar Grove
A-167457,41.931454,-87.939651,IL,DuPage,Elmhurst
A-167469,41.852894,-87.63095899999998,IL,Cook,Chicago
A-167486,42.066662,-88.144684,IL,Cook,Hoffman Estates
A-167489,41.915302,-88.208809,IL,DuPage,West Chicago
A-167493,42.153782,-88.038589,IL,Cook,Palatine
A-167512,41.867977,-87.93325,IL,DuPage,Elmhurst
A-167513,42.464924,-87.90340400000002,IL,Lake,Wadsworth
A-167515,41.916405,-88.120583,IL,Dupage,Carol Stream
A-167534,42.456841,-88.995193,IL,Winnebago,Roscoe
A-167571,41.535027,-87.886421,IL,Will,Mokena
A-167575,42.153004,-87.897217,IL,Lake,Riverwoods
A-167589,39.120304,-88.554062,IL,Effingham,Effingham
A-167599,41.519527,-90.513084,IL,Rock Island,Rock Island
A-167611,40.627983,-89.431679,IL,Tazewell,Morton
A-167615,41.528011,-87.732574,IL,Cook,Matteson
A-167617,41.995743,-88.33824200000002,IL,Kane,Elgin
A-167623,42.086674,-88.03138,IL,Cook,Rolling Meadows
A-167642,42.236938,-88.112549,IL,Lake,Barrington
A-167664,42.371624,-88.06665799999998,IL,Lake,Round Lake
A-167672,42.470829,-88.093384,IL,Lake,Antioch
A-167673,40.784435,-89.522285,IL,Tazewell,East Peoria
A-167713,41.307579,-88.702217,IL,La Salle,Marseilles
A-167716,40.121273,-88.173622,IL,Champaign,Urbana
A-167754,42.299385,-88.179573,IL,Lake,McHenry
A-167761,38.707981,-89.958939,IL,Madison,Collinsville
A-167763,41.751728,-87.56624599999998,IL,Cook,Chicago
A-167787,42.137955,-87.78840600000002,IL,Cook,Glencoe
A-167840,41.394768,-88.192879,IL,Will,Channahon
A-167850,38.599049,-89.985077,IL,St. Clair,Fairview Heights
A-167855,42.393929,-88.155739,IL,Lake,Fox Lake
A-167896,42.275291,-89.446815,IL,Winnebago,Pecatonica
A-167920,39.713524,-89.6437,IL,Sangamon,Springfield
A-167941,41.99823,-87.959412,IL,Cook,Elk Grove Village
A-167942,42.053616,-87.868652,IL,Cook,Des Plaines
A-167969,41.577045,-87.525261,IL,Cook,Lansing
A-167974,39.255646,-88.15365600000001,IL,Cumberland,Greenup
A-167976,42.154221,-88.13608599999998,IL,Lake,Barrington
A-167978,39.42775,-87.56031,IL,Clark,Marshall
A-167997,39.895084,-89.005569,IL,Macon,Decatur
A-168006,40.018871,-89.719551,IL,Menard,Greenview
A-168009,41.50621,-87.577499,IL,Cook,Chicago Heights
A-168011,42.192738,-89.996674,IL,Carroll,Mount Carroll
A-168028,42.122475,-88.432983,IL,Kane,Huntley
A-168034,42.290588,-88.933708,IL,Boone,Belvidere
A-168124,42.219658,-88.21315,IL,Mchenry,Cary
A-168201,40.251324,-88.625046,IL,De Witt,Farmer City
A-168206,42.25515,-88.55980699999998,IL,Mchenry,Marengo
A-168211,41.688667,-88.047539,IL,Will,Woodridge
A-168216,41.888752,-88.313988,IL,Kane,Geneva
A-168234,41.520161,-87.991638,IL,Will,New Lenox
A-168239,41.511154,-88.12439,IL,Will,Joliet
A-168279,41.941345,-88.749619,IL,Dekalb,Dekalb
A-168283,42.16925,-88.593536,IL,McHenry,Marengo
A-168289,40.581898,-89.141144,IL,McLean,Carlock
A-168295,41.093536,-88.450775,IL,Livingston,Dwight
A-168299,40.161224,-89.33985899999998,IL,Logan,Lincoln
A-168300,38.535446,-89.728699,IL,St. Clair,New Baden
A-168301,38.456043,-89.561287,IL,Washington,Okawville
A-168302,41.277802,-88.23960100000002,IL,Will,Braidwood
A-168303,38.778828,-89.935997,IL,Madison,Edwardsville
A-168304,41.376587,-88.778526,IL,LaSalle,Ottawa
A-168310,39.051952,-88.719635,IL,Effingham,Altamont
A-168343,41.87146,-87.833031,IL,Cook,Forest Park
A-168356,42.465912,-87.991783,IL,Lake,Wadsworth
A-168443,41.751266,-89.6894,IL,Whiteside,Rock Falls
A-168481,41.168598,-87.851341,IL,Kankakee,Bourbonnais
A-168494,42.480843,-88.204094,IL,McHenry,Spring Grove
A-168525,41.469276,-89.126991,IL,La Salle,Mendota
A-168651,42.479767,-88.30606800000002,IL,Mchenry,Richmond
A-168663,42.314114,-89.13507800000002,IL,Winnebago,Rockford
A-168787,40.105019,-87.674339,IL,Vermilion,Danville
A-168801,41.377228,-88.556168,IL,Grundy,Morris
A-168810,40.801727,-89.63104200000002,IL,Peoria,Peoria
A-168815,38.519882,-88.961739,IL,Marion,Kell
A-168844,41.399677,-87.62458000000002,IL,Will,Crete
A-168845,41.600075,-87.925163,IL,Will,Homer Glen
A-168856,38.765995,-90.124237,IL,Madison,Granite City
A-168858,41.367634,-89.218948,IL,Bureau,Dalzell
A-168955,42.237892,-89.077141,IL,Winnebago,Rockford
A-168962,38.429672,-90.180244,IL,Monroe,Columbia
A-3445640,42.06052,-87.75565,IL,Cook,Skokie
A-3446001,41.747374,-87.85902800000002,IL,Cook,Willow Springs
A-3446128,41.691281,-88.38028100000002,IL,Kendall,Oswego
A-3446245,41.93962,-87.70819,IL,Cook,Chicago
A-3446650,42.374967,-88.968389,IL,Winnebago,Caledonia
A-3447225,38.61689000000001,-90.17824,IL,St. Clair,East Saint Louis
A-3447298,39.990278,-89.84524,IL,Menard,Petersburg
A-3447330,39.951676,-88.26768100000002,IL,Champaign,Tolono
A-3447416,41.85325,-89.01044,IL,Lee,Steward
A-3447823,40.540164,-89.06515,IL,McLean,Bloomington
A-3448272,41.157269,-87.66264,IL,Kankakee,Momence
A-3448451,38.497204,-90.01979399999998,IL,St. Clair,Belleville
A-3448559,42.230174,-88.776038,IL,Boone,Belvidere
A-3448658,39.75191,-89.750961,IL,Sangamon,Springfield
A-3449065,38.802187,-89.598551,IL,Bond,Pocahontas
A-3449512,39.83659,-89.26122,IL,Sangamon,Illiopolis
