ID,Start_Lat,Start_Lng,State,County,City
A-194327,41.144882,-73.815628,NY,Westchester,Briarcliff Manor
A-194335,40.983498,-73.744141,NY,Westchester,White Plains
A-194337,40.929222,-73.810928,NY,Westchester,Mount Vernon
A-194346,40.556541,-74.207481,NY,Richmond,Staten Island
A-194347,40.83505200000001,-73.926147,NY,Bronx,Bronx
A-194348,40.66674,-73.801674,NY,Queens,South Ozone Park
A-194357,41.097534,-74.040215,NY,Rockland,Spring Valley
A-194358,40.63339600000001,-74.015869,NY,Kings,Brooklyn
A-194359,40.745674,-73.17821500000002,NY,Suffolk,East Islip
A-194363,41.263172,-73.93723299999998,NY,Westchester,Buchanan
A-194364,41.596886,-73.91098000000002,NY,Dutchess,Wappingers Falls
A-194365,41.575661,-73.821465,NY,Dutchess,Hopewell Junction
A-194366,41.390369,-73.59796899999998,NY,Putnam,Brewster
A-194368,40.788136,-72.957199,NY,Suffolk,Bellport
A-194377,42.73262800000001,-73.69811999999997,NY,Albany,Watervliet
A-194378,40.773491,-73.670662,NY,Nassau,Roslyn
A-194388,42.649979,-73.713722,NY,Rensselaer,Rensselaer
A-194403,41.274643,-73.710205,NY,Westchester,Katonah
A-194404,40.698277,-73.517715,NY,Nassau,Wantagh
A-194409,42.70504,-73.85374499999998,NY,Albany,Albany
A-194435,41.06310300000001,-73.86277,NY,Westchester,Tarrytown
A-194440,40.758385,-73.314079,NY,Suffolk,Deer Park
A-194441,42.000191,-73.90894300000002,NY,Dutchess,Red Hook
A-194448,40.596493,-73.90778399999998,NY,Kings,Brooklyn
A-194454,40.711079,-73.728096,NY,Queens,Queens Village
A-194463,40.933144,-72.673988,NY,Suffolk,Riverhead
A-194470,41.690796,-73.905579,NY,Dutchess,Poughkeepsie
A-194473,41.318748,-74.14304399999997,NY,Orange,Monroe
A-194475,40.74802800000001,-73.96817,NY,New York,New York
A-194476,40.682549,-73.381218,NY,Suffolk,Lindenhurst
A-194487,41.67104000000001,-73.76320600000003,NY,Dutchess,Lagrangeville
A-194492,40.913013,-72.882195,NY,Suffolk,Ridge
