ID,Start_Lat,Start_Lng,State,County,City
A-261164,29.437677,-98.489029,TX,Bexar,San Antonio
A-261165,32.835640000000005,-96.875099,TX,Dallas,Dallas
A-261166,29.770008,-95.401428,TX,Harris,Houston
A-261167,29.864588,-95.374474,TX,Harris,Houston
A-261170,29.619242,-95.493164,TX,Harris,Houston
A-261172,30.368856,-97.614388,TX,Travis,Austin
A-261173,29.902794,-95.551804,TX,Harris,Houston
A-261175,32.677215999999994,-97.062149,TX,Tarrant,Grand Prairie
A-261176,30.283806,-97.824226,TX,Travis,Austin
A-261177,30.192759,-97.777557,TX,Travis,Austin
A-261178,32.836777000000005,-97.133324,TX,Tarrant,Bedford
A-261180,32.749396999999995,-97.511917,TX,Tarrant,Fort Worth
A-261188,29.698298,-95.28067,TX,Harris,Houston
A-261203,32.794098,-96.699883,TX,Dallas,Dallas
A-261208,32.691292,-96.82325,TX,Dallas,Dallas
A-261211,29.73864600000001,-95.572021,TX,Harris,Houston
A-261227,29.96549000000001,-95.336006,TX,Harris,Houston
A-261232,32.708183,-97.23156,TX,Tarrant,Fort Worth
A-261236,32.676125,-96.602341,TX,Dallas,Dallas
A-261239,30.266764,-97.625427,TX,Travis,Austin
A-261251,29.589655,-98.356087,TX,Bexar,San Antonio
A-261270,32.859634,-96.587746,TX,Dallas,Garland
A-261275,32.839718,-97.321259,TX,Tarrant,Fort Worth
A-261290,30.147444,-97.578072,TX,Travis,Del Valle
A-261301,30.318211,-97.994461,TX,Travis,Austin
A-261304,30.465940000000003,-97.803993,TX,Williamson,Austin
A-261315,29.805132,-95.240501,TX,Harris,Houston
A-261323,32.587498,-97.138947,TX,Tarrant,Mansfield
A-261371,32.935821999999995,-96.902054,TX,Dallas,Dallas
A-261374,30.178196000000003,-95.451645,TX,Montgomery,Shenandoah
A-261389,29.98061400000001,-97.873856,TX,Hays,Kyle
A-261393,29.326288,-98.432777,TX,Bexar,San Antonio
A-261404,32.909203000000005,-96.758659,TX,Dallas,Dallas
A-261454,30.44095200000001,-97.50341,TX,Travis,Coupland
A-261474,30.088902,-97.818962,TX,Hays,Buda
A-261511,29.717428,-98.087646,TX,Comal,New Braunfels
A-261535,32.77285,-96.495094,TX,Kaufman,Forney
A-261538,31.178644,-97.314445,TX,Bell,Troy
A-261603,30.789406,-97.622688,TX,Williamson,Jarrell
A-261651,30.408747,-98.107277,TX,Travis,Spicewood
A-261696,29.482504,-95.401306,TX,Brazoria,Manvel
A-261796,32.05605300000001,-97.093422,TX,Hill,Hillsboro
A-261806,31.48560100000001,-97.266006,TX,McLennan,Woodway
A-261887,29.600807,-95.228569,TX,Harris,Houston
A-261940,32.767185,-97.799034,TX,Parker,Weatherford
A-261968,30.10845,-95.604263,TX,Harris,Tomball
A-262002,29.839703000000004,-97.972183,TX,Hays,San Marcos
A-262063,29.831045,-95.668839,TX,Harris,Houston
A-262158,32.682472,-97.396538,TX,Tarrant,Fort Worth
A-262180,29.658104,-98.496834,TX,Bexar,San Antonio
A-262197,31.543289,-97.126755,TX,McLennan,Waco
A-262301,32.464733,-97.266457,TX,Johnson,Alvarado
A-262408,32.656742,-98.044891,TX,Parker,Millsap
A-262562,32.761379,-96.967552,TX,Dallas,Grand Prairie
A-262632,32.923153000000006,-97.078087,TX,Tarrant,Grapevine
A-262655,32.866913000000004,-97.523842,TX,Tarrant,Azle
A-262813,29.57917,-95.651054,TX,Fort Bend,Sugar Land
A-262835,30.422871,-97.941818,TX,Travis,Austin
A-262860,29.491566,-98.357735,TX,Bexar,San Antonio
A-262884,30.052641,-95.431984,TX,Harris,Spring
A-263001,32.19606,-96.89875,TX,Ellis,Italy
A-263048,29.532858,-98.495911,TX,Bexar,San Antonio
A-263107,29.785727,-95.820404,TX,Fort Bend,Katy
A-263424,30.09918,-96.041245,TX,Waller,Hempstead
A-263480,32.540749,-96.821877,TX,Ellis,Red Oak
A-263575,31.09241500000001,-95.960892,TX,Madison,Madisonville
A-263593,30.519176,-97.953957,TX,Williamson,Leander
A-263662,29.697109,-97.08268,TX,Fayette,Flatonia
A-263687,30.001713,-95.627144,TX,Harris,Cypress
A-263802,30.049597,-95.233032,TX,Harris,Kingwood
A-264260,32.599148,-97.319351,TX,Tarrant,Fort Worth
A-264307,29.639708,-98.212265,TX,Comal,New Braunfels
A-264442,29.5348,-95.856148,TX,Fort Bend,Rosenberg
A-264742,30.348705,-97.436127,TX,Bastrop,Elgin
A-264978,32.677795,-97.896172,TX,Parker,Weatherford
A-264983,31.291664,-95.996658,TX,Leon,Centerville
A-264984,29.69639,-96.531845,TX,Colorado,Columbus
A-265053,30.544178,-97.692253,TX,Williamson,Round Rock
A-265054,32.492844,-97.039635,TX,Ellis,Midlothian
A-265184,31.07616,-97.417419,TX,Bell,Temple
A-265192,30.292374,-95.467003,TX,Montgomery,Conroe
A-265488,32.378822,-96.86544,TX,Ellis,Waxahachie
A-265574,32.714615,-96.31028,TX,Kaufman,Terrell
A-266103,32.365387,-95.323631,TX,Smith,Tyler
