ID,Start_Lat,Start_Lng,State,County,City
A-167350,42.64761,-87.95255300000002,WI,Kenosha,Sturtevant
A-167868,42.560219,-88.976906,WI,Rock,Beloit
A-168288,42.523712,-87.951714,WI,Kenosha,Pleasant Prairie
A-168617,42.528069,-88.599586,WI,Walworth,Walworth
A-168713,42.574886,-88.550209,WI,Walworth,Williams Bay
A-168736,42.631973,-88.776443,WI,Walworth,Darien
A-168785,42.627598,-88.616905,WI,Walworth,Delavan
A-168819,42.634792,-88.982674,WI,Rock,Janesville
A-3424917,43.767345,-91.152598,WI,La Crosse,La Crosse
A-3425212,44.91181,-91.31724,WI,Chippewa,Chippewa Falls
A-3425287,44.815139,-91.4545,WI,Eau Claire,Altoona
A-3425669,44.9213,-92.1213,WI,Dunn,Knapp
A-3425681,44.57523,-91.20188,WI,Trempealeau,Osseo
A-3425692,44.942198,-92.522577,WI,St. Croix,Roberts
A-3425846,43.961635,-90.789095,WI,Monroe,Sparta
A-3426060,44.9394,-92.38379,WI,St. Croix,Baldwin
A-3426063,45.38887,-91.75566,WI,Barron,Cameron
A-3426594,44.38707,-91.00239,WI,Jackson,Hixton
A-3427129,45.16353400000001,-91.136985,WI,Chippewa,Cornell
A-3427144,44.9049,-91.86153,WI,Dunn,Menomonie
A-3427674,44.93465,-92.28251,WI,St. Croix,Woodville
A-3445452,43.000435,-88.03819200000002,WI,Milwaukee,Milwaukee
A-3445536,43.00237,-87.91613000000002,WI,Milwaukee,Milwaukee
A-3445702,43.088605,-88.058054,WI,Milwaukee,Milwaukee
A-3445806,42.95164000000001,-89.2792,WI,Dane,Stoughton
A-3446055,43.75893,-87.76486,WI,Sheboygan,Sheboygan
A-3446195,43.11458,-87.91823000000002,WI,Milwaukee,Milwaukee
A-3446387,43.35212,-88.28625,WI,Washington,Slinger
A-3446505,43.10622,-89.28556999999998,WI,Dane,Madison
A-3446818,43.43555300000001,-89.773933,WI,Sauk,Baraboo
A-3446873,42.94494,-87.93491,WI,Milwaukee,Milwaukee
A-3446878,43.05189,-89.27763,WI,Dane,Madison
A-3446890,42.92329,-89.08536,WI,Dane,Edgerton
A-3447016,43.33519,-89.45388,WI,Columbia,Lodi
A-3447366,44.29822,-88.370942,WI,Outagamie,Appleton
A-3447392,43.07007,-88.5552,WI,Jefferson,Oconomowoc
A-3447677,44.46719,-87.95238,WI,Brown,Green Bay
A-3447981,43.38189000000001,-87.92713,WI,Ozaukee,Saukville
A-3448077,44.20328,-88.48541999999998,WI,Winnebago,Neenah
A-3448108,43.17975,-87.91879,WI,Milwaukee,Milwaukee
A-3448130,43.16207,-89.838954,WI,Dane,Mazomanie
A-3448439,43.948269,-90.331885,WI,Monroe,Tomah
A-3448473,44.851318,-89.639162,WI,Marathon,Mosinee
A-3448479,43.05407,-88.40564,WI,Waukesha,Delafield
A-3448567,44.796966,-88.84685400000002,WI,Shawano,Shawano
A-3449064,42.72391,-88.98979,WI,Rock,Janesville
A-3449122,44.448342,-89.599239,WI,Portage,Plover
A-3449445,42.94835,-88.1152,WI,Waukesha,New Berlin
A-3449638,43.0786,-89.52186,WI,Dane,Madison
A-3449757,42.82584,-89.30339000000002,WI,Rock,Evansville
A-3450189,43.10889,-89.08626,WI,Dane,Deerfield
A-3450288,43.24201,-88.1275,WI,Washington,Germantown
A-3450586,43.0488,-88.21298,WI,Waukesha,Waukesha
A-3450700,42.778817,-88.31671700000003,WI,Walworth,East Troy
A-3450856,43.03545,-89.43212,WI,Dane,Madison
A-3450891,42.7327,-87.988093,WI,Racine,Union Grove
A-3450895,42.86924000000001,-87.93722,WI,Milwaukee,Oak Creek
A-3451004,43.02454,-88.10778,WI,Waukesha,Brookfield
A-3451079,44.993748,-89.657332,WI,Marathon,Wausau
A-3451143,44.930309,-89.663249,WI,Marathon,Wausau
A-3451165,44.523544,-89.50580699999998,WI,Portage,Stevens Point
A-3451278,42.88953,-90.16147,WI,Iowa,Mineral Point
A-3451292,43.277969,-88.190229,WI,Washington,Richfield
A-3451294,42.800484,-87.95316,WI,Racine,Caledonia
A-3451295,44.03719,-88.58310999999998,WI,Winnebago,Oshkosh
A-3451363,43.177698,-89.322834,WI,Dane,Deforest
A-3451661,42.966217,-90.099047,WI,Iowa,Dodgeville
A-3451665,43.365662,-89.04571,WI,Columbia,Columbus
A-3452450,43.2012,-88.7671,WI,Dodge,Watertown
A-3452948,43.53224,-89.89175999999998,WI,Sauk,Baraboo
A-3453533,42.9731,-89.5203,WI,Dane,Verona
A-3453872,43.55959,-89.358397,WI,Columbia,Portage
A-3454251,44.40058,-88.088836,WI,Brown,De Pere
A-3454813,44.711493,-89.65812199999998,WI,Marathon,Mosinee
A-3454982,43.18993,-89.23002,WI,Dane,Sun Prairie
A-3455453,43.57035,-89.78503,WI,Sauk,Baraboo
