ID,Start_Lat,Start_Lng,State,County,City
A-3425553,41.11532,-104.84465,WY,Laramie,Cheyenne
A-3426331,41.17527000000001,-104.06937,WY,Laramie,Pine Bluffs
A-3511105,45.00083,-107.29797,WY,Sheridan,Parkman
A-3511269,41.25957,-110.95811,WY,Uinta,Evanston
A-3511270,41.35871,-110.33262,WY,Uinta,Lyman
A-3511304,43.54346,-111.04559,WY,Teton,Wilson
A-3511342,41.27083,-110.86265,WY,Uinta,Evanston
A-3511497,41.32345,-105.61535,WY,Albany,Laramie
A-3511662,41.64006,-108.48333999999998,WY,Sweetwater,Wamsutter
A-3511677,41.74142,-106.83714,WY,Carbon,Hanna
A-3511690,43.539966,-110.736209,WY,Teton,Jackson
A-3511692,43.503,-106.45422,WY,Johnson,Kaycee
A-3511748,44.20651,-106.22266,WY,Johnson,Buffalo
