ID,Start_Lat,Start_Lng,State,County,City
A-179184,41.716816,-83.604858,OH,Lucas,Toledo
A-221883,39.931599,-82.915894,OH,Franklin,Columbus
A-221884,39.519119,-83.845673,OH,Clinton,Wilmington
A-221885,39.767971,-84.158012,OH,Montgomery,Dayton
A-221894,39.652004,-84.18615,OH,Montgomery,Dayton
A-221895,39.30317700000001,-82.916237,OH,Ross,Chillicothe
A-221907,40.1105,-82.977524,OH,Franklin,Columbus
A-221916,39.758095,-83.303368,OH,Madison,Mount Sterling
A-221917,39.977394,-83.150467,OH,Franklin,Columbus
A-221919,39.865582,-83.99356800000002,OH,Clark,Medway
A-221920,39.488194,-84.225487,OH,Warren,Lebanon
A-221925,41.42458,-81.56480400000002,OH,Cuyahoga,Maple Heights
A-221926,40.101772,-84.227631,OH,Miami,Troy
A-221939,40.914745,-83.823433,OH,Hancock,Bluffton
A-221960,41.42202800000001,-81.877464,OH,Cuyahoga,North Olmsted
A-221976,41.368355,-82.957115,OH,Sandusky,Vickery
A-221979,39.945255,-82.600075,OH,Licking,Millersport
A-221982,41.059822,-81.55791500000002,OH,Summit,Akron
A-222011,39.869961,-84.137642,OH,Montgomery,Dayton
A-222014,40.057751,-83.597481,OH,Champaign,Mechanicsburg
A-222019,39.985336,-82.78984100000002,OH,Franklin,Reynoldsburg
A-222022,40.075684,-83.135773,OH,Franklin,Dublin
A-222028,39.142605,-84.08657099999998,OH,Clermont,Batavia
A-222029,39.709637,-84.03022800000002,OH,Greene,Dayton
A-222070,40.213535,-83.032738,OH,Delaware,Lewis Center
A-222092,39.89217,-83.039169,OH,Franklin,Grove City
A-222136,41.188927,-81.636353,OH,Summit,Akron
A-222186,41.323063,-82.616463,OH,Erie,Milan
A-222229,41.411144,-82.166679,OH,Lorain,Lorain
A-222231,39.560501,-84.13086700000002,OH,Warren,Waynesville
A-222233,40.250023,-83.385834,OH,Union,Marysville
A-222239,41.0812,-83.89999399999998,OH,Putnam,Leipsic
A-222247,40.083965,-82.853951,OH,Franklin,Westerville
A-222259,39.832275,-82.830551,OH,Franklin,Canal Winchester
A-222265,40.140579,-84.032013,OH,Miami,Conover
A-222284,39.833523,-84.259514,OH,Montgomery,Dayton
A-222313,39.778999,-81.845291,OH,Muskingum,Blue Rock
A-222343,41.344845,-81.650032,OH,Cuyahoga,Broadview Heights
A-222414,40.091763,-82.426941,OH,Licking,Newark
A-222441,39.435986,-84.071083,OH,Warren,Oregonia
A-222444,39.971771,-83.803299,OH,Clark,Springfield
A-222463,41.137856,-83.65884399999999,OH,Hancock,Findlay
A-222487,40.313831,-84.175224,OH,Shelby,Sidney
A-222489,40.755974,-84.075722,OH,Allen,Lima
A-222518,41.422112,-81.734169,OH,Cuyahoga,Cleveland
A-222526,40.784698,-82.590248,OH,Richland,Mansfield
A-222562,41.313236,-81.810959,OH,Cuyahoga,Strongsville
A-222605,40.857319,-82.257378,OH,Ashland,Ashland
A-222606,41.227234,-83.468521,OH,Seneca,Fostoria
A-222608,40.125919,-82.65831,OH,Licking,Johnstown
A-222662,39.60218,-84.012856,OH,Greene,Spring Valley
A-222679,41.081047,-81.73577900000002,OH,Medina,Wadsworth
A-222744,39.223446,-84.185188,OH,Clermont,Loveland
