ID,Start_Lat,Start_Lng,State,County,City
A-160851,41.59203,-93.790596,IA,Dallas,West des Moines
A-160856,41.499306,-95.901703,IA,Pottawattamie,Missouri Valley
A-160866,41.56295,-93.880646,IA,Dallas,Waukee
A-160867,41.541004,-93.645027,IA,Polk,Des Moines
A-160870,41.60067700000001,-93.541878,IA,Polk,Des Moines
A-160871,42.457722,-92.254112,IA,Black Hawk,Evansdale
A-160872,41.643944,-93.697708,IA,Polk,Urbandale
A-160873,41.595955,-93.64431,IA,Polk,Des Moines
A-160875,42.008106,-93.571014,IA,Story,Ames
A-160890,41.261864,-95.90892,IA,Pottawattamie,Council Bluffs
A-160910,41.649452,-93.600266,IA,Polk,Des Moines
A-160914,41.68787800000001,-91.803864,IA,Johnson,Oxford
A-160915,41.890663,-91.670761,IA,Linn,Cedar Rapids
A-160941,41.110699,-95.770721,IA,Mills,Glenwood
A-160947,41.66201,-93.494301,IA,Polk,Altoona
A-160965,42.034691,-91.676079,IA,Linn,Cedar Rapids
A-160966,41.752499,-91.642059,IA,Johnson,North Liberty
A-160974,41.593273,-93.715652,IA,Polk,Windsor Heights
A-160990,41.472076,-93.559151,IA,Warren,Carlisle
A-161002,41.600769,-93.366966,IA,Polk,Mitchellville
A-161062,41.015133,-92.376663,IA,Wapello,Ottumwa
A-161089,41.363052,-93.780396,IA,Warren,Prole
A-161092,41.680473,-93.36779,IA,Polk,Mitchellville
A-161107,41.691994,-93.246826,IA,Jasper,Colfax
A-161108,41.930943,-96.103722,IA,Monona,Blencoe
A-161109,41.497059,-94.758179,IA,Cass,Anita
A-161110,41.496861,-95.584419,IA,Pottawattamie,Minden
A-161111,41.069717,-93.781319,IA,Clarke,Osceola
A-161113,41.877819,-93.571083,IA,Story,Cambridge
A-161114,42.330139,-96.319046,IA,Woodbury,Salix
A-161118,42.166126,-93.570557,IA,Story,Story City
A-161119,41.702862,-93.576012,IA,Polk,Ankeny
A-161120,41.497517,-94.868622,IA,Cass,Anita
A-161122,41.682392,-92.902924,IA,Jasper,Newton
A-161124,41.760796,-93.569473,IA,Polk,Ankeny
A-161131,41.956013,-91.670692,IA,Linn,Cedar Rapids
A-161138,41.962955,-91.78376,IA,Linn,Cedar Rapids
A-161142,41.694458,-91.638168,IA,Johnson,Iowa City
A-161187,41.251953,-95.805847,IA,Pottawattamie,Council Bluffs
A-161199,41.336891,-92.180923,IA,Keokuk,Sigourney
A-161203,41.517765,-94.123566,IA,Dallas,Earlham
A-161240,41.760906,-93.853607,IA,Dallas,Granger
A-161265,41.688862,-92.065849,IA,Iowa,Williamsburg
A-161284,40.623676,-93.890137,IA,Decatur,Lamoni
A-161285,42.448051,-93.300278,IA,Hardin,Iowa Falls
A-161291,41.436958,-93.329308,IA,Marion,Swan
A-161322,41.497669,-95.336342,IA,Pottawattamie,Avoca
A-161327,42.475342,-96.323982,IA,Woodbury,Sioux City
A-161335,42.005447,-93.451927,IA,Story,Nevada
A-161338,42.486851,-96.395187,IA,Woodbury,Sioux City
A-161391,41.69619,-92.279587,IA,Iowa,Victor
A-161403,42.493229,-96.467369,IA,Woodbury,Sioux City
A-161462,41.523941,-93.773026,IA,Polk,Cumming
A-161480,41.614704,-91.550438,IA,Johnson,Iowa City
A-161489,42.613846,-92.509132,IA,Black Hawk,Cedar Falls
A-161513,41.776875,-94.027992,IA,Dallas,Minburn
A-161536,42.426537,-93.143562,IA,Hardin,Iowa Falls
A-161540,42.51553300000001,-94.223717,IA,Webster,Fort Dodge
A-161542,42.745525,-93.397049,IA,Franklin,Latimer
A-161543,43.099625,-93.345673,IA,Cerro Gordo,Clear Lake
A-161563,42.170792,-91.779495,IA,Linn,Center Point
A-161580,41.303608,-93.109497,IA,Marion,Knoxville
A-161595,42.51465200000001,-93.567551,IA,Hamilton,Williams
A-161626,42.465015,-92.46553,IA,Black Hawk,Cedar Falls
A-161630,41.548077,-93.953697,IA,Dallas,Adel
A-167435,41.571255,-90.571625,IA,Scott,Davenport
A-167444,41.525143,-90.513367,IA,Scott,Bettendorf
A-168326,41.58674600000001,-90.369087,IA,Scott,Le Claire
A-168355,42.498302,-90.662949,IA,Dubuque,Dubuque
A-3425070,42.494954,-91.88954,IA,Buchanan,Independence
A-3425071,42.64228,-91.9087,IA,Fayette,Oelwein
A-3425127,42.9755,-93.3468,IA,Cerro Gordo,Thornton
A-3425137,41.96388,-92.45762,IA,Tama,Toledo
A-3425138,41.96425,-92.29774,IA,Benton,Belle Plaine
A-3425379,41.60037,-93.446668,IA,Polk,Pleasant Hill
A-3425522,41.91233,-90.596104,IA,Clinton,Delmar
A-3425618,43.240987,-91.688686,IA,Winneshiek,Decorah
A-3425619,43.24067,-91.56651,IA,Allamakee,Waukon
A-3425719,42.034606,-91.55018,IA,Linn,Marion
A-3425783,41.71556,-96.04539,IA,Harrison,Mondamin
A-3425925,41.301339,-95.771048,IA,Pottawattamie,Council Bluffs
A-3425941,41.49875,-95.44465,IA,Pottawattamie,Shelby
A-3425943,41.17855,-93.78408,IA,Warren,New Virginia
A-3426689,41.14492,-95.82149,IA,Mills,Council Bluffs
A-3426762,42.01617,-95.95342,IA,Monona,Onawa
A-3426763,42.02702,-96.13631,IA,Monona,Onawa
A-3426777,41.682259,-92.994676,IA,Jasper,Newton
A-3426853,41.92641,-91.53714,IA,Linn,Cedar Rapids
A-3426881,41.69552,-92.35746,IA,Poweshiek,Victor
A-3426887,42.470726,-93.639041,IA,Hamilton,Blairsburg
A-3426963,42.67815,-93.45314,IA,Franklin,Dows
A-3427054,43.479391,-92.34304,IA,Howard,Chester
A-3427323,42.034111,-94.184269,IA,Greene,Grand Junction
A-3427501,41.69545,-92.78913,IA,Jasper,Grinnell
A-3427511,42.232,-91.87286,IA,Benton,Center Point
A-3427771,42.487588,-90.742628,IA,Dubuque,Dubuque
