ID,Start_Lat,Start_Lng,State,County,City
A-167322,41.799076,-87.802094,IL,Cook,Berwyn
A-167323,41.874142,-87.719757,IL,Cook,Chicago
A-167325,38.604237,-90.092598,IL,Saint Clair,East Saint Louis
A-167326,41.995785,-88.185562,IL,Dupage,Bartlett
A-167327,42.319939,-87.895226,IL,Lake,North Chicago
A-167330,41.809891,-88.074875,IL,DuPage,Lisle
A-167331,41.767647,-88.418716,IL,Kane,Sugar Grove
A-167332,41.635418,-88.16095,IL,Will,Plainfield
A-167333,42.313675,-88.098366,IL,Lake,Round Lake
A-167334,42.227886,-87.97749300000002,IL,Lake,Vernon Hills
A-167336,41.720947,-87.682076,IL,Cook,Evergreen Park
A-167339,42.169876,-88.296318,IL,McHenry,Algonquin
A-167340,41.803806,-88.203468,IL,DuPage,Naperville
A-167342,42.394226,-87.963165,IL,Lake,Wadsworth
A-167344,41.788635,-87.94706,IL,DuPage,Clarendon Hills
A-167346,42.058395,-88.315392,IL,Kane,Elgin
A-167349,41.896847,-88.009506,IL,Dupage,Lombard
A-167352,41.962776,-87.746399,IL,Cook,Chicago
A-167365,42.199844,-87.84214,IL,Lake,Highland Park
A-167372,42.291523,-88.822037,IL,Boone,Belvidere
A-167373,41.990143,-88.061714,IL,Dupage,Roselle
A-167377,41.981133,-87.878822,IL,Cook,Chicago
A-167390,42.234478,-88.374214,IL,Mchenry,Crystal Lake
A-167400,41.634327,-87.578384,IL,Cook,Calumet City
A-167430,41.70256,-88.335403,IL,Kendall,Montgomery
A-167464,41.699223,-88.040504,IL,Will,Bolingbrook
A-167475,41.586288,-87.687347,IL,Cook,Markham
A-167493,42.153782,-88.038589,IL,Cook,Palatine
A-167504,41.914764,-88.129761,IL,Dupage,Carol Stream
A-167534,42.456841,-88.995193,IL,Winnebago,Roscoe
A-167545,41.809227,-87.631454,IL,Cook,Chicago
A-167561,41.717617,-87.851295,IL,Cook,Palos Hills
A-167571,41.535027,-87.886421,IL,Will,Mokena
A-167589,39.120304,-88.554062,IL,Effingham,Effingham
A-167599,41.519527,-90.513084,IL,Rock Island,Rock Island
A-167601,42.464703,-87.881485,IL,Lake,Zion
A-167611,40.627983,-89.431679,IL,Tazewell,Morton
A-167672,42.470829,-88.093384,IL,Lake,Antioch
A-167673,40.784435,-89.522285,IL,Tazewell,East Peoria
A-167713,41.307579,-88.702217,IL,La Salle,Marseilles
A-167714,41.969772,-88.34053,IL,Kane,Saint Charles
A-167716,40.121273,-88.173622,IL,Champaign,Urbana
A-167761,38.707981,-89.958939,IL,Madison,Collinsville
A-167840,41.394768,-88.192879,IL,Will,Channahon
A-167855,42.393929,-88.155739,IL,Lake,Fox Lake
A-167896,42.275291,-89.446815,IL,Winnebago,Pecatonica
A-167920,39.713524,-89.6437,IL,Sangamon,Springfield
A-167973,42.10601,-87.868179,IL,Cook,Northbrook
A-167974,39.255646,-88.15365600000001,IL,Cumberland,Greenup
A-167978,39.42775,-87.56031,IL,Clark,Marshall
A-167997,39.895084,-89.005569,IL,Macon,Decatur
A-168006,40.018871,-89.719551,IL,Menard,Greenview
A-168009,41.50621,-87.577499,IL,Cook,Chicago Heights
A-168011,42.192738,-89.996674,IL,Carroll,Mount Carroll
A-168028,42.122475,-88.432983,IL,Kane,Huntley
A-168032,42.265236,-88.243011,IL,Mchenry,Crystal Lake
A-168141,41.881512,-88.254829,IL,DuPage,West Chicago
A-168201,40.251324,-88.625046,IL,De Witt,Farmer City
A-168206,42.25515,-88.55980699999998,IL,Mchenry,Marengo
A-168213,42.248222,-88.961563,IL,Winnebago,Cherry Valley
A-168239,41.511154,-88.12439,IL,Will,Joliet
A-168279,41.941345,-88.749619,IL,Dekalb,Dekalb
A-168283,42.16925,-88.593536,IL,McHenry,Marengo
A-168289,40.581898,-89.141144,IL,McLean,Carlock
A-168295,41.093536,-88.450775,IL,Livingston,Dwight
A-168299,40.161224,-89.33985899999998,IL,Logan,Lincoln
A-168300,38.535446,-89.728699,IL,St. Clair,New Baden
A-168301,38.456043,-89.561287,IL,Washington,Okawville
A-168302,41.277802,-88.23960100000002,IL,Will,Braidwood
A-168304,41.376587,-88.778526,IL,LaSalle,Ottawa
A-168310,39.051952,-88.719635,IL,Effingham,Altamont
A-168383,42.21207800000001,-88.141296,IL,Lake,Barrington
A-168443,41.751266,-89.6894,IL,Whiteside,Rock Falls
A-168481,41.168598,-87.851341,IL,Kankakee,Bourbonnais
A-168525,41.469276,-89.126991,IL,La Salle,Mendota
A-168651,42.479767,-88.30606800000002,IL,Mchenry,Richmond
A-168663,42.314114,-89.13507800000002,IL,Winnebago,Rockford
A-168787,40.105019,-87.674339,IL,Vermilion,Danville
A-168801,41.377228,-88.556168,IL,Grundy,Morris
A-168815,38.519882,-88.961739,IL,Marion,Kell
A-168844,41.399677,-87.62458000000002,IL,Will,Crete
A-168850,41.869743,-87.882927,IL,Cook,Hillside
A-168856,38.765995,-90.124237,IL,Madison,Granite City
A-168858,41.367634,-89.218948,IL,Bureau,Dalzell
A-168955,42.237892,-89.077141,IL,Winnebago,Rockford
A-168962,38.429672,-90.180244,IL,Monroe,Columbia
A-3445640,42.06052,-87.75565,IL,Cook,Skokie
A-3446650,42.374967,-88.968389,IL,Winnebago,Caledonia
A-3447056,41.48909,-87.74464,IL,Cook,Matteson
A-3447298,39.990278,-89.84524,IL,Menard,Petersburg
A-3447330,39.951676,-88.26768100000002,IL,Champaign,Tolono
A-3447416,41.85325,-89.01044,IL,Lee,Steward
A-3448272,41.157269,-87.66264,IL,Kankakee,Momence
A-3448451,38.497204,-90.01979399999998,IL,St. Clair,Belleville
A-3448658,39.75191,-89.750961,IL,Sangamon,Springfield
A-3448728,42.09105,-88.120999,IL,Cook,Barrington
A-3449065,38.802187,-89.598551,IL,Bond,Pocahontas
A-3449512,39.83659,-89.26122,IL,Sangamon,Illiopolis
A-3449576,39.939083,-89.674192,IL,Sangamon,Cantrall
A-3449769,41.63036,-87.86049,IL,Cook,Orland Park
A-3449776,41.667705,-88.44189899999998,IL,Kendall,Yorkville
A-3450406,39.625322,-89.73269499999998,IL,Sangamon,Auburn
A-3450407,41.32838,-87.81929000000002,IL,Will,Peotone
A-3451705,40.31157,-89.17281899999998,IL,McLean,Mc Lean
A-3451764,41.57953,-90.36463,IL,Rock Island,East Moline
A-3451897,41.93904000000001,-87.6367,IL,Cook,Chicago
A-3452329,42.33893,-88.51126,IL,McHenry,Woodstock
A-3452413,41.602427,-89.178414,IL,Lee,Sublette
A-3453085,42.01096,-89.296274,IL,Ogle,Oregon
A-3453532,41.855144,-88.520103,IL,Kane,Elburn
A-3453545,41.59824,-88.00728000000002,IL,Will,Homer Glen
A-3453708,39.73995,-89.93028000000002,IL,Sangamon,New Berlin
A-3454231,40.20293,-89.71576,IL,Mason,Mason City
A-3454482,41.733312,-87.562661,IL,Cook,Chicago
A-3454483,42.06658,-87.99193100000002,IL,Cook,Arlington Heights
A-3454501,41.40012,-89.38887,IL,Bureau,Princeton
A-3455140,40.77045,-87.52601999999997,IL,Iroquois,Sheldon
