ID,Start_Lat,Start_Lng,State,County,City
A-228641,39.419975,-76.640007,MD,Baltimore County,Lutherville Timonium
A-228649,39.381805,-77.40972099999998,MD,Frederick,Frederick
A-228650,39.286144,-77.27179,MD,Montgomery,Clarksburg
A-228652,39.197132,-76.76634200000002,MD,Howard,Elkridge
A-228659,38.919521,-76.933144,MD,Prince George's,Hyattsville
A-228667,39.632416,-76.67182199999998,MD,Baltimore County,Parkton
A-228670,39.268738,-76.55931899999999,MD,Baltimore City,Baltimore
A-228682,39.522217,-76.171112,MD,Harford,Aberdeen
A-228685,39.19828,-77.24501,MD,Montgomery,Germantown
A-228686,39.05135300000001,-77.074844,MD,Montgomery,Silver Spring
A-228688,39.099648,-76.890022,MD,Prince George's,Laurel
A-228690,39.524509,-76.28652199999998,MD,Harford,Bel Air
A-228697,39.416164,-76.78302,MD,Baltimore County,Owings Mills
A-228725,39.047318,-76.91658000000002,MD,Prince Georges,Beltsville
A-228728,39.349953,-76.496826,MD,Baltimore County,Baltimore
A-228731,39.286179,-76.738632,MD,Baltimore County,Catonsville
A-228741,38.9305,-76.89765200000002,MD,Prince George's,Hyattsville
A-228775,39.026741,-76.855232,MD,Prince George's,Beltsville
A-228781,39.05423,-76.629349,MD,Anne Arundel,Crownsville
A-228825,39.096626,-76.80127,MD,Anne Arundel,Laurel
A-228833,39.007114,-76.486053,MD,Anne Arundel,Annapolis
A-228834,39.323437,-77.357155,MD,Frederick,Frederick
A-228852,39.588997,-76.995193,MD,Carroll,Westminster
A-228864,39.202053,-76.859383,MD,Howard,Columbia
A-228866,39.311146,-76.61496,MD,Baltimore City,Baltimore
A-228869,38.712349,-76.85390500000003,MD,Prince George's,Brandywine
A-228870,38.954979,-76.717438,MD,Prince George's,Bowie
A-228876,38.960732,-76.655052,MD,Anne Arundel,Davidsonville
A-228880,39.648983,-78.76140600000002,MD,Allegany,Cumberland
A-228884,39.019264,-76.976738,MD,Montgomery,Silver Spring
A-228890,39.327988,-76.583679,MD,Baltimore City,Baltimore
A-228895,39.139431,-76.756248,MD,Anne Arundel,Jessup
A-228899,38.819439,-76.919365,MD,Prince George's,Temple Hills
A-228901,39.075733,-77.00194499999998,MD,Montgomery,Silver Spring
A-228912,39.36210300000001,-76.634697,MD,Baltimore City,Baltimore
A-228917,38.986404,-76.577354,MD,Anne Arundel,Annapolis
A-228925,39.382172,-76.520782,MD,Baltimore County,Parkville
A-228937,38.851227,-76.95989200000002,MD,Prince George's,Temple Hills
A-228954,39.129364,-76.862099,MD,Howard,Laurel
A-228955,39.349018,-76.67588,MD,Baltimore City,Baltimore
A-228960,39.094639,-76.85372199999998,MD,Prince Georges,Laurel
A-228967,39.395973,-76.68821700000002,MD,Baltimore County,Pikesville
A-228973,39.317402,-76.534203,MD,Baltimore City,Rosedale
A-228976,39.55572100000001,-76.267624,MD,Harford,Churchville
A-228979,38.974915,-77.178658,MD,Montgomery,Bethesda
A-228980,39.026157,-77.02029399999998,MD,Montgomery,Silver Spring
A-229024,39.509689,-77.559364,MD,Frederick,Myersville
A-229027,39.084377,-77.172531,MD,Montgomery,Rockville
A-229043,39.367039,-77.63668100000002,MD,Frederick,Knoxville
A-229064,38.972515,-76.524651,MD,Anne Arundel,Annapolis
A-229068,38.772964,-76.99593399999998,MD,Prince George's,Fort Washington
A-229093,39.601288,-76.477478,MD,Harford,Jarrettsville
A-229103,39.600182,-77.682709,MD,Washington,Hagerstown
A-229113,39.157845,-76.82494399999999,MD,Howard,Jessup
A-229141,39.488277,-76.318382,MD,Harford,Abingdon
A-229142,39.019833,-77.10543100000002,MD,Montgomery,Bethesda
A-229150,39.421722,-77.485161,MD,Frederick,Frederick
A-229151,39.650333,-77.72538,MD,Washington,Hagerstown
A-229154,38.82703,-76.87846400000002,MD,Prince George's,Suitland
A-229157,39.277725,-77.32356999999998,MD,Montgomery,Clarksburg
A-229160,39.018211,-76.926636,MD,Prince George's,College Park
A-229167,39.241028,-76.592911,MD,Baltimore City,Curtis Bay
A-229205,39.2192,-76.65853100000002,MD,Anne Arundel,Linthicum Heights
A-229243,39.29385,-76.679794,MD,Baltimore City,Baltimore
A-229253,39.37294,-76.746765,MD,Baltimore County,Pikesville
A-229266,39.062187,-77.284134,MD,Montgomery,Potomac
A-229286,39.379276,-76.44828000000003,MD,Baltimore County,Nottingham
A-229295,38.763252,-76.80351999999998,MD,Prince Georges,Upper Marlboro
