ID,Start_Lat,Start_Lng,State,County,City
A-3445381,35.15866,-85.248464,TN,Hamilton,Hixson
A-3445513,35.998696,-86.60185600000001,TN,Rutherford,La Vergne
A-3445532,35.870277,-83.758675,TN,Sevier,Seymour
A-3445539,35.134,-89.8677,TN,Shelby,Memphis
A-3445733,36.1472,-86.74367,TN,Davidson,Nashville
A-3445734,36.15881,-86.82234,TN,Davidson,Nashville
A-3445759,36.07232,-86.69174,TN,Davidson,Nashville
A-3445761,35.863182,-86.452543,TN,Rutherford,Murfreesboro
A-3445857,35.07886,-90.02585,TN,Shelby,Memphis
A-3445860,36.210288,-86.733531,TN,Davidson,Nashville
A-3445950,36.19846,-83.144326,TN,Hamblen,Russellville
A-3445997,36.501879,-87.326727,TN,Montgomery,Clarksville
A-3446057,36.14148,-86.67041,TN,Davidson,Nashville
A-3446139,35.94113,-84.00332,TN,Knox,Knoxville
A-3446345,35.01436,-85.25180999999998,TN,Hamilton,Chattanooga
A-3446390,35.01645,-85.38549,TN,Hamilton,Chattanooga
A-3446536,35.855821,-83.96072099999998,TN,Blount,Louisville
A-3446892,36.043759,-85.117242,TN,Cumberland,Crossville
A-3446917,35.286975,-85.894605,TN,Grundy,Pelham
A-3446955,36.123175,-84.034929,TN,Anderson,Heiskell
A-3446956,35.08076,-89.93751999999998,TN,Shelby,Memphis
A-3447103,36.42126,-86.71651999999997,TN,Robertson,Goodlettsville
A-3447162,36.5086,-82.42808000000002,TN,Sullivan,Kingsport
A-3447169,35.03032,-85.18088,TN,Hamilton,Chattanooga
A-3447319,36.52914000000001,-87.22689,TN,Montgomery,Clarksville
A-3447510,36.472275,-82.541178,TN,Sullivan,Kingsport
A-3447586,36.01268,-83.97666,TN,Knox,Knoxville
A-3447594,35.09996,-85.22861,TN,Hamilton,Chattanooga
A-3447932,35.973396,-86.805098,TN,Williamson,Brentwood
A-3448017,36.04265,-86.78211,TN,Davidson,Nashville
A-3448156,36.188489,-82.97946800000003,TN,Greene,Mosheim
A-3448180,35.19144,-89.80006999999998,TN,Shelby,Cordova
A-3448369,35.766805,-86.358588,TN,Rutherford,Murfreesboro
A-3448515,35.987191,-83.28432099999998,TN,Jefferson,Dandridge
A-3448656,35.62797,-86.2445,TN,Bedford,Beechgrove
A-3448784,35.0748,-89.861049,TN,Shelby,Memphis
A-3448844,35.03848,-85.68451,TN,Marion,Jasper
A-3448855,36.304782,-86.707595,TN,Davidson,Goodlettsville
A-3448900,35.98973,-83.90344,TN,Knox,Knoxville
A-3448969,35.94602000000001,-83.20223,TN,Cocke,Newport
A-3449676,35.89469000000001,-84.72922,TN,Cumberland,Rockwood
A-3449817,35.042052000000005,-85.314838,TN,Hamilton,Chattanooga
A-3449822,36.34009,-86.91736,TN,Davidson,Joelton
A-3449931,36.170752,-86.516284,TN,Wilson,Mount Juliet
A-3449972,35.165525,-90.018682,TN,Shelby,Memphis
A-3449977,36.130974,-86.898322,TN,Davidson,Nashville
A-3450030,35.837416,-84.27292,TN,Loudon,Lenoir City
A-3450118,36.266628,-86.830917,TN,Davidson,Whites Creek
A-3450150,36.101137,-86.81855300000002,TN,Davidson,Nashville
A-3450198,36.07448,-86.92093,TN,Davidson,Nashville
A-3450249,35.98471,-87.11312,TN,Williamson,Fairview
A-3450330,35.084920000000004,-85.07136,TN,Hamilton,Ooltewah
A-3450341,35.995838,-86.688418,TN,Williamson,Brentwood
A-3450530,36.257889,-86.656848,TN,Davidson,Old Hickory
A-3450793,35.01724,-85.54401,TN,Marion,Guild
A-3450905,36.59162,-86.60213,TN,Robertson,Portland
A-3451461,36.52479,-86.64393000000003,TN,Robertson,Cross Plains
A-3451887,35.90652,-84.12005,TN,Knox,Knoxville
A-3452842,35.846946,-86.68373000000003,TN,Williamson,Arrington
A-3453265,35.14752,-85.7763,TN,Marion,South Pittsburg
A-3453285,36.40199000000001,-82.61483,TN,Washington,Fall Branch
A-3453317,36.45323,-87.10468,TN,Robertson,Cedar Hill
A-3453835,36.02678,-87.17916,TN,Williamson,Fairview
A-3454009,36.16944,-86.60575,TN,Davidson,Hermitage
A-3454047,36.3814,-86.49821,TN,Sumner,Gallatin
A-3454076,35.324982,-85.134744,TN,Hamilton,Soddy Daisy
