ID,Start_Lat,Start_Lng,State,County,City
A-228637,38.670456,-77.253723,VA,Prince William,Woodbridge
A-228640,38.81189000000001,-77.186409,VA,Fairfax County,Springfield
A-228644,38.84647800000001,-77.43175500000002,VA,Fairfax County,Centreville
A-228645,38.861767,-77.347672,VA,Fairfax County,Fairfax
A-228662,38.799927,-77.599609,VA,Prince William,Gainesville
A-228669,38.862434,-77.069016,VA,Arlington,Arlington
A-228716,39.17767,-77.661041,VA,Loudoun,Hamilton
A-228718,38.739777,-77.190331,VA,Fairfax County,Lorton
A-228737,38.931313,-77.21108199999998,VA,Fairfax County,Mc Lean
A-228759,39.11335800000001,-77.56192800000002,VA,Loudoun,Leesburg
A-228770,38.91592,-77.472588,VA,Loudoun,Chantilly
A-228779,39.04467,-77.519981,VA,Loudoun,Ashburn
A-228792,38.877411,-77.274788,VA,Fairfax County,Fairfax
A-228851,39.009892,-78.297714,VA,Frederick,Middletown
A-228919,38.886463,-77.1577,VA,Arlington,Arlington
A-228965,39.013199,-77.371162,VA,Fairfax,Herndon
A-229005,38.741127,-77.086586,VA,Fairfax,Alexandria
A-229034,38.915363,-78.099228,VA,Warren,Linden
A-229056,38.995388,-77.482529,VA,Loudoun,Ashburn
A-229085,38.992279,-77.563812,VA,Loudoun,Ashburn
A-229127,38.801689,-77.518883,VA,Prince William,Manassas
A-229143,38.794235,-77.054161,VA,Alexandria,Alexandria
A-229147,39.13818,-77.735283,VA,Loudoun,Purcellville
A-229168,38.946728,-77.312119,VA,Fairfax,Vienna
A-229420,39.216297,-77.534485,VA,Loudoun,Leesburg
A-229480,38.933861,-77.550285,VA,Loudoun,Aldie
A-229552,38.755573,-77.276955,VA,Fairfax County,Burke
A-229575,38.96825,-77.735023,VA,Loudoun,Middleburg
A-229632,38.858147,-77.844193,VA,Fauquier,Marshall
A-229870,39.270927,-77.548309,VA,Loudoun,Leesburg
A-229919,38.943741,-78.511475,VA,Shenandoah,Maurertown
A-230101,39.240303,-77.70105,VA,Loudoun,Lovettsville
A-230188,39.059563,-78.130989,VA,Clarke,White Post
A-230189,39.162163,-78.157753,VA,Frederick,Winchester
A-230318,38.872044,-78.52755,VA,Shenandoah,Woodstock
A-230420,38.762383,-78.634209,VA,Shenandoah,Mount Jackson
A-230430,39.290592,-78.08500699999998,VA,Frederick,Clear Brook
A-230524,38.863098,-78.72757,VA,Shenandoah,Edinburg
A-230564,39.021137,-77.693375,VA,Loudoun,Middleburg
A-230622,39.123379,-77.805779,VA,Loudoun,Round Hill
A-230831,39.247807,-78.20500200000002,VA,Frederick,Winchester
A-230880,38.895477,-77.912926,VA,Fauquier,Delaplane
A-231053,38.850502,-78.28607199999998,VA,Warren,Bentonville
A-231082,39.233162,-78.290665,VA,Frederick,Gore
A-231169,39.319805,-77.71257,VA,Loudoun,Purcellville
A-231355,38.94817000000001,-77.386963,VA,Fairfax County,Reston
A-231545,38.830109,-78.576691,VA,Shenandoah,Edinburg
A-231674,38.965183,-78.436989,VA,Shenandoah,Toms Brook
A-231933,39.056427,-77.450485,VA,Loudoun,Ashburn
A-232316,39.245644,-77.619484,VA,Loudoun,Lovettsville
A-232463,39.146549,-77.959473,VA,Clarke,Berryville
A-232713,38.777172,-77.682098,VA,Fauquier,Warrenton
A-232812,38.69455,-77.44207,VA,Prince William,Manassas
A-233039,38.810822,-77.256508,VA,Fairfax,Springfield
A-233185,39.081619,-78.215614,VA,Frederick,Stephens City
A-3445356,38.52464000000001,-77.36779,VA,Prince William,Quantico
A-3445357,37.38017,-77.4116,VA,Chesterfield,Richmond
A-3445389,37.011893,-77.27478599999998,VA,Prince George,Disputanta
A-3445412,37.01152,-76.32304,VA,Hampton,Hampton
A-3445425,38.277878,-77.21115,VA,King George,King George
A-3445426,36.901834,-76.423142,VA,Suffolk,Suffolk
A-3445445,37.6533,-77.43072,VA,Henrico,Richmond
A-3445454,37.58146,-77.46936,VA,Richmond City,Richmond
A-3445501,36.93844,-81.00115,VA,Wythe,Wytheville
A-3445521,36.78588,-76.41398000000002,VA,Chesapeake,Chesapeake
A-3445522,37.17202,-76.55045,VA,Newport News,Newport News
A-3445534,38.418036,-77.425329,VA,Stafford,Stafford
A-3445537,37.31572,-77.400366,VA,Chesterfield,Colonial Heights
A-3445540,37.917301,-76.44584499999998,VA,Northumberland,Heathsville
A-3445561,38.175522,-78.407423,VA,Albemarle,Charlottesville
A-3445808,37.547719,-79.666411,VA,Botetourt,Buchanan
A-3445981,37.787799,-77.89592900000002,VA,Louisa,Gum Spring
A-3446067,36.87722,-76.199715,VA,Norfolk,Norfolk
A-3446138,36.9611,-81.06474,VA,Wythe,Wytheville
A-3446183,36.948822,-79.95817,VA,Franklin,Ferrum
A-3446184,36.698911,-81.98425300000002,VA,Washington,Abingdon
A-3446249,36.81578,-76.35558,VA,Portsmouth City,Portsmouth
A-3446354,37.88411,-79.28823,VA,Rockbridge,Fairfield
A-3446371,37.517216,-76.970095,VA,New Kent,New Kent
A-3446380,36.95108,-80.87831,VA,Wythe,Max Meadows
A-3446392,37.01291,-76.45640999999998,VA,Newport News,Newport News
A-3446421,37.554144,-76.340926,VA,Middlesex,Deltaville
A-3446431,37.23972,-76.6331,VA,York,Williamsburg
A-3446461,36.86271,-81.43703000000002,VA,Smyth,Atkins
A-3446509,36.75803,-76.2775,VA,Chesapeake,Chesapeake
A-3446565,38.45397,-78.93163,VA,Harrisonburg City,Rockingham
A-3446590,38.12389,-78.44478000000002,VA,Albemarle,Charlottesville
A-3446601,37.612323,-79.083294,VA,Amherst,Amherst
A-3446925,37.53165300000001,-77.36254699999998,VA,Henrico,Henrico
A-3446927,36.83482,-76.28886999999997,VA,Norfolk,Norfolk
A-3446987,38.363472,-77.456964,VA,Stafford,Fredericksburg
A-3447042,37.08254,-80.65307,VA,Pulaski,Dublin
A-3447067,37.759879,-75.61762,VA,Accomack,Parksley
A-3447077,37.280237,-79.168091,VA,Campbell,Rustburg
A-3447095,37.47619,-77.51414,VA,Chesterfield,Richmond
A-3447145,36.791484,-76.66901999999997,VA,Suffolk City,Suffolk
A-3447248,36.902672,-79.389942,VA,Pittsylvania,Chatham
A-3447249,37.71089,-77.78566,VA,Goochland,Oilville
A-3447250,37.822016,-79.74531800000003,VA,Alleghany,Clifton Forge
A-3447270,37.185397,-80.285748,VA,Montgomery,Shawsville
A-3447339,37.756263,-77.143074,VA,King William,Aylett
