ID,Start_Lat,Start_Lng,State,County,City
A-194328,40.714504,-74.222862,NJ,Essex,Newark
A-194329,40.734776,-74.112564,NJ,Hudson,Kearny
A-194331,40.506321,-74.266029,NJ,Middlesex,Perth Amboy
A-194332,41.036968,-74.132416,NJ,Bergen,Allendale
A-194341,40.542755,-74.295609,NJ,Middlesex,Woodbridge
A-194350,40.895393,-73.977379,NJ,Bergen,Englewood
A-194351,40.729725,-74.17205,NJ,Essex,Newark
A-194352,40.884716,-74.131493,NJ,Passaic,Clifton
A-194355,40.647846,-74.519882,NJ,Somerset,Warren
A-194356,40.561977,-74.322556,NJ,Middlesex,Iselin
A-194361,40.981148,-74.77109499999997,NJ,Sussex,Andover
A-194362,40.744888,-74.694344,NJ,Morris,Chester
A-194372,40.981224,-74.99073800000002,NJ,Warren,Blairstown
A-194373,40.821247,-74.320312,NJ,Essex,Roseland
A-194374,41.00137700000001,-74.17543,NJ,Bergen,Wyckoff
A-194384,40.51688,-74.400253,NJ,Middlesex,Edison
A-194386,40.435207,-74.251503,NJ,Middlesex,South Amboy
A-194401,40.685951,-74.09491700000002,NJ,Hudson,Jersey City
A-194406,40.790005,-74.406593,NJ,Morris,Florham Park
A-194407,40.684544,-74.38720699999998,NJ,Union,New Providence
A-194417,40.472885,-74.409142,NJ,Middlesex,East Brunswick
A-194425,40.746971,-74.061813,NJ,Hudson,Jersey City
A-194426,40.730244,-74.035767,NJ,Hudson,Jersey City
A-194434,40.909222,-74.503693,NJ,Morris,Rockaway
A-194438,40.748306,-74.217056,NJ,Essex,Newark
A-194446,40.771706,-74.228432,NJ,Essex,Orange
A-194451,41.141544,-74.84021800000002,NJ,Sussex,Newton
A-194477,40.641262,-74.20565,NJ,Union,Elizabeth
A-194484,41.042648,-74.03625500000003,NJ,Bergen,Park Ridge
A-194500,40.77306,-74.47953000000003,NJ,Morris,Morristown
A-194513,40.797554,-74.25275400000002,NJ,Essex,West Orange
A-194526,40.806618,-74.445084,NJ,Morris,Whippany
A-194543,40.909142,-74.571579,NJ,Morris,Wharton
A-194544,40.832493,-74.438194,NJ,Morris,Cedar Knolls
A-194548,40.629585,-74.249962,NJ,Union,Linden
A-194553,40.889915,-74.248604,NJ,Passaic,Wayne
A-194573,40.880791,-74.08049799999998,NJ,Bergen,Lodi
A-194591,40.851196,-73.984276,NJ,Bergen,Fort Lee
A-194595,40.893574,-74.476646,NJ,Morris,Denville
A-194622,40.92850900000001,-74.070511,NJ,Bergen,Paramus
A-194633,40.792294,-74.19270300000002,NJ,Essex,Bloomfield
A-194642,40.62738,-74.304108,NJ,Union,Clark
A-194648,40.795616,-74.316711,NJ,Essex,Livingston
A-194661,40.855175,-74.07684300000003,NJ,Bergen,Hasbrouck Heights
A-194696,40.693432,-74.188057,NJ,Essex,Newark
A-194729,41.023865,-74.272835,NJ,Passaic,Pompton Lakes
A-194733,40.90905,-74.165451,NJ,Passaic,Paterson
A-194748,40.930168,-74.590179,NJ,Morris,Wharton
A-194894,40.858929,-74.4897,NJ,Morris,Morris Plains
A-194909,40.709404,-74.950325,NJ,Hunterdon,Hampton
A-194911,40.767563,-74.02151500000002,NJ,Hudson,Weehawken
A-194916,40.870392,-74.419151,NJ,Morris,Parsippany
A-194944,40.541416,-74.389427,NJ,Middlesex,Edison
A-194948,40.916023,-74.939835,NJ,Warren,Blairstown
A-194952,40.785671,-74.051361,NJ,Hudson,Secaucus
A-194999,40.483425,-74.479477,NJ,Middlesex,New Brunswick
A-195038,40.556194,-74.675812,NJ,Somerset,Bridgewater
A-195041,40.476543,-74.29985,NJ,Middlesex,South Amboy
A-195048,40.929798,-74.104874,NJ,Bergen,Fair Lawn
A-195104,40.847492,-74.161812,NJ,Passaic,Clifton
A-195208,40.52866,-74.35183,NJ,Middlesex,Edison
A-195213,40.82056400000001,-74.40780600000002,NJ,Morris,Whippany
A-195260,40.565304,-74.553505,NJ,Somerset,Bridgewater
A-195273,40.777431,-74.164803,NJ,Essex,Newark
A-195281,40.68943,-74.270706,NJ,Union,Union
A-195309,40.975117,-74.14658399999998,NJ,Bergen,Ridgewood
A-195320,40.871964,-74.52125500000002,NJ,Morris,Denville
A-195332,40.644081,-74.835228,NJ,Hunterdon,Lebanon
A-195333,40.924377,-74.002762,NJ,Bergen,Bergenfield
A-195348,41.068516,-74.077621,NJ,Bergen,Upper Saddle River
A-195375,40.507442,-74.457367,NJ,Middlesex,New Brunswick
A-195399,40.866894,-74.037384,NJ,Bergen,Hackensack
A-195441,40.814053,-74.217781,NJ,Essex,Montclair
A-195456,40.58935200000001,-74.360825,NJ,Middlesex,Edison
A-195496,41.153648,-74.576187,NJ,Sussex,Hamburg
