ID,Start_Lat,Start_Lng,State,County,City
A-197867,41.338398,-74.83712,PA,Pike,Milford
A-228636,40.084312,-75.17588,PA,Philadelphia,Philadelphia
A-228638,40.58662,-80.099976,PA,Allegheny,Sewickley
A-228642,39.908672,-75.149452,PA,Philadelphia,Philadelphia
A-228653,40.43398300000001,-75.585426,PA,Berks,Barto
A-228654,40.326511,-75.376587,PA,Montgomery,Telford
A-228656,40.241264,-75.575684,PA,Montgomery,Pottstown
A-228658,40.47707,-79.999542,PA,Allegheny,Pittsburgh
A-228661,40.014603,-76.326111,PA,Lancaster,Lancaster
A-228663,39.973007,-76.677071,PA,York,York
A-228664,40.037949,-76.305687,PA,Lancaster,Lancaster
A-228665,40.364441,-75.819664,PA,Berks,Reading
A-228666,40.118927,-75.119316,PA,Montgomery,Abington
A-228668,40.122417,-75.217361,PA,Montgomery,Fort Washington
A-228672,40.150002,-75.30999,PA,Montgomery,Norristown
A-228673,40.215832,-75.240837,PA,Montgomery,North Wales
A-228675,40.192268,-75.106895,PA,Montgomery,Hatboro
A-228678,39.955814,-75.225769,PA,Philadelphia,Philadelphia
A-228679,40.123474,-75.043228,PA,Montgomery,Huntingdon Valley
A-228680,40.53273,-79.958611,PA,Allegheny,Glenshaw
A-228683,40.284718,-75.26223,PA,Montgomery,Colmar
A-228684,40.477852,-79.786102,PA,Allegheny,Pittsburgh
A-228691,40.652725,-75.333504,PA,Northampton,Bethlehem
A-228692,39.9842,-75.27604699999998,PA,Montgomery,Wynnewood
A-228693,40.311546,-79.93798100000002,PA,Allegheny,Clairton
A-228694,40.43692,-79.873375,PA,Allegheny,Pittsburgh
A-228696,40.254143,-76.864944,PA,Dauphin,Harrisburg
A-228698,39.867451,-75.343452,PA,Delaware,Woodlyn
A-228700,40.200661,-79.578934,PA,Westmoreland,Hunker
A-228702,39.762165,-76.651009,PA,York,New Freedom
A-228703,40.290501,-75.426788,PA,Montgomery,Schwenksville
A-228704,40.090515,-75.395859,PA,Montgomery,King of Prussia
A-228705,40.12682,-75.360703,PA,Montgomery,Norristown
A-228706,40.109062,-75.272636,PA,Montgomery,Plymouth Meeting
A-228708,40.176098,-75.26185600000002,PA,Montgomery,Blue Bell
A-228711,40.057091,-75.129005,PA,Montgomery,Elkins Park
A-228713,39.956806,-76.735603,PA,York,York
A-228715,40.462833,-79.95725999999998,PA,Allegheny,Pittsburgh
A-228717,39.981911,-76.744934,PA,York,York
A-228721,40.084305,-76.352562,PA,Lancaster,Lancaster
A-228722,39.991131,-76.260338,PA,Lancaster,Willow Street
A-228730,40.328892,-76.792435,PA,Dauphin,Harrisburg
A-228732,40.000183,-76.36547900000002,PA,Lancaster,Millersville
A-228738,39.966316,-76.774956,PA,York,York
A-228742,40.148952,-75.260529,PA,Montgomery,Blue Bell
A-228744,40.695957,-80.303123,PA,Beaver,Beaver
A-228746,39.97282,-75.127907,PA,Philadelphia,Philadelphia
A-228749,40.319897,-76.42398100000003,PA,Lebanon,Lebanon
A-228751,40.188843,-75.146866,PA,Montgomery,Horsham
A-228754,40.178741,-75.205093,PA,Montgomery,Ambler
A-228756,40.085449,-75.114822,PA,Montgomery,Elkins Park
A-228757,40.264179,-75.629028,PA,Montgomery,Pottstown
A-228760,40.203022,-76.157318,PA,Lancaster,Ephrata
A-228765,40.312412,-76.585716,PA,Lebanon,Palmyra
A-228766,40.345245,-75.509232,PA,Montgomery,Green Lane
A-228773,40.0093,-75.287811,PA,Montgomery,Ardmore
A-228777,40.020699,-75.623917,PA,Chester,Exton
A-228782,39.900677,-75.39250200000002,PA,Delaware,Media
A-228787,39.92192100000001,-75.189697,PA,Philadelphia,Philadelphia
A-228788,40.352592,-76.72075699999998,PA,Dauphin,Harrisburg
A-228790,40.294746,-75.343529,PA,Montgomery,Souderton
A-228794,40.310322,-79.624649,PA,Westmoreland,Jeannette
A-228796,40.15995,-76.390984,PA,Lancaster,Manheim
A-228805,40.06488,-76.46302,PA,Lancaster,Mount Joy
A-228806,40.074131,-76.320686,PA,Lancaster,Lancaster
A-228811,40.237679,-75.688148,PA,Montgomery,Pottstown
A-228812,39.833698,-75.424316,PA,Delaware,Marcus Hook
A-228814,40.006573,-75.232201,PA,Montgomery,Bala Cynwyd
A-228816,40.137688,-75.01458000000002,PA,Bucks,Feasterville Trevose
A-228817,40.22871,-75.353661,PA,Montgomery,Lansdale
A-228819,39.847031,-75.387505,PA,Delaware,Chester
A-228823,40.423325,-80.10588100000002,PA,Allegheny,Carnegie
A-228824,39.986721,-75.20787800000002,PA,Philadelphia,Philadelphia
A-228826,40.124317,-75.40813399999998,PA,Montgomery,Norristown
A-228828,40.430885,-80.026131,PA,Allegheny,Pittsburgh
A-228829,40.020809,-79.082115,PA,Somerset,Somerset
A-228830,40.785793,-77.8545,PA,Centre,State College
A-228839,40.247173,-75.403038,PA,Montgomery,Schwenksville
A-228841,39.978127,-75.340324,PA,Delaware,Broomall
A-228842,40.253105,-75.303185,PA,Montgomery,Lansdale
A-228850,40.060688,-75.093414,PA,Montgomery,Cheltenham
A-228857,40.144833,-75.467552,PA,Montgomery,Collegeville
A-228865,40.036747,-75.06444499999998,PA,Philadelphia,Philadelphia
A-228873,40.152863,-76.23188,PA,Lancaster,Lititz
A-228878,40.108078000000006,-75.321472,PA,Montgomery,Plymouth Meeting
A-228879,40.229481,-79.430359,PA,Westmoreland,Latrobe
A-228882,40.163376,-76.15128299999998,PA,Lancaster,Ephrata
A-228885,40.193043,-74.879875,PA,Bucks,Langhorne
