ID,Start_Lat,Start_Lng,State,County,City
A-146310,33.231266,-84.809128,GA,Coweta,Grantville
A-146311,33.249737,-81.95591,GA,Richmond,Hephzibah
A-146314,33.681126,-84.398689,GA,Fulton,Atlanta
A-146316,33.982327000000005,-84.34164399999997,GA,Fulton,Atlanta
A-146318,33.961693,-84.519745,GA,Cobb,Marietta
A-146319,33.98304,-83.926476,GA,Gwinnett,Dacula
A-146321,33.506004,-84.230499,GA,Henry,Stockbridge
A-146322,33.781254,-84.40748599999998,GA,Fulton,Atlanta
A-146323,34.054295,-84.285728,GA,Fulton,Alpharetta
A-146325,33.447948,-82.006721,GA,Richmond,Augusta
A-146327,33.699013,-84.26616700000002,GA,DeKalb,Decatur
A-146338,34.215233000000005,-84.490776,GA,Cherokee,Canton
A-146348,33.864307000000004,-84.479675,GA,Cobb,Atlanta
A-146357,34.053978,-84.594215,GA,Cobb,Kennesaw
A-146361,33.627762,-83.666924,GA,Walton,Social Circle
A-146368,34.124035,-84.526489,GA,Cherokee,Woodstock
A-146371,33.912239,-84.207817,GA,Gwinnett,Norcross
A-146372,33.854541999999995,-84.697975,GA,Cobb,Powder Springs
A-146379,34.258011,-84.074883,GA,Forsyth,Cumming
A-146381,34.075195,-83.917847,GA,Gwinnett,Buford
A-146382,31.575336,-84.176224,GA,Dougherty,Albany
A-146383,34.054432,-84.17443100000001,GA,Fulton,Duluth
A-146384,33.585121,-84.51313,GA,Fulton,Atlanta
A-146387,33.960697,-84.06079100000002,GA,Gwinnett,Lawrenceville
A-146388,31.617758,-83.746521,GA,Worth,Sumner
A-146390,33.441334000000005,-84.53997,GA,Fayette,Fayetteville
A-146396,31.601265,-84.84721400000002,GA,Clay,Coleman
A-146397,31.483543,-84.116692,GA,Dougherty,Albany
A-146398,33.474354,-84.44136800000003,GA,Fayette,Fayetteville
A-146409,33.808353000000004,-84.096085,GA,Gwinnett,Stone Mountain
A-146411,33.827091,-84.252602,GA,DeKalb,Tucker
A-146420,33.396854,-84.749039,GA,Coweta,Newnan
A-146424,33.346607,-82.055298,GA,Richmond,Hephzibah
A-146425,33.132740000000005,-84.015221,GA,Monroe,Forsyth
A-146428,32.992901,-84.508339,GA,Pike,Molena
A-146447,32.543246999999994,-82.902641,GA,Laurens,Dublin
A-146451,31.426773,-83.512741,GA,Tift,Tifton
A-146462,32.546227,-83.744102,GA,Peach,Fort Valley
A-146467,33.973831,-83.786652,GA,Barrow,Winder
A-146474,34.256912,-83.822906,GA,Hall,Gainesville
A-146478,34.120728,-83.576431,GA,Jackson,Jefferson
A-146483,33.051468,-83.254951,GA,Baldwin,Milledgeville
A-146485,32.938053000000004,-83.580513,GA,Jones,Gray
A-146500,33.719879,-84.488106,GA,Fulton,Atlanta
A-146520,34.446846,-83.122055,GA,Franklin,Lavonia
A-146534,33.722159999999995,-84.939728,GA,Carroll,Villa Rica
A-146557,32.991322,-83.844673,GA,Monroe,Forsyth
A-146575,34.174515,-84.758995,GA,Bartow,Cartersville
A-146584,34.377258000000005,-84.911026,GA,Bartow,Adairsville
A-146587,32.856823,-83.640091,GA,Bibb,Macon
A-146590,32.919391999999995,-83.709274,GA,Bibb,Macon
A-146592,33.653748,-84.005554,GA,Rockdale,Conyers
A-146606,33.586132,-84.380333,GA,Clayton,Forest Park
A-146617,33.701347,-84.116447,GA,DeKalb,Lithonia
A-146624,33.444847,-82.312675,GA,Columbia,Harlem
A-146674,33.50013,-84.638992,GA,Coweta,Palmetto
A-146679,33.770008000000004,-84.646027,GA,Douglas,Lithia Springs
A-146682,32.394585,-83.766144,GA,Houston,Perry
A-146697,33.789307,-82.897705,GA,Wilkes,Washington
A-146748,32.814045,-85.02494,GA,Harris,Pine Mountain
A-146755,32.25407,-81.701859,GA,Bulloch,Brooklet
A-146777,33.490181,-83.22449499999998,GA,Greene,Greensboro
A-146801,32.282234,-83.451859,GA,Pulaski,Hawkinsville
A-146827,33.544174,-83.079758,GA,Greene,Greensboro
A-146855,33.855391999999995,-84.010574,GA,Gwinnett,Snellville
A-146870,33.411369,-84.16113299999998,GA,Henry,McDonough
A-146947,34.059559,-83.66226999999998,GA,Jackson,Jefferson
A-146969,34.088764000000005,-84.694633,GA,Cherokee,Acworth
