ID,Start_Lat,Start_Lng,State,County,City
A-160852,41.378712,-96.234261,NE,Douglas,Bennington
A-160853,41.224361,-96.085396,NE,Douglas,Omaha
A-160855,41.205597,-95.949348,NE,Douglas,Omaha
A-160859,41.266026,-96.196487,NE,Douglas,Elkhorn
A-160864,41.317822,-96.066101,NE,Douglas,Omaha
A-160878,41.102306,-95.939461,NE,Sarpy,Bellevue
A-160879,41.320793,-96.367996,NE,Douglas,Valley
A-160929,42.446793,-96.380684,NE,Dakota,South Sioux City
A-160942,41.203243,-96.287498,NE,Douglas,Elkhorn
A-160951,41.29966,-95.933609,NE,Douglas,Omaha
A-161028,41.147129,-96.158333,NE,Sarpy,Omaha
A-161301,41.094444,-96.253387,NE,Sarpy,Gretna
A-161308,41.403976,-96.098244,NE,Douglas,Omaha
A-161629,40.998852,-95.891747,NE,Cass,Plattsmouth
A-3425245,41.032445,-103.686372,NE,Kimball,Kimball
A-3425395,40.950524,-96.64358,NE,Lancaster,Lincoln
