ID,Start_Lat,Start_Lng,State,County,City
A-3511045,40.6206,-111.897009,UT,Salt Lake,Midvale
A-3511052,37.24403,-113.35309,UT,Washington,Leeds
A-3511057,41.297864,-111.96889,UT,Weber,Ogden
A-3511134,38.654199,-112.59726299999998,UT,Millard,Fillmore
A-3511135,38.716074,-109.706169,UT,Grand,Thompson
A-3511140,40.72243,-112.04661000000002,UT,Salt Lake,West Valley City
A-3511151,40.542003,-112.298361,UT,Tooele,Tooele
A-3511184,40.81384,-111.9228,UT,Salt Lake,Salt Lake City
A-3511194,40.74218,-111.73751,UT,Salt Lake,Salt Lake City
A-3511218,40.72048,-112.23043,UT,Tooele,Tooele
A-3511227,40.224679,-111.675569,UT,Utah,Provo
A-3511268,37.36576,-113.259591,UT,Washington,Hurricane
A-3511271,40.165345,-110.425112,UT,Duchesne,Talmage
A-3511286,40.347206,-111.764297,UT,Utah,Pleasant Grove
A-3511290,40.96691,-111.89136,UT,Davis,Farmington
A-3511338,41.11317,-111.76126,UT,Morgan,Morgan
A-3511405,40.001381,-111.762769,UT,Utah,Payson
A-3511417,38.87592,-111.96007,UT,Sevier,Salina
A-3511418,38.871965,-110.764031,UT,Emery,Green River
A-3511419,39.25817,-112.10932,UT,Millard,Fillmore
A-3511426,41.179623,-111.996662,UT,Weber,Ogden
A-3511433,39.68853,-111.83093,UT,Juab,Nephi
A-3511434,39.47947,-111.98281,UT,Juab,Nephi
A-3511475,37.11317,-113.55622,UT,Washington,Saint George
A-3511612,39.461284,-110.487694,UT,Emery,Green River
A-3511656,37.836837,-112.875455,UT,Iron,Parowan
A-3511739,38.411774,-113.068537,UT,Beaver,Milford
A-3511763,39.886176,-110.747903,UT,Duchesne,Duchesne
A-3511764,40.059764,-110.520976,UT,Duchesne,Duchesne
