ID,Start_Lat,Start_Lng,State,County,City
A-116115,27.767431,-80.55130799999998,FL,Indian River,Fellsmere
A-116116,27.99843,-80.630264,FL,Brevard,Palm Bay
A-116117,27.311499,-80.414505,FL,St. Lucie,Port Saint Lucie
A-116118,25.883753,-80.208977,FL,Miami-Dade,Miami
A-116119,27.996071,-82.45359,FL,Hillsborough,Tampa
A-116120,27.338223,-82.446991,FL,Sarasota,Sarasota
A-116125,27.821056,-82.698982,FL,Pinellas,Saint Petersburg
A-116126,28.378693,-81.404617,FL,Orange,Orlando
A-116127,28.012707,-82.7089,FL,Pinellas,Clearwater
A-116128,26.612734000000003,-81.803375,FL,Lee,Fort Myers
A-116129,26.368399,-80.118271,FL,Palm Beach,Boca Raton
A-116133,26.114328,-80.313461,FL,Broward,Fort Lauderdale
A-116135,28.541048,-81.50014499999997,FL,Orange,Orlando
A-116138,28.256489,-82.320145,FL,Pasco,Wesley Chapel
A-116140,28.551901,-80.85144,FL,Brevard,Titusville
A-116142,28.027067,-82.152771,FL,Hillsborough,Plant City
A-116143,25.643578,-80.334251,FL,Miami-Dade,Miami
A-116153,27.506271,-82.613098,FL,Manatee,Bradenton
A-116156,27.846132,-82.38160699999997,FL,Hillsborough,Gibsonton
A-116159,28.539251,-81.25724,FL,Orange,Orlando
A-116162,28.324112,-82.694061,FL,Pasco,Port Richey
A-116166,28.871731,-81.284233,FL,Volusia,Debary
A-116167,28.204674,-80.66166700000002,FL,Brevard,Melbourne
A-116169,28.49205,-82.598656,FL,Hernando,Spring Hill
A-116176,28.721342,-81.834244,FL,Lake,Howey in the Hills
A-116179,26.706861,-80.111076,FL,Palm Beach,West Palm Beach
A-116181,28.684368,-82.49436999999998,FL,Hernando,Brooksville
A-116183,26.048288,-80.162407,FL,Broward,Hollywood
A-116184,28.467117,-82.432434,FL,Hernando,Brooksville
A-116188,28.186382,-82.473442,FL,Hillsborough,Lutz
A-116193,28.172878000000004,-82.773415,FL,Pinellas,Tarpon Springs
A-116198,27.110071,-82.348015,FL,Sarasota,Venice
A-116207,26.37418,-81.807869,FL,Lee,Bonita Springs
A-116213,28.044106,-81.960274,FL,Polk,Lakeland
A-116220,29.497004,-82.294739,FL,Alachua,Micanopy
A-116234,26.761789,-81.43843100000002,FL,Hendry,Labelle
A-116264,25.894577,-80.387566,FL,Miami-Dade,Miami
A-116294,27.098595,-82.155502,FL,Sarasota,North Port
A-116307,28.347122,-80.69899699999998,FL,Brevard,Merritt Island
A-116316,26.216999,-80.136459,FL,Broward,Pompano Beach
A-116319,28.153955,-81.44001,FL,Osceola,Kissimmee
A-116336,28.274725,-80.970123,FL,Osceola,Saint Cloud
A-116373,28.423553,-82.190727,FL,Pasco,Dade City
A-116398,25.491966,-80.453819,FL,Miami-Dade,Homestead
A-116404,28.847614,-82.045425,FL,Sumter,Wildwood
A-116422,28.575775,-81.74834399999997,FL,Lake,Minneola
A-116441,28.23229000000001,-81.64964300000003,FL,Polk,Davenport
A-116449,29.477535,-81.336197,FL,Flagler,Bunnell
A-116466,26.174116,-81.734749,FL,Collier,Naples
A-116467,26.154501,-81.345001,FL,Collier,Ochopee
A-116477,26.601067,-81.61232,FL,Lee,Lehigh Acres
A-116481,27.603544,-82.212807,FL,Manatee,Parrish
A-116503,26.883242,-80.128235,FL,Palm Beach,Palm Beach Gardens
A-116522,26.514540000000004,-80.072075,FL,Palm Beach,Boynton Beach
A-116528,26.568327000000004,-82.101692,FL,Lee,Saint James City
A-116530,27.09802100000001,-80.256416,FL,Martin,Stuart
A-116534,28.7467,-80.88713100000002,FL,Brevard,Mims
A-116536,27.594984000000004,-82.008453,FL,Hardee,Bowling Green
A-116556,27.531675,-81.741516,FL,Hardee,Zolfo Springs
A-116575,28.821943,-81.702057,FL,Lake,Eustis
A-116583,27.481716,-82.405563,FL,Manatee,Bradenton
A-116645,29.505239000000003,-81.604156,FL,Putnam,Pomona Park
A-116651,26.884615000000004,-81.995094,FL,Charlotte,Punta Gorda
A-116683,25.761009,-80.48129300000002,FL,Miami-Dade,Miami
A-116709,28.662039,-81.38846600000002,FL,Seminole,Altamonte Springs
A-116763,29.020809000000003,-81.315689,FL,Volusia,Deland
A-116871,29.150515,-82.184914,FL,Marion,Ocala
A-116876,28.601215000000003,-82.203445,FL,Sumter,Bushnell
A-117007,29.312485,-81.101936,FL,Volusia,Ormond Beach
A-117040,29.15447,-81.075027,FL,Volusia,Daytona Beach
A-117043,27.534935,-81.51200899999998,FL,Highlands,Sebring
A-117083,27.314489,-82.108215,FL,Manatee,Myakka City
A-117142,27.653397,-82.375847,FL,Hillsborough,Wimauma
A-117160,28.298204,-81.239014,FL,Osceola,Saint Cloud
A-117241,28.408054,-81.564964,FL,Orange,Orlando
A-117242,26.961161,-82.353043,FL,Sarasota,Englewood
A-117256,28.849207,-82.37455,FL,Citrus,Inverness
A-117260,26.170547,-80.8563,FL,Broward,Conservation
A-117342,26.925098,-81.312111,FL,Glades,Moore Haven
A-117401,25.994465,-81.59255999999998,FL,Collier,Naples
A-117403,26.756802,-81.760857,FL,Lee,North Fort Myers
A-117439,27.904417,-81.616043,FL,Polk,Lake Wales
A-117442,27.700703000000004,-80.895004,FL,Osceola,Okeechobee
A-117599,27.018225,-81.760696,FL,Charlotte,Punta Gorda
A-117637,27.448038,-80.559967,FL,St. Lucie,Fort Pierce
A-117652,29.011112,-81.068825,FL,Volusia,New Smyrna Beach
A-118034,26.51602,-81.943832,FL,Lee,Fort Myers
A-118253,27.118654,-81.078987,FL,Glades,Okeechobee
A-118293,27.676119,-82.72583,FL,Pinellas,Saint Petersburg
A-118340,27.208935,-81.218765,FL,Highlands,Lake Placid
A-118469,27.23904000000001,-80.98221600000002,FL,Okeechobee,Okeechobee
A-118475,28.547791,-81.093636,FL,Orange,Orlando
A-118487,28.157427,-81.801819,FL,Polk,Auburndale
A-118519,29.294212,-82.203133,FL,Marion,Ocala
A-118770,28.0354,-81.043465,FL,Osceola,Saint Cloud
A-118882,27.623316,-80.577988,FL,Indian River,Vero Beach
A-118981,26.431599,-81.02774000000002,FL,Hendry,Clewiston
A-119145,28.855934,-82.57961999999998,FL,Citrus,Homosassa
A-119163,26.450645,-81.627655,FL,Lee,Estero
A-119191,27.24176,-81.382233,FL,Highlands,Lake Placid
A-119274,29.016613,-82.569191,FL,Citrus,Crystal River
A-119448,27.69400000000001,-81.54364,FL,Polk,Frostproof
A-119611,28.978569,-81.645195,FL,Lake,Altoona
A-119787,28.101063,-80.897903,FL,Osceola,Saint Cloud
A-120043,27.82052,-81.82164,FL,Polk,Bartow
A-120099,28.690254,-81.22802,FL,Seminole,Oviedo
A-120103,27.06719600000001,-81.35759,FL,Highlands,Venus
A-120194,27.246134,-80.225937,FL,Martin,Jensen Beach
A-120376,29.551319,-81.877724,FL,Putnam,Interlachen
A-3445573,30.286829,-81.526661,FL,Duval,Jacksonville
A-3445672,30.27298,-82.75804000000002,FL,Columbia,Lake City
A-3445690,29.80552,-82.51358,FL,Alachua,Alachua
A-3445719,30.7006,-86.74664,FL,Okaloosa,Holt
A-3446297,30.35911,-81.66873000000002,FL,Duval,Jacksonville
A-3446398,30.488153000000004,-84.41991800000002,FL,Gadsden,Midway
A-3446399,30.57181,-84.678422,FL,Gadsden,Quincy
A-3446433,30.31428,-81.84851,FL,Duval,Jacksonville
A-3446701,30.514166,-87.151209,FL,Escambia,Pensacola
