ID,Start_Lat,Start_Lng,State,County,City
A-168540,41.927601,-87.96672099999998,IL,DuPage,Addison
A-231085,40.214943,-76.786171,PA,Dauphin,Highspire
A-119150,25.781733,-80.32064799999998,FL,Miami-Dade,Miami
A-117879,26.368721,-80.163078,FL,Palm Beach,Boca Raton
A-3511715,43.540929,-112.06958,ID,Bonneville,Idaho Falls
A-262680,30.167116,-97.785866,TX,Travis,Austin
A-3526518,34.219590000000004,-118.609786,CA,Los Angeles,Canoga Park
A-118665,25.648787,-80.385201,FL,Miami-Dade,Miami
A-180981,42.277233,-83.156525,MI,Wayne,Detroit
A-3453837,38.414501,-81.858809,WV,Kanawha,Saint Albans
A-266900,29.753147,-95.402298,TX,Harris,Houston
A-119924,25.812012,-80.137947,FL,Miami-Dade,Miami Beach
A-148120,33.854015000000004,-84.358078,GA,Fulton,Atlanta
A-55358,34.134388,-117.957596,CA,Los Angeles,Baldwin Park
A-53345,34.034584,-118.345749,CA,Los Angeles,Los Angeles
A-267408,29.832041,-95.563675,TX,Harris,Houston
A-196358,42.593639,-72.607941,MA,Franklin,Greenfield
A-117459,28.340858,-81.38041700000002,FL,Osceola,Kissimmee
A-3427011,38.82173,-91.145816,MO,Warren,Warrenton
A-3446204,40.39163,-76.61624,PA,Lebanon,Grantville
A-147344,33.683865000000004,-84.310005,GA,DeKalb,Atlanta
A-148027,33.759471999999995,-84.378876,GA,Fulton,Atlanta
A-53898,34.027458,-118.27449,CA,Los Angeles,Los Angeles
A-58721,34.466686,-118.329811,CA,Los Angeles,Santa Clarita
A-263956,30.183222,-97.687637,TX,Travis,Austin
A-5146,37.748791,-122.404007,CA,San Francisco,San Francisco
A-3426047,41.98673,-91.66199,IA,Linn,Cedar Rapids
A-265522,32.775818,-96.806915,TX,Dallas,Dallas
A-146568,33.815701000000004,-84.251762,GA,DeKalb,Clarkston
A-118276,27.951958,-82.40169499999998,FL,Hillsborough,Tampa
A-161099,41.555546,-93.678856,IA,Polk,Des Moines
A-3447010,41.18065,-79.24593,PA,Clarion,Corsica
A-197687,40.7896,-74.19548,NJ,Essex,Bloomfield
A-3527487,34.154222,-118.274143,CA,Los Angeles,Glendale
A-54306,33.96069,-117.314102,CA,Riverside,Riverside
A-3525149,48.007264,-122.465005,WA,Island,Langley
A-57255,34.01902800000001,-117.480347,CA,Riverside,Riverside
A-55649,33.228297999999995,-116.990883,CA,San Diego,Valley Center
A-161183,41.259106,-96.070076,NE,Douglas,Omaha
A-307120,47.854248,-122.590668,WA,Kitsap,Poulsbo
A-56088,34.065033,-117.99991599999998,CA,Los Angeles,Baldwin Park
A-196482,40.710907,-73.955963,NY,Kings,Brooklyn
A-179017,42.956173,-85.671654,MI,Kent,Grand Rapids
A-117317,27.974886,-81.884682,FL,Polk,Lakeland
