ID,Start_Lat,Start_Lng,State,County,City
A-116746,27.950026,-82.395065,FL,Hillsborough,Tampa
A-117327,27.93782,-82.261108,FL,Hillsborough,Brandon
A-116334,27.952644,-82.510689,FL,Hillsborough,Tampa
A-119402,27.99637,-82.549309,FL,Hillsborough,Tampa
A-120068,28.002211,-82.327271,FL,Hillsborough,Tampa
A-117034,27.867756,-82.326622,FL,Hillsborough,Riverview
A-3454146,27.768752000000006,-82.391925,FL,Hillsborough,Apollo Beach
A-3450220,28.131075,-82.36534499999998,FL,Hillsborough,Tampa
A-3448269,28.030028,-82.50501,FL,Hillsborough,Tampa
A-117374,27.956661,-82.46093,FL,Hillsborough,Tampa
A-118923,27.887083,-82.330826,FL,Hillsborough,Riverview
A-119292,27.713058,-82.39415699999998,FL,Hillsborough,Ruskin
A-120710,27.903406,-82.343964,FL,Hillsborough,Riverview
A-120238,28.02249500000001,-82.455688,FL,Hillsborough,Tampa
A-118088,27.96546,-82.435509,FL,Hillsborough,Tampa
A-3447911,28.05419,-82.333146,FL,Hillsborough,Thonotosassa
A-117348,27.871735,-82.326691,FL,Hillsborough,Riverview
A-116770,28.014462,-82.505013,FL,Hillsborough,Tampa
A-118798,28.0543,-82.353836,FL,Hillsborough,Tampa
A-116145,27.968388,-82.401611,FL,Hillsborough,Tampa
A-120563,27.857088,-82.326553,FL,Hillsborough,Riverview
A-118390,27.989969,-82.372749,FL,Hillsborough,Tampa
A-116849,28.088129,-82.454727,FL,Hillsborough,Tampa
A-116946,28.000753000000003,-82.326729,FL,Hillsborough,Tampa
A-3450515,27.990303000000004,-82.373133,FL,Hillsborough,Tampa
A-116225,27.712387,-82.367851,FL,Hillsborough,Sun City Center
A-116885,27.96546,-82.435509,FL,Hillsborough,Tampa
A-119792,27.981518,-82.39202900000002,FL,Hillsborough,Tampa
A-3450223,27.98156,-82.467151,FL,Hillsborough,Tampa
A-119958,27.956247,-82.485008,FL,Hillsborough,Tampa
A-120531,27.952251,-82.534492,FL,Hillsborough,Tampa
A-116584,27.835173,-82.32856,FL,Hillsborough,Riverview
A-116701,28.040117,-82.504913,FL,Hillsborough,Tampa
A-116341,27.945595,-82.537514,FL,Hillsborough,Tampa
A-3452126,28.025625,-82.48425999999998,FL,Hillsborough,Tampa
A-119519,28.006342,-82.302307,FL,Hillsborough,Seffner
A-118002,27.712444,-82.33535,FL,Hillsborough,Wimauma
A-116555,27.996069,-82.45359,FL,Hillsborough,Tampa
A-117075,28.084688,-82.505211,FL,Hillsborough,Tampa
A-119181,28.001863,-82.3022,FL,Hillsborough,Seffner
A-116847,28.086128,-82.504662,FL,Hillsborough,Tampa
A-3455199,27.95593,-82.46595,FL,Hillsborough,Tampa
A-3452096,27.95636,-82.3275,FL,Hillsborough,Tampa
A-116659,28.003147,-82.453026,FL,Hillsborough,Tampa
A-120075,27.96475,-82.452522,FL,Hillsborough,Tampa
A-3447461,27.942839000000006,-82.332229,FL,Hillsborough,Tampa
A-118722,28.032515000000004,-82.421211,FL,Hillsborough,Tampa
A-119314,27.981302000000003,-82.332832,FL,Hillsborough,Tampa
A-117033,27.923147,-82.326904,FL,Hillsborough,Brandon
A-118743,28.02249500000001,-82.455688,FL,Hillsborough,Tampa
A-3454316,28.06931,-82.4594,FL,Hillsborough,Tampa
A-119396,27.949835,-82.36895799999998,FL,Hillsborough,Tampa
A-116312,27.981548,-82.45384200000002,FL,Hillsborough,Tampa
A-116609,28.166483000000003,-82.394897,FL,Hillsborough,Tampa
A-116836,27.945595,-82.537514,FL,Hillsborough,Tampa
A-118093,28.028961,-82.637375,FL,Hillsborough,Tampa
A-118164,28.056227000000003,-82.319153,FL,Hillsborough,Thonotosassa
A-118913,27.981684,-82.546623,FL,Hillsborough,Tampa
A-3452127,28.02535,-82.48425,FL,Hillsborough,Tampa
A-116237,27.956661,-82.46093,FL,Hillsborough,Tampa
A-3450858,27.94712,-82.53397,FL,Hillsborough,Tampa
A-118929,27.956247,-82.485008,FL,Hillsborough,Tampa
