ID,Start_Lat,Start_Lng,State,County,City
A-120156,26.492834,-81.81321,FL,Lee,Fort Myers
A-116547,26.63483,-81.803101,FL,Lee,Fort Myers
A-120182,26.524063,-81.887939,FL,Lee,Fort Myers
A-116870,26.527889,-81.871284,FL,Lee,Fort Myers
A-118760,26.562799,-81.94369499999998,FL,Lee,Cape Coral
A-120427,26.519718,-81.941956,FL,Lee,Fort Myers
A-116697,26.546566,-81.84677099999998,FL,Lee,Fort Myers
A-119153,26.612049,-81.802818,FL,Lee,Fort Myers
A-116477,26.601067,-81.61232,FL,Lee,Lehigh Acres
A-117011,26.556309,-81.750229,FL,Lee,Fort Myers
A-117172,26.714964,-81.811844,FL,Lee,North Fort Myers
A-116663,26.332098,-81.750107,FL,Lee,Bonita Springs
A-117829,26.637384,-81.717377,FL,Lee,Lehigh Acres
A-119081,26.547203000000003,-81.795151,FL,Lee,Fort Myers
A-119718,26.437057,-81.768074,FL,Lee,Estero
A-3448455,26.4372,-81.77979,FL,Lee,Estero
A-118172,26.68049,-81.598412,FL,Lee,Alva
A-118367,26.620958,-81.749542,FL,Lee,Lehigh Acres
A-116886,26.331472,-81.750259,FL,Lee,Bonita Springs
A-119248,26.493376,-81.97805,FL,Lee,Fort Myers
A-116616,26.564608000000003,-81.852997,FL,Lee,Fort Myers
A-119197,26.603123,-81.624916,FL,Lee,Lehigh Acres
A-117490,26.68202,-81.88353000000002,FL,Lee,North Fort Myers
A-119154,26.547203000000003,-81.795151,FL,Lee,Fort Myers
A-118991,26.603243,-81.904083,FL,Lee,Cape Coral
A-116559,26.547379,-81.795158,FL,Lee,Fort Myers
A-120111,26.628878000000004,-81.940865,FL,Lee,Cape Coral
A-117625,26.682652,-81.901634,FL,Lee,Cape Coral
A-3451210,26.512942,-81.950707,FL,Lee,Fort Myers
A-116233,26.448023,-81.728661,FL,Lee,Estero
A-116831,26.542093,-81.871414,FL,Lee,Fort Myers
A-118664,26.612837,-81.793503,FL,Lee,Fort Myers
A-120603,26.545033,-81.79319,FL,Lee,Fort Myers
A-120438,26.546965000000004,-81.81554399999997,FL,Lee,Fort Myers
A-120163,26.593828,-81.871826,FL,Lee,Fort Myers
A-120437,26.669813,-81.936813,FL,Lee,Cape Coral
A-119867,26.432213,-81.77793100000002,FL,Lee,Estero
A-117936,26.491764,-81.8452,FL,Lee,Fort Myers
A-119242,26.514338,-81.89877299999998,FL,Lee,Fort Myers
A-116539,26.547209,-81.795151,FL,Lee,Fort Myers
A-117821,26.502762,-81.856575,FL,Lee,Fort Myers
A-117684,26.711203,-81.900818,FL,Lee,North Fort Myers
A-117019,26.547409,-81.789268,FL,Lee,Fort Myers
A-119460,26.547209,-81.80426800000002,FL,Lee,Fort Myers
A-120590,26.663879,-81.886742,FL,Lee,North Fort Myers
A-119829,26.610369,-81.679222,FL,Lee,Lehigh Acres
A-117856,26.447573,-81.817116,FL,Lee,Estero
A-119990,26.605936,-81.67920699999998,FL,Lee,Lehigh Acres
A-119744,26.581751,-81.713821,FL,Lee,Fort Myers
A-116719,26.432213,-81.77793100000002,FL,Lee,Estero
A-116662,26.431906,-81.777527,FL,Lee,Estero
A-119650,26.682318,-81.880768,FL,Lee,North Fort Myers
A-116644,26.547255,-81.85266899999998,FL,Lee,Fort Myers
A-116177,26.714964,-81.811844,FL,Lee,North Fort Myers
A-118032,26.488789,-81.787338,FL,Lee,Fort Myers
A-120059,26.527889,-81.871284,FL,Lee,Fort Myers
A-117964,26.712624,-81.90248100000002,FL,Lee,North Fort Myers
A-119802,26.431198,-81.81066899999998,FL,Lee,Estero
A-119547,26.463161,-81.830215,FL,Lee,Fort Myers
A-118034,26.51602,-81.943832,FL,Lee,Fort Myers
A-118976,26.527889,-81.871284,FL,Lee,Fort Myers
A-117824,26.502762,-81.856575,FL,Lee,Fort Myers
A-119163,26.450645,-81.627655,FL,Lee,Estero
A-117319,26.59662100000001,-81.884178,FL,Lee,Fort Myers
A-116208,26.54632,-81.868034,FL,Lee,Fort Myers
A-117071,26.527889,-81.871284,FL,Lee,Fort Myers
A-119061,26.557005,-81.885307,FL,Lee,Fort Myers
A-120369,26.560946,-81.873161,FL,Lee,Fort Myers
A-116572,26.602833,-81.903412,FL,Lee,Fort Myers
A-119561,26.637384,-81.717377,FL,Lee,Lehigh Acres
A-119748,26.556599,-81.904007,FL,Lee,Fort Myers
A-118303,26.539963,-81.795074,FL,Lee,Fort Myers
A-3449666,26.4482,-81.81761,FL,Lee,Estero
A-3453844,26.49292,-81.791811,FL,Lee,Fort Myers
A-117180,26.564608000000003,-81.852997,FL,Lee,Fort Myers
A-120522,26.602669,-81.645264,FL,Lee,Lehigh Acres
A-118784,26.447573,-81.817116,FL,Lee,Estero
A-119016,26.441948,-81.811012,FL,Lee,Estero
A-119493,26.617188,-81.682526,FL,Lee,Lehigh Acres
A-119345,26.547203000000003,-81.795151,FL,Lee,Fort Myers
A-116999,26.556623,-81.9104,FL,Lee,Fort Myers
A-116962,26.62166400000001,-81.597862,FL,Lee,Lehigh Acres
A-119072,26.519718,-81.941956,FL,Lee,Fort Myers
A-116596,26.564608000000003,-81.852997,FL,Lee,Fort Myers
A-116631,26.546455,-81.852531,FL,Lee,Fort Myers
A-119116,26.518211,-81.92968,FL,Lee,Fort Myers
A-119760,26.492907,-81.794296,FL,Lee,Fort Myers
A-118027,26.488789,-81.787338,FL,Lee,Fort Myers
A-120602,26.682081,-81.895645,FL,Lee,North Fort Myers
A-3454308,26.513595,-81.899456,FL,Lee,Fort Myers
A-119523,26.745892,-81.917976,FL,Lee,North Fort Myers
A-119421,26.511908,-81.78533900000002,FL,Lee,Fort Myers
A-117027,26.556978000000004,-81.888763,FL,Lee,Fort Myers
A-116612,26.520571,-81.891159,FL,Lee,Fort Myers
A-117952,26.712624,-81.90248100000002,FL,Lee,North Fort Myers
A-118546,26.432213,-81.77793100000002,FL,Lee,Estero
A-119613,26.605347,-81.748421,FL,Lee,Lehigh Acres
A-117272,26.602058000000003,-81.989822,FL,Lee,Cape Coral
A-118513,26.715092,-81.81134,FL,Lee,North Fort Myers
A-3452717,26.54333,-81.794816,FL,Lee,Fort Myers
A-117252,26.520369,-81.911469,FL,Lee,Fort Myers
A-119403,26.685543,-81.732262,FL,Lee,Fort Myers
A-116207,26.37418,-81.807869,FL,Lee,Bonita Springs
A-116240,26.606174,-81.649132,FL,Lee,Lehigh Acres
A-116139,26.493118,-81.78366899999997,FL,Lee,Fort Myers
A-119366,26.634911,-81.803085,FL,Lee,Fort Myers
