ID,Start_Lat,Start_Lng,State,County,City
A-168803,41.658436,-87.64489,IL,Cook,Chicago
A-3446499,42.06668,-88.13387,IL,Cook,Hoffman Estates
A-168556,41.906471,-87.919655,IL,Cook,Melrose Park
A-167769,41.877224,-87.716476,IL,Cook,Chicago
A-167635,41.972916,-87.74793199999998,IL,Cook,Chicago
A-3448079,42.135229,-87.88703199999998,IL,Cook,Northbrook
A-3454748,41.91795,-87.66797,IL,Cook,Chicago
A-168242,41.867283,-87.63924399999998,IL,Cook,Chicago
A-167728,41.748867,-87.757584,IL,Cook,Burbank
A-3450006,41.963311,-87.747762,IL,Cook,Chicago
A-167352,41.962776,-87.746399,IL,Cook,Chicago
A-3452423,41.990433,-88.156977,IL,Cook,Hanover Park
A-3448989,41.78346,-87.6306,IL,Cook,Chicago
A-3454214,41.87536,-87.64986999999998,IL,Cook,Chicago
A-3448179,42.002748,-87.888287,IL,Cook,Des Plaines
A-168205,42.055599,-88.079636,IL,Cook,Schaumburg
A-168064,41.903488,-87.66109499999996,IL,Cook,Chicago
A-167503,42.004539,-88.139854,IL,Cook,Hanover Park
A-3447505,42.025406,-87.959902,IL,Cook,Arlington Heights
A-3454164,41.92195,-87.67775999999998,IL,Cook,Chicago
A-3452386,42.002339,-87.74867900000002,IL,Cook,Lincolnwood
A-3451354,41.87162,-87.75895,IL,Cook,Chicago
A-167763,41.751728,-87.56624599999998,IL,Cook,Chicago
A-3449211,41.87181,-87.74495,IL,Cook,Chicago
A-3447954,41.71448,-87.6468,IL,Cook,Chicago
A-3449256,41.82626,-87.68437,IL,Cook,Chicago
A-168214,41.818588,-87.91439100000002,IL,Cook,Hinsdale
A-3448803,41.84938,-87.64451,IL,Cook,Chicago
A-168222,42.012993,-88.21759,IL,Cook,Elgin
A-168512,41.692348,-87.598114,IL,Cook,Chicago
A-3454746,41.74746,-87.62487,IL,Cook,Chicago
A-3452322,41.73148,-87.62443,IL,Cook,Chicago
A-3454620,41.93739,-87.70408,IL,Cook,Chicago
A-3447068,41.882902,-87.92043000000002,IL,Cook,Berkeley
A-3451918,41.68556,-87.66197,IL,Cook,Chicago
A-3450445,41.95438,-87.73136,IL,Cook,Chicago
A-167799,41.995686,-87.864182,IL,Cook,Des Plaines
A-3454749,41.97316,-87.77825,IL,Cook,Chicago
A-167961,41.872311,-87.742508,IL,Cook,Chicago
A-3451760,41.50651,-87.53373,IL,Cook,Chicago Heights
A-167529,41.875328,-87.701065,IL,Cook,Chicago
A-3448751,41.762,-87.90349,IL,Cook,La Grange
A-167523,41.99332800000001,-87.866325,IL,Cook,Des Plaines
A-3450109,41.77354,-87.62673000000002,IL,Cook,Chicago
A-168625,41.838223,-87.630562,IL,Cook,Chicago
A-168215,41.613945,-87.579033,IL,Cook,Dolton
A-168938,42.046616,-88.238457,IL,Cook,Elgin
A-3447099,42.0102,-87.86480999999998,IL,Cook,Des Plaines
A-168780,41.988106,-88.192619,IL,Cook,Bartlett
A-3455431,41.86745,-87.62038000000003,IL,Cook,Chicago
A-3449092,41.84938,-87.64451,IL,Cook,Chicago
A-3450455,41.81624,-87.63011,IL,Cook,Chicago
A-3447062,41.97777,-87.74715,IL,Cook,Chicago
A-3454461,41.86968,-87.88883,IL,Cook,Hillside
A-168496,41.802418,-87.789238,IL,Cook,Chicago
A-3449544,41.96163,-87.74334,IL,Cook,Chicago
A-167480,41.701897,-87.787491,IL,Cook,Chicago Ridge
A-3452282,41.58277,-87.73366,IL,Cook,Tinley Park
A-3449304,41.97545,-87.736857,IL,Cook,Chicago
A-3454617,41.837421,-87.630399,IL,Cook,Chicago
A-3455430,41.90561,-87.66119,IL,Cook,Chicago
A-167414,42.003994,-88.136177,IL,Cook,Hanover Park
A-3451897,41.93904000000001,-87.6367,IL,Cook,Chicago
