ID,Start_Lat,Start_Lng,State,County,City
A-3511648,40.71172,-111.9039,UT,Salt Lake,Salt Lake City
A-3511621,40.77703,-111.91028,UT,Salt Lake,Salt Lake City
A-3511185,40.72575,-111.99293,UT,Salt Lake,West Valley City
A-3511625,40.714862,-112.02488999999998,UT,Salt Lake,West Valley City
A-3511339,40.769956,-111.88826,UT,Salt Lake,Salt Lake City
A-3511190,40.634448,-111.83426,UT,Salt Lake,Salt Lake City
A-3511518,40.71809,-112.11069,UT,Salt Lake,Magna
A-3511428,40.65309,-111.949486,UT,Salt Lake,Salt Lake City
A-3511370,40.59451,-111.90263,UT,Salt Lake,Sandy
A-3511072,40.71232,-111.93897,UT,Salt Lake,West Valley City
A-3511252,40.76585,-111.94621399999998,UT,Salt Lake,Salt Lake City
A-3511688,40.731368,-111.8712,UT,Salt Lake,Salt Lake City
A-3511667,40.72803,-112.17087,UT,Salt Lake,Magna
A-3511343,40.558958,-111.901642,UT,Salt Lake,South Jordan
A-3511685,40.724077,-111.943507,UT,Salt Lake,West Valley City
A-3511140,40.72243,-112.04661000000002,UT,Salt Lake,West Valley City
A-3511369,40.71882,-112.06251,UT,Salt Lake,West Valley City
A-3511197,40.73646,-111.7452,UT,Salt Lake,Salt Lake City
A-3511242,40.69979,-111.895061,UT,Salt Lake,Salt Lake City
A-3511145,40.717216,-111.853521,UT,Salt Lake,Salt Lake City
A-3511524,40.71978,-111.84915,UT,Salt Lake,Salt Lake City
A-3511077,40.56412,-111.89942,UT,Salt Lake,South Jordan
A-3511147,40.7145,-111.82831000000002,UT,Salt Lake,Salt Lake City
A-3511682,40.72425,-111.92001,UT,Salt Lake,West Valley City
A-3511482,40.609294,-111.905825,UT,Salt Lake,Midvale
A-3511618,40.71172,-111.9039,UT,Salt Lake,Salt Lake City
A-3511144,40.760682,-111.914579,UT,Salt Lake,Salt Lake City
A-3511293,40.63598,-111.90204,UT,Salt Lake,Salt Lake City
A-3511624,40.66928,-111.90125,UT,Salt Lake,Salt Lake City
A-3511472,40.66928,-111.90125,UT,Salt Lake,Salt Lake City
A-3511502,40.769883,-111.93923,UT,Salt Lake,Salt Lake City
A-3511073,40.62371,-111.92098,UT,Salt Lake,West Jordan
A-3511295,40.63508,-111.89848,UT,Salt Lake,Salt Lake City
A-3511654,40.72409,-111.90919,UT,Salt Lake,West Valley City
A-3511476,40.550349,-111.89606,UT,Salt Lake,South Jordan
A-3511760,40.72575,-111.99293,UT,Salt Lake,West Valley City
A-3511141,40.69994000000001,-111.89974,UT,Salt Lake,Salt Lake City
A-3511150,40.5935,-111.9027,UT,Salt Lake,Sandy
A-3511523,40.717,-111.88826,UT,Salt Lake,Salt Lake City
A-3511074,40.62383,-111.92079,UT,Salt Lake,West Jordan
