ID,Start_Lat,Start_Lng,State,County,City
A-229466,39.001362,-77.529106,VA,Loudoun,Ashburn
A-228736,39.186554,-77.687309,VA,Loudoun,Purcellville
A-3453951,38.893025,-77.54101999999997,VA,Loudoun,Chantilly
A-231779,39.007595,-77.485817,VA,Loudoun,Ashburn
A-233539,38.989349,-77.431366,VA,Loudoun,Sterling
A-233386,39.023327,-77.426888,VA,Loudoun,Sterling
A-228716,39.17767,-77.661041,VA,Loudoun,Hamilton
A-229420,39.216297,-77.534485,VA,Loudoun,Leesburg
A-231824,38.992393,-77.500786,VA,Loudoun,Ashburn
A-230315,39.016571,-77.375664,VA,Loudoun,Sterling
A-230550,39.041183,-77.506279,VA,Loudoun,Ashburn
A-229463,39.023888,-77.478172,VA,Loudoun,Ashburn
A-3449994,38.95189,-77.53372,VA,Loudoun,Sterling
A-229519,38.982819,-77.454018,VA,Loudoun,Sterling
A-229321,38.988926,-77.503784,VA,Loudoun,Ashburn
A-231932,38.981514,-77.52774000000002,VA,Loudoun,Ashburn
A-232850,39.080189,-77.499268,VA,Loudoun,Leesburg
A-229621,39.020523,-77.408913,VA,Loudoun,Sterling
A-229458,38.979115,-77.429192,VA,Loudoun,Sterling
A-229706,38.998299,-77.397133,VA,Loudoun,Sterling
A-232418,38.98642,-77.407761,VA,Loudoun,Sterling
A-231803,39.185852,-77.66855600000002,VA,Loudoun,Waterford
A-233069,39.067017,-77.573433,VA,Loudoun,Leesburg
A-232355,38.992359,-77.41996800000003,VA,Loudoun,Sterling
A-228770,38.91592,-77.472588,VA,Loudoun,Chantilly
A-233380,39.045422,-77.430588,VA,Loudoun,Sterling
A-228947,39.080189,-77.499268,VA,Loudoun,Leesburg
A-3449992,38.955997,-77.538963,VA,Loudoun,Aldie
A-231111,39.016571,-77.375664,VA,Loudoun,Sterling
A-232231,39.028015,-77.448318,VA,Loudoun,Ashburn
A-3447444,39.080054,-77.499379,VA,Loudoun,Ashburn
A-3454750,39.000485,-77.571809,VA,Loudoun,Leesburg
A-230541,38.916676,-77.51326800000002,VA,Loudoun,Chantilly
A-229696,39.14241,-77.69180300000002,VA,Loudoun,Purcellville
A-230564,39.021137,-77.693375,VA,Loudoun,Middleburg
A-232613,39.060562,-77.45920600000002,VA,Loudoun,Ashburn
A-232128,38.907181,-77.539101,VA,Loudoun,Chantilly
A-233564,38.98526,-77.47206899999998,VA,Loudoun,Sterling
A-230158,38.992359,-77.41996800000003,VA,Loudoun,Sterling
A-233104,39.065563,-77.469162,VA,Loudoun,Ashburn
A-233046,39.014641,-77.48703,VA,Loudoun,Ashburn
A-230236,38.964851,-77.428337,VA,Loudoun,Sterling
A-232627,39.032696,-77.420242,VA,Loudoun,Sterling
A-230924,39.14106,-77.752815,VA,Loudoun,Round Hill
A-232414,39.136993,-77.547714,VA,Loudoun,Leesburg
A-231731,39.01754,-77.468231,VA,Loudoun,Ashburn
A-232415,39.044289,-77.450218,VA,Loudoun,Ashburn
A-229877,39.063992,-77.48123199999998,VA,Loudoun,Ashburn
A-229192,39.029106,-77.48494000000002,VA,Loudoun,Ashburn
A-229870,39.270927,-77.548309,VA,Loudoun,Leesburg
A-232658,39.215878,-77.534607,VA,Loudoun,Leesburg
A-229359,39.021725,-77.480446,VA,Loudoun,Ashburn
A-232628,39.027855,-77.53520999999998,VA,Loudoun,Ashburn
A-229861,39.024708,-77.40158100000002,VA,Loudoun,Sterling
A-230156,38.925026,-77.507858,VA,Loudoun,Chantilly
A-231169,39.319805,-77.71257,VA,Loudoun,Purcellville
A-232558,39.037399,-77.415199,VA,Loudoun,Sterling
A-231933,39.056427,-77.450485,VA,Loudoun,Ashburn
A-233061,39.25895300000001,-77.761116,VA,Loudoun,Purcellville
A-232400,39.080189,-77.499268,VA,Loudoun,Leesburg
A-229063,38.962803,-77.53568299999998,VA,Loudoun,Ashburn
A-229213,38.994778,-77.484093,VA,Loudoun,Ashburn
A-230194,38.963356,-77.494675,VA,Loudoun,Sterling
A-231931,39.141029,-77.612144,VA,Loudoun,Paeonian Springs
A-229869,39.117298,-77.56369000000002,VA,Loudoun,Leesburg
A-231638,39.028015,-77.448318,VA,Loudoun,Ashburn
A-230087,39.025112,-77.39173100000002,VA,Loudoun,Sterling
A-231822,39.040047,-77.413361,VA,Loudoun,Sterling
A-232452,39.046951,-77.479897,VA,Loudoun,Ashburn
