ID,Start_Lat,Start_Lng,State,County,City
A-3511658,34.904788,-111.641809,AZ,Coconino,Sedona
A-3511328,33.455890000000004,-111.85732,AZ,Maricopa,Scottsdale
A-3511222,33.301774,-111.97193,AZ,Maricopa,Chandler
A-3511749,33.3865,-111.62135,AZ,Maricopa,Mesa
A-3511285,33.390257,-110.882142,AZ,Gila,Miami
A-3511209,33.46209,-112.118289,AZ,Maricopa,Phoenix
A-3511527,32.879779,-111.631947,AZ,Pinal,Casa Grande
A-3511225,33.38628,-111.75981000000002,AZ,Maricopa,Mesa
A-3511589,33.407453000000004,-111.89106,AZ,Maricopa,Tempe
A-3511722,32.178062,-110.9456,AZ,Pima,Tucson
A-3511675,33.46175,-112.11712,AZ,Maricopa,Phoenix
A-3511642,32.241609999999994,-110.98629,AZ,Pima,Tucson
A-3511586,33.56754,-112.11724,AZ,Maricopa,Phoenix
A-3511366,33.385870000000004,-111.84627,AZ,Maricopa,Mesa
A-3511372,32.82134,-111.69089,AZ,Pinal,Casa Grande
A-3511308,33.47098,-112.11226,AZ,Maricopa,Phoenix
A-3511335,33.67822,-112.11276,AZ,Maricopa,Phoenix
A-3511162,33.67259,-111.97089,AZ,Maricopa,Phoenix
A-3511111,33.38548,-111.926571,AZ,Maricopa,Tempe
A-3511375,33.3857,-111.93489,AZ,Maricopa,Tempe
A-3511174,33.5531,-112.117,AZ,Maricopa,Phoenix
A-3511665,35.11522,-114.59808999999998,AZ,Mohave,Bullhead City
A-3511294,33.37266,-111.96784,AZ,Maricopa,Tempe
A-3511633,33.48425,-112.11319,AZ,Maricopa,Phoenix
A-3511636,33.49943,-111.888,AZ,Maricopa,Scottsdale
A-3511530,32.939264,-112.0491,AZ,Pinal,Maricopa
A-3511492,33.63875,-112.35065,AZ,Maricopa,Surprise
A-3511732,33.42645,-112.02957,AZ,Maricopa,Phoenix
A-3511408,33.28261,-111.81346,AZ,Maricopa,Chandler
A-3511383,33.56193,-111.88349,AZ,Maricopa,Scottsdale
A-3511172,33.60126,-112.11691,AZ,Maricopa,Phoenix
A-3511747,31.464340000000004,-110.82375,AZ,Santa Cruz,Nogales
A-3511397,33.50184,-112.04359,AZ,Maricopa,Phoenix
A-3511446,33.43954,-111.96676,AZ,Maricopa,Phoenix
A-3511512,33.6702,-112.03737,AZ,Maricopa,Phoenix
A-3511316,33.42955,-112.08599,AZ,Maricopa,Phoenix
A-3511101,31.769433000000006,-110.683198,AZ,Pima,Sonoita
A-3511477,33.3533,-111.97138,AZ,Maricopa,Phoenix
A-3511640,33.55603,-112.26193,AZ,Maricopa,Peoria
A-3511277,35.22598,-114.13225,AZ,Mohave,Golden Valley
A-3511069,33.28713,-111.86469,AZ,Maricopa,Chandler
A-3511435,33.38471,-111.96764,AZ,Maricopa,Tempe
A-3511440,32.68779,-114.5741,AZ,Yuma,Yuma
A-3511217,35.11067,-111.03604,AZ,Coconino,Flagstaff
A-3511720,34.604035,-114.363732,AZ,Mohave,Lake Havasu City
A-3511555,34.4542,-111.43879,AZ,Coconino,Sedona
A-3511363,34.12343,-112.95057,AZ,Yavapai,Congress
A-3511054,33.668890000000005,-112.077959,AZ,Maricopa,Phoenix
A-3511538,33.46213,-112.05922,AZ,Maricopa,Phoenix
A-3511248,33.38471,-111.96764,AZ,Maricopa,Tempe
A-3511634,33.3857,-111.93489,AZ,Maricopa,Tempe
A-3511279,34.517990000000005,-111.98975,AZ,Yavapai,Dewey
A-3511204,33.3533,-111.97138,AZ,Maricopa,Phoenix
