ID,Start_Lat,Start_Lng,State,County,City
A-147172,33.632896,-84.400795,GA,Clayton,Atlanta
A-146470,33.56702,-84.533951,GA,Fulton,Union City
A-3454779,33.74463,-84.39923,GA,Fulton,Atlanta
A-146397,31.483543,-84.116692,GA,Dougherty,Albany
A-146799,33.459499,-82.075989,GA,Richmond,Augusta
A-147779,33.759335,-84.37207,GA,Fulton,Atlanta
A-146945,33.79213,-84.391609,GA,Fulton,Atlanta
A-146382,31.575336,-84.176224,GA,Dougherty,Albany
A-147400,32.455952,-81.788589,GA,Bulloch,Statesboro
A-146893,33.716137,-84.31047099999998,GA,DeKalb,Decatur
A-147207,33.752410999999995,-84.34921999999997,GA,DeKalb,Atlanta
A-146472,33.754147,-84.378761,GA,Fulton,Atlanta
A-147566,33.908504,-84.42977900000002,GA,Fulton,Atlanta
A-3452631,33.69381,-84.5002,GA,Fulton,Atlanta
A-146814,33.79591,-84.393295,GA,Fulton,Atlanta
A-3451203,33.8035,-84.41,GA,Fulton,Atlanta
A-147242,33.772415,-84.38329300000002,GA,Fulton,Atlanta
A-146532,33.885162,-84.251266,GA,DeKalb,Atlanta
A-3448231,33.630976000000004,-84.48953900000002,GA,Fulton,Atlanta
A-3453410,33.70188,-84.09541999999998,GA,DeKalb,Lithonia
A-146508,33.69014,-84.50625600000002,GA,Fulton,Atlanta
A-146916,33.933186,-84.357956,GA,Fulton,Atlanta
A-146679,33.770008000000004,-84.646027,GA,Douglas,Lithia Springs
A-147671,33.716137,-84.31047099999998,GA,DeKalb,Decatur
A-147407,34.033669,-84.576927,GA,Cobb,Kennesaw
A-147821,33.583954,-84.5103,GA,Fulton,Atlanta
A-147230,33.89185,-84.25936899999998,GA,DeKalb,Atlanta
A-3450703,33.725,-84.39395,GA,Fulton,Atlanta
A-146777,33.490181,-83.22449499999998,GA,Greene,Greensboro
A-147493,33.864422,-84.288765,GA,DeKalb,Atlanta
A-146712,33.452,-82.046425,GA,Richmond,Augusta
A-146786,33.771091,-84.35946700000002,GA,Fulton,Atlanta
A-148232,33.744976,-84.390343,GA,Fulton,Atlanta
A-146543,33.718094,-85.009064,GA,Carroll,Temple
A-147286,34.1101,-84.44676199999998,GA,Cherokee,Woodstock
A-147826,33.470718,-82.07852199999998,GA,Richmond,Augusta
A-3449300,33.820115,-84.36022700000002,GA,Fulton,Atlanta
A-146393,33.698849,-84.265656,GA,DeKalb,Decatur
A-147906,33.742832,-84.403595,GA,Fulton,Atlanta
A-3447438,33.71134,-84.21434,GA,DeKalb,Decatur
A-3454551,33.61886,-84.43324,GA,Clayton,Atlanta
A-146698,33.768059,-84.44103199999998,GA,Fulton,Atlanta
A-3454168,32.414713,-83.639163,GA,Houston,Perry
A-146882,33.771286,-84.390045,GA,Fulton,Atlanta
A-147480,34.086735,-83.99353,GA,Gwinnett,Buford
A-147298,33.765018,-84.493874,GA,Fulton,Atlanta
A-3448975,33.98175,-84.34219,GA,Fulton,Atlanta
A-146921,33.397427,-84.591202,GA,Fayette,Peachtree City
A-147137,34.041721,-84.32441700000003,GA,Fulton,Roswell
A-3455075,34.03143,-83.88441,GA,Gwinnett,Dacula
A-148007,33.754379,-84.3787,GA,Fulton,Atlanta
A-3453169,33.8958,-84.45173,GA,Cobb,Atlanta
A-147193,33.681293,-84.407715,GA,Fulton,Atlanta
A-146319,33.98304,-83.926476,GA,Gwinnett,Dacula
A-147861,33.908504,-84.42977900000002,GA,Fulton,Atlanta
A-147208,33.840328,-84.313011,GA,DeKalb,Atlanta
A-3453915,31.393013,-84.481669,GA,Baker,Leary
A-147800,33.812988,-84.366623,GA,Fulton,Atlanta
A-147213,33.444733,-82.01003299999998,GA,Richmond,Augusta
A-146320,33.744240000000005,-84.387733,GA,Fulton,Atlanta
A-147809,33.831917,-84.35985600000002,GA,Fulton,Atlanta
A-147563,33.84338,-84.48767099999998,GA,Cobb,Smyrna
A-147221,33.69014,-84.50625600000002,GA,Fulton,Atlanta
A-3448755,33.7901,-84.39083000000002,GA,Fulton,Atlanta
A-3455210,33.89313,-84.46173,GA,Cobb,Atlanta
A-3448715,33.620973,-85.073949,GA,Carroll,Carrollton
A-148223,33.978096,-84.739861,GA,Paulding,Dallas
A-3446790,34.072520000000004,-84.27009,GA,Fulton,Alpharetta
