ID,Start_Lat,Start_Lng,State,County,City
A-3447499,35.222994,-80.84014499999998,NC,Mecklenburg,Charlotte
A-3447439,35.309168,-80.92482199999998,NC,Mecklenburg,Charlotte
A-3447125,35.20167,-80.76059000000002,NC,Mecklenburg,Charlotte
A-3445879,35.224148,-80.865806,NC,Mecklenburg,Charlotte
A-3452103,35.25232800000001,-80.809223,NC,Mecklenburg,Charlotte
A-3451993,36.01988,-79.73262,NC,Guilford,Greensboro
A-3445437,35.076734,-80.742723,NC,Mecklenburg,Charlotte
A-3449364,35.13711,-80.751341,NC,Mecklenburg,Charlotte
A-3447546,35.31115,-80.75713,NC,Mecklenburg,Charlotte
A-3452195,35.202011,-80.844752,NC,Mecklenburg,Charlotte
A-3447488,35.26387000000001,-80.854534,NC,Mecklenburg,Charlotte
A-3448322,35.343107,-80.967074,NC,Mecklenburg,Charlotte
A-3452430,35.179298,-80.802637,NC,Mecklenburg,Charlotte
A-3452911,35.063598,-80.778695,NC,Mecklenburg,Charlotte
A-3448314,35.18074,-80.8893,NC,Mecklenburg,Charlotte
A-3452325,35.23925999999999,-80.96755,NC,Mecklenburg,Charlotte
A-3449419,35.221489,-80.851798,NC,Mecklenburg,Charlotte
A-3449969,35.660349,-78.485947,NC,Johnston,Clayton
A-3455477,35.19532,-80.88384,NC,Mecklenburg,Charlotte
A-3446976,35.3843,-80.78681,NC,Mecklenburg,Huntersville
A-3446008,35.41083,-80.84294,NC,Mecklenburg,Huntersville
A-3455314,35.57230999999999,-80.55829,NC,Rowan,China Grove
A-3451115,35.184185,-80.886392,NC,Mecklenburg,Charlotte
A-3453160,35.725673,-78.64899799999998,NC,Wake,Garner
A-3446471,35.27164000000001,-80.85146999999998,NC,Mecklenburg,Charlotte
A-3445958,35.21665,-80.82323000000002,NC,Mecklenburg,Charlotte
A-3448323,35.209842,-80.814453,NC,Mecklenburg,Charlotte
A-3449420,35.17334,-80.70684,NC,Mecklenburg,Matthews
A-3446665,36.00283,-79.82798000000003,NC,Guilford,Greensboro
A-3452377,35.24682,-80.89502,NC,Mecklenburg,Charlotte
A-3455164,35.659151,-78.94985799999998,NC,Wake,New Hill
A-3452997,35.897305,-78.650368,NC,Wake,Raleigh
