ID,Start_Lat,Start_Lng,State,County,City
A-161618,41.256664,-95.954002,NE,Douglas,Omaha
A-161066,41.234093,-96.11953,NE,Douglas,Omaha
A-160980,41.234005,-96.130104,NE,Douglas,Omaha
A-161583,41.277481,-96.215813,NE,Douglas,Elkhorn
A-161585,41.223785,-96.004433,NE,Douglas,Omaha
A-161181,41.232357,-95.940964,NE,Douglas,Omaha
A-161170,41.176243,-95.986435,NE,Sarpy,Omaha
A-161175,41.277683,-96.100502,NE,Douglas,Omaha
A-161161,41.284477,-95.995056,NE,Douglas,Omaha
A-161029,41.324699,-96.071976,NE,Douglas,Omaha
A-161438,41.262913,-96.179382,NE,Douglas,Omaha
A-161094,41.288944,-96.056,NE,Douglas,Omaha
A-161598,41.257767,-96.072716,NE,Douglas,Omaha
A-161345,41.223858,-96.013672,NE,Douglas,Omaha
A-3427635,41.21799,-96.09101,NE,Douglas,Omaha
A-161073,41.23901400000001,-95.953903,NE,Douglas,Omaha
A-160936,41.292213,-96.119629,NE,Douglas,Omaha
A-161301,41.094444,-96.253387,NE,Sarpy,Gretna
A-160929,42.446793,-96.380684,NE,Dakota,South Sioux City
A-161420,41.216351,-96.215508,NE,Douglas,Omaha
A-160952,41.277523,-96.177231,NE,Douglas,Omaha
A-3427606,41.22327,-95.99726,NE,Douglas,Omaha
