ID,Start_Lat,Start_Lng,State,County,City
A-198296,40.922726,-74.079849,NJ,Bergen,Paramus
A-194999,40.483425,-74.479477,NJ,Middlesex,New Brunswick
A-3447277,39.85986,-75.13750999999998,NJ,Gloucester,Woodbury
A-231576,40.024586,-74.843857,NJ,Burlington,Mount Holly
A-197046,40.699791,-74.08049,NJ,Hudson,Jersey City
A-229680,39.569672,-75.238297,NJ,Salem,Elmer
A-230419,40.183823,-74.722023,NJ,Mercer,Trenton
A-196352,40.853786,-73.963249,NJ,Bergen,Fort Lee
A-198364,40.698299,-74.185783,NJ,Essex,Newark
A-196128,40.721687,-74.210365,NJ,Essex,Newark
A-3449932,40.801591,-74.07222,NJ,Bergen,East Rutherford
A-3451517,39.83827,-75.19819,NJ,Gloucester,Thorofare
A-3447346,39.567556,-75.238763,NJ,Salem,Elmer
A-198348,40.506519,-74.394424,NJ,Middlesex,Edison
A-197972,40.528336,-74.337547,NJ,Middlesex,Edison
A-197616,40.646641,-74.57551600000002,NJ,Somerset,Basking Ridge
A-197511,40.69281,-74.110023,NJ,Hudson,Bayonne
A-195828,40.742245,-74.166306,NJ,Essex,Newark
A-198343,40.552364,-74.31774899999998,NJ,Middlesex,Fords
A-3446177,39.87535,-75.0497,NJ,Camden,Barrington
A-231690,39.447372,-75.05596899999998,NJ,Cumberland,Vineland
A-3450934,40.6167,-74.25246,NJ,Union,Linden
A-3450456,40.91078,-74.50895,NJ,Morris,Rockaway
A-194375,40.879082,-74.12262,NJ,Passaic,Clifton
A-233542,39.849586,-75.175957,NJ,Gloucester,Thorofare
A-230412,40.097038,-74.729614,NJ,Burlington,Columbus
A-195868,40.909691,-74.56974,NJ,Morris,Wharton
A-3453395,40.48485,-74.40052,NJ,Middlesex,New Brunswick
A-3453509,40.79414000000001,-74.19218000000002,NJ,Essex,Bloomfield
A-232543,39.844967,-75.094734,NJ,Gloucester,Woodbury
A-196118,40.799252,-74.18903399999998,NJ,Essex,Bloomfield
A-3448053,40.89718,-74.70244,NJ,Morris,Netcong
A-194384,40.51688,-74.400253,NJ,Middlesex,Edison
A-232951,39.931427,-74.95285,NJ,Burlington,Mount Laurel
A-194426,40.730244,-74.035767,NJ,Hudson,Jersey City
A-3450730,40.89069,-74.00413,NJ,Bergen,Teaneck
A-229240,39.921715,-75.001869,NJ,Camden,Cherry Hill
A-3445350,39.917239,-75.08768,NJ,Camden,West Collingswood
A-194916,40.870392,-74.419151,NJ,Morris,Parsippany
A-197550,40.729542,-74.22330500000002,NJ,Essex,Irvington
A-3449341,40.85335,-73.962076,NJ,Bergen,Fort Lee
A-198222,40.797554,-74.25275400000002,NJ,Essex,West Orange
A-3453327,39.87363,-75.041,NJ,Camden,Barrington
A-3454760,39.968672,-75.003672,NJ,Burlington,Maple Shade
A-3453703,40.90142,-74.13597,NJ,Passaic,Paterson
A-229318,39.802788,-75.348541,NJ,Gloucester,Bridgeport
A-3446596,39.712522,-74.280001,NJ,Ocean,Manahawkin
