ID,Start_Lat,Start_Lng,State,County,City
A-3527246,45.574433,-122.546105,OR,Multnomah,Portland
A-3527857,42.31729,-122.85729,OR,Jackson,Medford
A-3524184,45.528671,-122.653017,OR,Multnomah,Portland
A-3525136,44.768879,-119.093575,OR,Grant,Long Creek
A-3526258,44.634138,-124.054854,OR,Lincoln,Newport
A-3525986,44.466837,-123.274163,OR,Benton,Corvallis
A-3525605,44.468477,-117.335927,OR,Baker,Huntington
A-3528094,45.409109,-122.626599,OR,Clackamas,Portland
A-3526079,45.45783,-122.78458,OR,Washington,Portland
A-3526554,45.54108,-122.47022,OR,Multnomah,Portland
A-3528420,44.04562,-122.902907,OR,Lane,Springfield
A-3526644,44.89145,-122.99369,OR,Marion,Salem
A-3528186,45.7462,-119.10798,OR,Umatilla,Echo
A-3525643,45.668619,-122.868681,OR,Multnomah,Portland
A-3525983,44.476951,-123.273106,OR,Benton,Corvallis
A-3526528,44.72541,-123.05404,OR,Linn,Albany
A-3524857,43.139325,-117.045035,OR,Malheur,Jordan Valley
A-3525546,44.643716,-123.234383,OR,Benton,Corvallis
A-3527291,45.53824,-122.66963,OR,Multnomah,Portland
A-3526470,45.4495,-122.78392,OR,Washington,Portland
A-3527559,44.714609,-119.10383,OR,Grant,Long Creek
A-3527596,45.28396,-121.72117,OR,Clackamas,Government Camp
A-3524398,45.56703,-122.67853,OR,Multnomah,Portland
A-3528934,45.529132,-122.601749,OR,Multnomah,Portland
A-3528078,45.53334,-122.57905,OR,Multnomah,Portland
A-3527228,42.57097,-123.37278,OR,Josephine,Grants Pass
A-3525812,43.83755,-121.4222,OR,Deschutes,Bend
A-3527558,44.727369,-119.10399,OR,Grant,Long Creek
A-3528293,43.80485,-123.04261,OR,Lane,Cottage Grove
A-3524120,45.49363,-122.56538,OR,Multnomah,Portland
A-3526051,42.18273,-122.66419,OR,Jackson,Ashland
A-3525154,44.803585,-117.812996,OR,Baker,Baker City
A-3525604,44.84541,-123.00903999999998,OR,Marion,Salem
A-3525836,45.902489,-123.756989,OR,Clatsop,Seaside
A-3527282,45.5205,-122.81052,OR,Washington,Portland
A-3524279,42.43065,-123.06436,OR,Jackson,Gold Hill
A-3527591,45.364596,-122.60393,OR,Clackamas,West Linn
A-3527295,45.15436,-122.87757,OR,Marion,Woodburn
A-3526052,44.79964,-117.81251,OR,Baker,Baker City
A-3524866,44.116638,-117.06264,OR,Malheur,Ontario
A-3527687,44.05891,-123.04951,OR,Lane,Springfield
A-3528496,44.962221,-121.46493,OR,Wasco,Maupin
A-3524395,45.59867,-122.68443,OR,Multnomah,Portland
A-3528798,44.26923,-121.200521,OR,Deschutes,Redmond
A-3529000,44.69802,-123.05214,OR,Linn,Albany
A-3526452,45.5445,-122.56081,OR,Multnomah,Portland
A-3528200,45.7462,-119.10798,OR,Umatilla,Echo
A-3527284,45.5205,-122.81052,OR,Washington,Portland
A-3526008,45.52989,-122.56394,OR,Multnomah,Portland
A-3528599,45.54573,-122.5328,OR,Multnomah,Portland
A-3528364,44.31319000000001,-123.29635,OR,Benton,Monroe
A-3527595,45.28177,-121.71377,OR,Clackamas,Government Camp
A-3528421,44.0509,-122.862806,OR,Lane,Springfield
A-3526847,44.62879,-123.06187,OR,Linn,Albany
A-3524823,45.22525200000001,-121.697647,OR,Wasco,Maupin
A-3528512,43.982616,-124.05078,OR,Lane,Florence
A-3525793,45.505394,-122.673318,OR,Multnomah,Portland
A-3528514,44.621727,-123.06185,OR,Linn,Albany
A-3527227,42.56379,-123.37185,OR,Josephine,Grants Pass
A-307824,46.093746,-123.131264,OR,Columbia,Clatskanie
A-3525124,42.391442,-122.484069,OR,Jackson,Eagle Point
A-3527327,43.72507,-123.20537,OR,Douglas,Cottage Grove
A-3525606,45.685712,-121.396891,OR,Wasco,Mosier
A-3524181,45.528399,-122.653573,OR,Multnomah,Portland
A-3524179,45.37680200000001,-122.095541,OR,Clackamas,Sandy
A-3528495,44.824692,-121.368772,OR,Jefferson,Warm Springs
A-3528365,44.22977,-123.20459,OR,Lane,Junction City
A-3525131,45.6373,-118.68272,OR,Umatilla,Pendleton
A-307711,46.096127,-122.973289,OR,Columbia,Rainier
A-3525087,42.39185,-122.485672,OR,Jackson,Eagle Point
A-3527125,45.597598,-118.624579,OR,Umatilla,Pendleton
A-3525091,45.358475,-122.761968,OR,Washington,Tualatin
A-3525491,45.50692,-122.747311,OR,Washington,Portland
A-3526578,45.04634,-122.97426000000002,OR,Marion,Salem
A-3524865,43.38593,-123.33789,OR,Douglas,Sutherlin
A-3527198,45.01044,-122.99405,OR,Marion,Salem
A-3526038,45.53596,-122.66753,OR,Multnomah,Portland
A-3525612,44.37062,-117.29574,OR,Baker,Huntington
A-3526009,45.52455,-122.56518,OR,Multnomah,Portland
A-3527843,42.0738,-122.60562,OR,Jackson,Ashland
A-3525466,45.376853,-122.11229,OR,Clackamas,Sandy
A-3524690,42.42088,-123.11995,OR,Jackson,Gold Hill
A-3527765,43.95211,-117.00588,OR,Malheur,Ontario
A-3527392,45.5055,-122.67672,OR,Multnomah,Portland
A-3524342,45.52858,-122.687,OR,Multnomah,Portland
A-3528676,45.575104,-122.678558,OR,Multnomah,Portland
A-307167,46.099831,-123.162994,OR,Columbia,Clatskanie
A-3527844,42.07623,-122.60351,OR,Jackson,Ashland
A-3527602,45.13791,-118.95729,OR,Umatilla,Pilot Rock
A-3525125,42.39185,-122.485672,OR,Jackson,Eagle Point
A-3528799,44.2692,-121.21277,OR,Deschutes,Redmond
A-3525329,45.366418,-122.585149,OR,Clackamas,Oregon City
A-3526656,45.55298,-122.67879,OR,Multnomah,Portland
A-3528233,44.049308,-116.977007,OR,Malheur,Ontario
A-3525607,45.657955,-121.214365,OR,Wasco,The Dalles
A-3526577,45.05241,-122.97143,OR,Marion,Salem
A-3526066,45.617216,-117.730836,OR,Union,Elgin
A-307947,46.169888,-123.487274,OR,Columbia,Clatskanie
A-3527311,45.41097,-122.57257,OR,Clackamas,Clackamas
A-3528216,44.80393,-117.81303,OR,Baker,Baker City
