ID,Start_Lat,Start_Lng,State,County,City
A-3511424,40.56188,-111.9772,UT,Salt Lake,South Jordan
A-3511614,40.764772,-111.986516,UT,Salt Lake,Salt Lake City
A-3511740,38.420938,-113.09991399999998,UT,Beaver,Milford
A-3511370,40.59451,-111.90263,UT,Salt Lake,Sandy
A-3511739,38.411774,-113.068537,UT,Beaver,Milford
A-3511185,40.72575,-111.99293,UT,Salt Lake,West Valley City
A-3511150,40.5935,-111.9027,UT,Salt Lake,Sandy
A-3511619,39.461284,-110.487694,UT,Emery,Green River
A-3511612,39.461284,-110.487694,UT,Emery,Green River
A-3511196,40.73646,-111.7452,UT,Salt Lake,Salt Lake City
A-3511071,40.64479,-111.938894,UT,Salt Lake,Salt Lake City
A-3511274,40.19373,-111.64806000000002,UT,Utah,Spanish Fork
A-3511147,40.7145,-111.82831000000002,UT,Salt Lake,Salt Lake City
A-3511223,40.593366,-112.294062,UT,Tooele,Tooele
A-3511203,40.65308,-111.972246,UT,Salt Lake,Salt Lake City
A-3511472,40.66928,-111.90125,UT,Salt Lake,Salt Lake City
A-3511343,40.558958,-111.901642,UT,Salt Lake,South Jordan
A-3511482,40.609294,-111.905825,UT,Salt Lake,Midvale
A-3511578,37.075546,-113.584929,UT,Washington,Saint George
A-3511426,41.179623,-111.996662,UT,Weber,Ogden
A-3511654,40.72409,-111.90919,UT,Salt Lake,West Valley City
A-3511613,39.475092,-110.503744,UT,Carbon,East Carbon
A-3511291,40.66928,-111.90125,UT,Salt Lake,Salt Lake City
A-3511419,39.25817,-112.10932,UT,Millard,Fillmore
A-3511301,40.52231,-111.944956,UT,Salt Lake,Riverton
A-3511656,37.836837,-112.875455,UT,Iron,Parowan
A-3511618,40.71172,-111.9039,UT,Salt Lake,Salt Lake City
A-3511591,37.12546,-113.53032,UT,Washington,Saint George
A-3511502,40.769883,-111.93923,UT,Salt Lake,Salt Lake City
A-3511252,40.76585,-111.94621399999998,UT,Salt Lake,Salt Lake City
A-3511682,40.72425,-111.92001,UT,Salt Lake,West Valley City
A-3511293,40.63598,-111.90204,UT,Salt Lake,Salt Lake City
A-3511361,40.63424000000001,-111.81355,UT,Salt Lake,Salt Lake City
A-3511684,40.90394000000001,-111.89159,UT,Davis,Bountiful
A-3511667,40.72803,-112.17087,UT,Salt Lake,Magna
A-3511509,40.776218,-111.94905,UT,Salt Lake,Salt Lake City
A-3511297,40.81384,-111.9228,UT,Salt Lake,Salt Lake City
A-3511731,40.25318,-111.69731000000002,UT,Utah,Provo
A-3511403,40.75089000000001,-111.6098,UT,Summit,Park City
A-3511073,40.62371,-111.92098,UT,Salt Lake,West Jordan
A-3511511,40.7679,-111.91254,UT,Salt Lake,Salt Lake City
A-3511202,40.65308,-111.978993,UT,Salt Lake,Salt Lake City
A-3511135,38.716074,-109.706169,UT,Grand,Thompson
A-3511292,40.720359,-111.986201,UT,Salt Lake,West Valley City
A-3511683,40.67177,-111.95277,UT,Salt Lake,Salt Lake City
A-3511727,40.71172,-111.9039,UT,Salt Lake,Salt Lake City
A-3511190,40.634448,-111.83426,UT,Salt Lake,Salt Lake City
A-3511763,39.886176,-110.747903,UT,Duchesne,Duchesne
A-3511418,38.871965,-110.764031,UT,Emery,Green River
A-3511194,40.74218,-111.73751,UT,Salt Lake,Salt Lake City
A-3511514,40.7259,-112.0187,UT,Salt Lake,West Valley City
A-3511709,41.24427,-111.97901,UT,Weber,Ogden
A-3511529,40.68061,-111.79821,UT,Salt Lake,Salt Lake City
A-3511045,40.6206,-111.897009,UT,Salt Lake,Midvale
A-3511653,40.72425,-111.92001,UT,Salt Lake,West Valley City
A-3511592,40.69942,-111.91693,UT,Salt Lake,South Salt Lake
A-3511072,40.71232,-111.93897,UT,Salt Lake,West Valley City
A-3511271,40.165345,-110.425112,UT,Duchesne,Talmage
A-3511524,40.71978,-111.84915,UT,Salt Lake,Salt Lake City
A-3511341,40.74233,-111.88823,UT,Salt Lake,Salt Lake City
A-3511184,40.81384,-111.9228,UT,Salt Lake,Salt Lake City
A-3511716,40.723423,-112.159084,UT,Salt Lake,Magna
A-3511075,40.71172,-111.9039,UT,Salt Lake,Salt Lake City
A-3511134,38.654199,-112.59726299999998,UT,Millard,Fillmore
A-3511290,40.96691,-111.89136,UT,Davis,Farmington
A-3511339,40.769956,-111.88826,UT,Salt Lake,Salt Lake City
