ID,Start_Lat,Start_Lng,State,County,City
A-3447247,38.78618400000001,-77.178195,VA,Fairfax County,Springfield
A-3451042,37.60702,-77.52555,VA,Henrico,Henrico
A-233154,38.89545800000001,-77.099319,VA,Arlington,Arlington
A-230318,38.872044,-78.52755,VA,Shenandoah,Woodstock
A-230032,38.7883,-77.326927,VA,Fairfax County,Fairfax Station
A-230184,38.910229,-77.217476,VA,Fairfax County,Falls Church
A-229077,38.903252,-77.493279,VA,Loudoun,Chantilly
A-232146,39.137543,-77.668503,VA,Loudoun,Hamilton
A-3452739,37.2063,-75.966347,VA,Northampton,Cape Charles
A-232305,38.854588,-77.388817,VA,Fairfax County,Fairfax
A-3445499,38.8,-77.166,VA,Fairfax County,Alexandria
A-232704,38.846519,-77.079269,VA,Arlington,Arlington
A-3447475,36.94165,-76.30483000000002,VA,Norfolk,Norfolk
A-230314,39.011105,-77.45681,VA,Loudoun,Ashburn
A-232176,38.868732,-77.308899,VA,Fairfax County,Fairfax
A-3450076,36.89167,-77.80481,VA,Brunswick,Dolphin
A-3449396,37.25454000000001,-77.39701,VA,Colonial Heights,Colonial Heights
A-232127,39.078957,-77.573708,VA,Loudoun,Leesburg
A-230930,38.932667,-77.52738199999997,VA,Loudoun,Chantilly
A-229127,38.801689,-77.518883,VA,Prince William,Manassas
A-3452575,37.603511,-77.45712900000002,VA,Henrico,Richmond
A-230239,39.11241500000001,-77.509895,VA,Loudoun,Leesburg
A-231045,38.836979,-77.447418,VA,Fairfax County,Centreville
A-229434,38.834785,-77.098129,VA,Alexandria,Alexandria
A-230933,38.979115,-77.429192,VA,Loudoun,Sterling
A-231634,38.76181,-78.633911,VA,Shenandoah,Mount Jackson
A-228808,38.85479,-77.387726,VA,Fairfax County,Fairfax
A-232463,39.146549,-77.959473,VA,Clarke,Berryville
A-230421,38.829964,-77.11344100000002,VA,Alexandria,Alexandria
A-229575,38.96825,-77.735023,VA,Loudoun,Middleburg
A-232982,38.656441,-77.279388,VA,Prince William,Woodbridge
A-233075,38.801548,-77.112083,VA,Fairfax County,Alexandria
A-3449905,39.000501,-77.345422,VA,Fairfax County,Herndon
A-232476,38.705372,-77.224007,VA,Fairfax County,Lorton
A-229780,38.834679,-77.09719799999998,VA,Arlington,Arlington
A-232296,39.089439,-77.518745,VA,Loudoun,Leesburg
A-231444,38.705372,-77.224007,VA,Fairfax County,Lorton
A-231562,38.841183,-77.44360400000002,VA,Fairfax County,Centreville
A-3449560,37.51754,-77.25697,VA,Henrico,Sandston
A-3446714,38.87125,-77.04451,VA,Arlington,Arlington
A-230372,38.794098,-77.056061,VA,Alexandria,Alexandria
