ID,Start_Lat,Start_Lng,State,County,City
A-3511670,39.110852,-108.539334,CO,Mesa,Grand Junction
A-3427333,39.29363,-102.73917,CO,Kit Carson,Vona
A-3511096,39.74539,-105.43974,CO,Clear Creek,Evergreen
A-3427152,37.66041,-104.79633,CO,Huerfano,Walsenburg
A-3511378,38.001325,-107.292451,CO,Hinsdale,Lake City
A-3511498,39.652135,-106.959658,CO,Eagle,Gypsum
A-3427292,40.07315,-104.319526,CO,Weld,Roggen
A-3425533,38.814617,-104.75764,CO,El Paso,Colorado Springs
A-3511256,40.197113,-107.826727,CO,Rio Blanco,Meeker
A-3511042,39.043055,-106.266127,CO,Chaffee,Granite
A-3511214,40.386068,-106.594818,CO,Jackson,Coalmont
A-3426814,40.43965,-104.99242,CO,Larimer,Loveland
A-3427138,39.50973,-104.76354,CO,Douglas,Parker
A-3427319,39.27857,-103.40266,CO,Lincoln,Genoa
A-3511412,39.62763,-106.06916,CO,Summit,Frisco
A-3426922,38.25875,-104.60549,CO,Pueblo,Pueblo
A-3425207,39.938176,-104.98794,CO,Adams,Thornton
A-3511439,38.45154,-107.32621,CO,Gunnison,Gunnison
A-3511671,39.324842,-108.206191,CO,Mesa,De Beque
A-3511400,39.60898,-106.4533,CO,Eagle,Vail
A-3511234,39.578352,-105.141691,CO,Jefferson,Littleton
A-3425399,39.13297,-104.86343,CO,Douglas,Larkspur
A-3511593,39.388903000000006,-107.083701,CO,Eagle,Basalt
A-3426851,39.75797,-104.76804,CO,Adams,Aurora
A-3511340,39.69917,-106.67575,CO,Eagle,Edwards
A-3511155,39.488213,-105.358212,CO,Jefferson,Conifer
A-3511182,39.589549,-107.184896,CO,Garfield,Glenwood Springs
A-3427816,40.22977,-104.97996,CO,Weld,Platteville
A-3511729,39.736382,-105.014249,CO,Denver,Denver
A-3511388,39.756722,-105.232276,CO,Jefferson,Golden
A-3511381,39.6884,-105.88272,CO,Clear Creek,Silver Plume
A-3425349,39.56344,-104.95408,CO,Douglas,Littleton
A-3511161,39.52518,-106.21529,CO,Summit,Frisco
A-3511199,39.64614,-106.31176,CO,Eagle,Vail
A-3425718,38.959,-104.776749,CO,El Paso,Colorado Springs
A-3426283,39.41947,-104.8728,CO,Douglas,Castle Rock
A-3427287,38.39906,-104.61774,CO,Pueblo,Pueblo
A-3427347,40.0917,-104.98065,CO,Weld,Erie
A-3427660,39.92158,-104.85308,CO,Adams,Brighton
A-3511496,39.662315,-106.824553,CO,Eagle,Eagle
A-3427103,39.26432,-104.89469,CO,Douglas,Castle Rock
A-3425550,39.66075,-104.83926,CO,Arapahoe,Aurora
A-3511354,39.516186,-106.385154,CO,Eagle,Vail
A-3426875,39.777078,-104.880457,CO,Denver,Denver
A-3511183,39.91378,-105.09049,CO,Broomfield,Broomfield
A-3511164,39.78395,-105.10566,CO,Jefferson,Wheat Ridge
A-3425814,39.83427,-104.98361,CO,Adams,Denver
A-3511355,39.64943,-106.587911,CO,Eagle,Silverthorne
A-3425536,40.32821,-104.98035,CO,Weld,Berthoud
A-3511206,39.653332,-105.2021,CO,Jefferson,Morrison
A-3511762,39.663974,-105.980156,CO,Summit,Dillon
A-3427048,39.678431,-104.933671,CO,Denver,Denver
A-3426366,39.52678,-104.86773,CO,Douglas,Parker
A-3511669,39.103848,-108.448131,CO,Mesa,Clifton
