percentage,n_points,sample_path,bottleneck_h0,bottleneck_h1,wasserstein_h0,wasserstein_h1,normalized_bottleneck_h0,normalized_bottleneck_h1,normalized_wasserstein_h0,normalized_wasserstein_h1
1,63,states/FL/samples/fps__pct01.csv,0.0424566945401,0.0607351824428448,1.3822305275103612,0.569291663791779,14.25906735751314,7.674135202862714,3.096689059892094,2.6554493981134195
2,126,states/FL/samples/fps__pct02.csv,0.0239436009906378,0.0377623767549227,0.9084970258264918,0.4089330941419022,8.041450777202181,4.771428571428577,2.035357159915073,1.907460108365377
3,190,states/FL/samples/fps__pct03.csv,0.023943600990637845,0.013680381998040884,0.6881302222359924,0.2946136955014962,8.041450777202195,1.728571428571434,1.5416569729634622,1.3742195963044344
4,253,states/FL/samples/fps__pct04.csv,0.0059550450917436,0.0136803819980408,0.5255199292221158,0.2462526902509033,2.0,1.728571428571423,1.1773519562677974,1.1486406699778104
5,316,states/FL/samples/fps__pct05.csv,0.0029775225458718,0.007914270577379,0.446357545357985,0.2143861841977617,1.0,1.0,1.0,1.0
6,379,states/FL/samples/fps__pct06.csv,0.0029775225458718,0.007914270577379,0.3727200660979841,0.1837001392915381,1.0,1.0,0.8350257993265408,0.8568655670557712
7,443,states/FL/samples/fps__pct07.csv,0.0029775225458718454,0.007914270577379024,0.31535029973811624,0.1572726588663057,1.0000000000000153,1.000000000000003,0.7064970739661204,0.7335951216018132
8,506,states/FL/samples/fps__pct08.csv,0.0029775225458718,0.0054551936479791,0.2830706234214886,0.1293143570423524,1.0,0.6892857142857147,0.6341790933420023,0.6031841908388353
9,569,states/FL/samples/fps__pct09.csv,0.0029775225458718454,0.005455193647979114,0.24980122041000022,0.12182061018079077,1.0000000000000153,0.6892857142857165,0.5596437721460632,0.5682297608712354
10,632,states/FL/samples/fps__pct10.csv,0.0021752884920618,0.0054551936479791,0.2192729068788761,0.1047777176729105,0.7305699481865349,0.6892857142857147,0.491249468412181,0.4887335350689283
11,696,states/FL/samples/fps__pct11.csv,0.0021752884920618145,0.005449463615267766,0.19688864590438898,0.09666561679971637,0.7305699481865396,0.6885617015475464,0.44110074524780696,0.4508948053786276
12,759,states/FL/samples/fps__pct12.csv,0.0021752884920618,0.0054494636152677,0.1785381423845143,0.0844152715577969,0.7305699481865349,0.688561701547538,0.3999890765626561,0.3937533189168924
13,822,states/FL/samples/fps__pct13.csv,0.0021752884920618145,0.005449463615267766,0.16138534118415787,0.0777351855897298,0.7305699481865396,0.6885617015475464,0.36156068797879193,0.36259419365392764
14,885,states/FL/samples/fps__pct14.csv,0.0021752884920618,0.0054494636152677,0.1470609746065078,0.0676856833412168,0.7305699481865349,0.688561701547538,0.329469001108882,0.3157184946152117
15,948,states/FL/samples/fps__pct15.csv,0.0021752884920618145,0.0028736921243904274,0.1323816477045355,0.05438947065313876,0.7305699481865396,0.3631025874455406,0.2965820765914544,0.2536985807022289
16,1012,states/FL/samples/fps__pct16.csv,0.0008408029987047,0.0016058867753946,0.1186365490167589,0.0451358347525683,0.28238341968910874,0.20291026945485455,0.2657881562674396,0.2105351840719946
17,1075,states/FL/samples/fps__pct17.csv,0.0006980979025943058,0.0016058867753946503,0.10517666608090799,0.041658059377861115,0.2344559585492264,0.2029102694548609,0.23563322088921973,0.19431317150284932
18,1138,states/FL/samples/fps__pct18.csv,0.0006980979025943,0.0016058867753946,0.0944164160174965,0.0386327888107154,0.23445595854922446,0.20291026945485455,0.21152642539463112,0.18020185841396558
19,1201,states/FL/samples/fps__pct19.csv,0.0006980979025943058,0.0016058867753946503,0.08676222403589486,0.03650872229107398,0.2344559585492264,0.2029102694548609,0.19437830711769494,0.17029419329277445
20,1265,states/FL/samples/fps__pct20.csv,0.0006903841136153,0.0007043363049976,0.0789751886683688,0.0322983365422906,0.23186528497407563,0.08899573221703748,0.17693257230597412,0.15065493451992606
21,1328,states/FL/samples/fps__pct21.csv,0.0003085515591577042,0.000577555770098076,0.07036375354513986,0.028322436170689892,0.10362694300518294,0.07297650041797629,0.1576398881948039,0.13210942802435305
22,1391,states/FL/samples/fps__pct22.csv,0.0003085515591577,0.000577555770098,0.0643310737189921,0.0266869565786031,0.10362694300518153,0.07297650041796669,0.1441245351132077,0.12448076669896588
23,1454,states/FL/samples/fps__pct23.csv,0.0003085515591577042,0.000577555770098076,0.05926477406014166,0.024416223126335592,0.10362694300518294,0.07297650041797629,0.13277421806012146,0.11388897665071884
24,1518,states/FL/samples/fps__pct24.csv,0.0003085515591577,0.0003081471334364,0.0534870773831181,0.0214951186026324,0.10362694300518153,0.038935632844947575,0.11983011811802288,0.10026354395488522
