percentage,n_points,sample_path,bottleneck_h0,bottleneck_h1,wasserstein_h0,wasserstein_h1,normalized_bottleneck_h0,normalized_bottleneck_h1,normalized_wasserstein_h0,normalized_wasserstein_h1
1,23,states/GA/samples/fps__pct01.csv,0.1626304783902805,0.11500511966054444,1.6735591489510038,0.6235638269747378,18.666666666666664,6.179310344827585,5.0376425315864175,3.0831455188702996
2,46,states/GA/samples/fps__pct02.csv,0.04685306639339033,0.16018570238432975,0.9733771551405006,0.6337322344494406,5.377777777777776,8.606896551724137,2.9299987150641997,3.133422136248471
3,68,states/GA/samples/fps__pct03.csv,0.024588179470911457,0.08984774973480034,0.608672867841123,0.4039505794733139,2.822222222222222,4.827586206896551,1.8321887988130439,1.9972909990474235
4,91,states/GA/samples/fps__pct04.csv,0.01142285502979351,0.01861131958792293,0.4509884074292539,0.2262561257692386,1.311111111111111,1.0,1.3575369498843732,1.1186995301936329
5,114,states/GA/samples/fps__pct05.csv,0.008712347056622171,0.01861131958792293,0.3322107788430115,0.20224923642372183,1.0,1.0,1.0,1.0
6,137,states/GA/samples/fps__pct06.csv,0.008712347056622171,0.017071072449612066,0.28562361677100595,0.17714888695333622,1.0,0.9172413793103448,0.859766253719237,0.8758939716449698
7,160,states/GA/samples/fps__pct07.csv,0.008712347056622171,0.01399057817299034,0.24077667530288596,0.1463994360786689,1.0,0.7517241379310345,0.7247708100906222,0.7238565577175039
8,183,states/GA/samples/fps__pct08.csv,0.004210967744034049,0.007380350871072885,0.1880606057181199,0.12034066698606162,0.48333333333333334,0.39655172413793094,0.5660882117464022,0.5950117247114949
9,205,states/GA/samples/fps__pct09.csv,0.004210967744034049,0.006321430963484167,0.16112607110575422,0.09837717160591636,0.48333333333333334,0.33965517241379306,0.48501156906138637,0.4864155402782905
10,228,states/GA/samples/fps__pct10.csv,0.004210967744034049,0.006321430963484167,0.1409215187507614,0.08351422419350613,0.48333333333333334,0.33965517241379306,0.4241930958457999,0.4129272657353318
11,251,states/GA/samples/fps__pct11.csv,0.004210967744034049,0.005679661322521307,0.12331677413913526,0.06980649078846425,0.48333333333333334,0.3051724137931034,0.3712004004463969,0.34515082490702864
12,274,states/GA/samples/fps__pct12.csv,0.004210967744034049,0.005679661322521307,0.10958916183301227,0.06554000963592506,0.48333333333333334,0.3051724137931034,0.3298784049532583,0.3240556592194771
13,297,states/GA/samples/fps__pct13.csv,0.004210967744034049,0.005679661322521307,0.09580414710263509,0.0640755195144793,0.48333333333333334,0.3051724137931034,0.28838362029158604,0.31681464240605595
14,319,states/GA/samples/fps__pct14.csv,0.0017787708573936932,0.005679661322521307,0.07609620145163293,0.06193717574416104,0.20416666666666666,0.3051724137931034,0.22906000135411836,0.3062418273580015
15,342,states/GA/samples/fps__pct15.csv,0.0017787708573936932,0.005679661322521307,0.06797683429962907,0.055124406213168234,0.20416666666666666,0.3051724137931034,0.20461959282709488,0.27255680757023953
16,365,states/GA/samples/fps__pct16.csv,0.0017787708573936932,0.0034013790971031558,0.062452109418263416,0.039105243325820827,0.20416666666666666,0.18275862068965515,0.1879894133350068,0.19335174766194652
17,388,states/GA/samples/fps__pct17.csv,0.0017787708573936932,0.0034013790971031558,0.05519619225437959,0.03654719757806866,0.20416666666666666,0.18275862068965515,0.16614810767612972,0.18070376049035128
18,411,states/GA/samples/fps__pct18.csv,0.0017787708573936932,0.0034013790971031558,0.05057615861325556,0.0355656133668626,0.20416666666666666,0.18275862068965515,0.15224117287643962,0.1758504209744008
19,434,states/GA/samples/fps__pct19.csv,0.0017787708573936932,0.0034013790971031558,0.04427526429300378,0.031918780606532755,0.20416666666666666,0.18275862068965515,0.13327461693808065,0.15781904135183672
20,456,states/GA/samples/fps__pct20.csv,0.0017787708573936932,0.0034013790971031558,0.03935134307163131,0.029600032366184158,0.20416666666666666,0.18275862068965515,0.11845293885008788,0.14635423544527343
21,479,states/GA/samples/fps__pct21.csv,0.0017787708573936932,0.0034013790971031558,0.0345232858487579,0.02747766285589715,0.20416666666666666,0.18275862068965515,0.1039198245432973,0.13586040343969524
22,502,states/GA/samples/fps__pct22.csv,0.0017787708573936932,0.0034013790971031558,0.031010125952129194,0.02619420552385495,0.20416666666666666,0.18275862068965515,0.0933447314988634,0.12951448414359812
23,525,states/GA/samples/fps__pct23.csv,0.0017787708573936932,0.0034013790971031558,0.02627492870287963,0.019435205627346394,0.20416666666666666,0.18275862068965515,0.07909113844646212,0.09609532263760298
24,548,states/GA/samples/fps__pct24.csv,0.0017787708573936932,0.0029040076253569395,0.023045789653630487,0.013625377289482377,0.20416666666666666,0.15603448275862067,0.06937098710009326,0.06736923970845832
25,570,states/GA/samples/fps__pct25.csv,0.0017787708573936932,0.0029040076253569395,0.021049891337253806,0.01310518686479536,0.20416666666666666,0.15603448275862067,0.06336305947255576,0.06479721306506872
26,593,states/GA/samples/fps__pct26.csv,0.0017787708573936932,0.0029040076253569395,0.01950740880900874,0.012699288798590195,0.20416666666666666,0.15603448275862067,0.058719975543680664,0.062790292923453
27,616,states/GA/samples/fps__pct27.csv,0.0017787708573936932,0.0029040076253569395,0.0175104594701308,0.012103177729447056,0.20416666666666666,0.15603448275862067,0.05270888419428887,0.05984288466775874
28,639,states/GA/samples/fps__pct28.csv,0.0017787708573936932,0.0029040076253569395,0.01648162560500524,0.011611591795640731,0.20416666666666666,0.15603448275862067,0.04961195317745469,0.057412289910029085
29,662,states/GA/samples/fps__pct29.csv,0.0017787708573936932,0.0029040076253569395,0.014792421752629755,0.01131808690623334,0.20416666666666666,0.15603448275862067,0.04452721794322037,0.055961085966828604
30,685,states/GA/samples/fps__pct30.csv,0.0008470337416160444,0.0007260019063392349,0.011969193648757434,0.00721832378056018,0.09722222222222222,0.03900862068965517,0.03602891420453748,0.03569023996430546
32,730,states/GA/samples/fps__pct32.csv,0.0006594762702582059,0.0007260019063392349,0.009164898867883187,0.006679372212438707,0.07569444444444443,0.03900862068965517,0.027587602364383616,0.033025450827636756
34,776,states/GA/samples/fps__pct34.csv,0.0005838482576139162,0.0007260019063392349,0.00641570553400809,0.0059757426652295755,0.06701388888888887,0.03900862068965517,0.019312153435695343,0.029546428806831726
36,822,states/GA/samples/fps__pct36.csv,0.0005838482576139162,0.0007260019063392349,0.005359242401879574,0.005352857636136959,0.06701388888888887,0.03900862068965517,0.016132054536412622,0.026466639532435447
38,867,states/GA/samples/fps__pct38.csv,0.0005838482576139162,0.0007260019063392349,0.004575431205005165,0.004313950712976883,0.06701388888888887,0.03900862068965517,0.013772675350691488,0.021329873918232996
40,913,states/GA/samples/fps__pct40.csv,0.0005838482576139162,0.0007260019063392349,0.003489890508504036,0.004005292329449747,0.06701388888888887,0.03900862068965517,0.010505048995274196,0.019803745122965347
42,958,states/GA/samples/fps__pct42.csv,0.0005838482576139162,0.0007260019063392349,0.0030455707230042503,0.003633964168700821,0.06701388888888887,0.03900862068965517,0.009167585511857989,0.017967752229667223
44,1004,states/GA/samples/fps__pct44.csv,0.00022839659818575482,0.0007260019061420593,0.0019141849882525093,0.002758492560646123,0.02621527777777778,0.039008620679060774,0.005761959304628917,0.013639075278716745
46,1050,states/GA/samples/fps__pct46.csv,0.00022839659818575482,0.0007260019061420593,0.0014958464886296922,0.002535694545429787,0.02621527777777778,0.039008620679060774,0.004502703054486275,0.012537474011112633
48,1095,states/GA/samples/fps__pct48.csv,0.00014142438364482166,0.00016846453070699718,0.0009094701492539408,0.0012997477479051282,0.016232638888888883,0.009051724135472667,0.002737629863851339,0.006426465537709593
50,1141,states/GA/samples/fps__pct50.csv,0.00014142438364482166,0.00016846453070699718,0.0005837222418784727,0.0008959523501361053,0.016232638888888883,0.009051724135472667,0.0017570839932147858,0.004429941818218004
52,1187,states/GA/samples/fps__pct52.csv,5.672100948321726e-05,0.00016846453070699718,0.00036558053900131136,0.000694883512016126,0.006510416666666667,0.009051724135472667,0.0011004475540333657,0.003435778173027619
54,1232,states/GA/samples/fps__pct54.csv,5.672100948321726e-05,3.635023356028957e-05,0.0002441598488764888,0.00027498755049720617,0.006510416666666667,0.0019531249994695482,0.000734954626477873,0.0013596469156555633
56,1278,states/GA/samples/fps__pct56.csv,1.1060596849227363e-05,3.1085716975695914e-05,7.935674212450271e-05,0.00016635112841800295,0.0012695312499999998,0.0016702586202360279,0.00023887467589365393,0.0008225055943820197
