percentage,n_points,sample_path,bottleneck_h0,bottleneck_h1,wasserstein_h0,wasserstein_h1,normalized_bottleneck_h0,normalized_bottleneck_h1,normalized_wasserstein_h0,normalized_wasserstein_h1
1,10,states/NC/samples/fps__pct01.csv,0.43851896721437733,0.10351396057152981,2.1517975448748787,0.3986605372339586,32.19505232436141,5.130351079907204,8.054167172897147,2.9601445294584727
2,19,states/NC/samples/fps__pct02.csv,0.08655262650439952,0.10486276773149926,0.8893425147545183,0.34013947966217595,6.354494440277639,5.197200558291852,3.328804470875136,2.5256124595646967
3,29,states/NC/samples/fps__pct03.csv,0.062001641101709276,0.11130466293989869,0.639443912037474,0.3087936488468326,4.552017651929655,5.516473281087765,2.3934352827512977,2.2928625860678986
4,39,states/NC/samples/fps__pct04.csv,0.04137932460023412,0.03537846202689721,0.43170417516513576,0.16357369404772476,3.037974683544304,1.7534246575342463,1.6158665132317804,1.2145716226598242
5,48,states/NC/samples/fps__pct05.csv,0.013620694347577064,0.02017677912471482,0.26716574149538797,0.1346760380334839,1.0,1.0,1.0,1.0
6,58,states/NC/samples/fps__pct06.csv,0.009224141108802188,0.013266923260086456,0.2139061026105151,0.07419057173717987,0.6772151898734177,0.6575342465753424,0.8006494448473579,0.5508817516500908
7,68,states/NC/samples/fps__pct07.csv,0.009224141108802188,0.013266923260086456,0.16432022887938608,0.06231340269971795,0.6772151898734177,0.6575342465753424,0.6150497738207303,0.4626910889985139
8,78,states/NC/samples/fps__pct08.csv,0.005732760595657435,0.003445250403723229,0.12235660585725264,0.03338770090037819,0.42088607594936706,0.17075323977269954,0.4579801480998074,0.24791122004997765
9,87,states/NC/samples/fps__pct09.csv,0.005732760595657435,0.003445250403723229,0.10329146203762118,0.03335114892061507,0.42088607594936706,0.17075323977269954,0.3866194125769089,0.2476398133446955
10,97,states/NC/samples/fps__pct10.csv,0.003168104539705425,0.003445250403723229,0.08247397835399553,0.029726631184984267,0.2325949367088608,0.17075323977269954,0.30869967793164554,0.22072695053290375
11,107,states/NC/samples/fps__pct11.csv,0.003168104539705425,0.003445250403723229,0.0694653706324984,0.030190133130568415,0.2325949367088608,0.17075323977269954,0.26000852595727575,0.2241685571642847
12,116,states/NC/samples/fps__pct12.csv,0.003168104539705425,0.002931775583937556,0.06554676347237604,0.02356762906742905,0.2325949367088608,0.14530443961426842,0.24534119945729477,0.17499496875286408
13,126,states/NC/samples/fps__pct13.csv,0.003168104539705425,0.002931775583937556,0.060609754513875826,0.02276586714880016,0.2325949367088608,0.14530443961426842,0.22686200024984163,0.16904170542305366
14,136,states/NC/samples/fps__pct14.csv,0.003168104539705425,0.002931775583937556,0.04962468600212543,0.021403367742329905,0.2325949367088608,0.14530443961426842,0.18574494515788093,0.15892483959922019
15,146,states/NC/samples/fps__pct15.csv,0.003168104539705425,0.002931775583937556,0.04237764279699956,0.020592722326721612,0.2325949367088608,0.14530443961426842,0.15861929961454702,0.15290561429793276
16,155,states/NC/samples/fps__pct16.csv,0.0018318971828228648,0.002931775583937556,0.035683527697493625,0.02001410843702065,0.13449367088607597,0.14530443961426842,0.13356326113432332,0.14860927548258163
17,165,states/NC/samples/fps__pct17.csv,0.0018318971828228648,0.002931775583937556,0.03251418227799704,0.01804591385601445,0.13449367088607597,0.14530443961426842,0.12170041748619302,0.13399498618698433
18,175,states/NC/samples/fps__pct18.csv,0.0018318971828228648,0.002931775583937556,0.029487173851500004,0.016763392665972425,0.13449367088607597,0.14530443961426842,0.11037034047274746,0.12447197668381525
19,184,states/NC/samples/fps__pct19.csv,0.0018318971828228648,0.002931775583937556,0.027402106378874084,0.015861289292544087,0.13449367088607597,0.14530443961426842,0.10256594361798861,0.11777365538924277
20,194,states/NC/samples/fps__pct20.csv,0.0017780178539163098,0.002931775583937556,0.02371175349625416,0.015426538274918418,0.1305379746835443,0.14530443961426842,0.08875297170787705,0.114545530891568
21,204,states/NC/samples/fps__pct21.csv,0.0017780178539175686,0.002931775583937556,0.021158552530751284,0.013583397479740309,0.13053797468363673,0.14530443961426842,0.07919635359055398,0.10085979420008724
22,213,states/NC/samples/fps__pct22.csv,0.0017780178539175686,0.002931775583937556,0.018884167083251607,0.012943873434091683,0.13053797468363673,0.14530443961426842,0.07068334052694253,0.09611118371980548
23,223,states/NC/samples/fps__pct23.csv,0.0017780178539175686,0.002931775583937556,0.017014285402746666,0.012536431300844992,0.13053797468363673,0.14530443961426842,0.06368438298830459,0.09308583385656262
24,233,states/NC/samples/fps__pct24.csv,0.0017780178539175686,0.002931775583937556,0.01568231035912123,0.01221747554509151,0.13053797468363673,0.14530443961426842,0.05869880723233353,0.09071751533152418
25,242,states/NC/samples/fps__pct25.csv,0.0017780178539175686,0.002931775583937556,0.014291956500124863,0.011564509807918563,0.13053797468363673,0.14530443961426842,0.053494719869881156,0.08586909725576668
26,252,states/NC/samples/fps__pct26.csv,0.0017780178539175686,0.002931775583937556,0.013345730834250214,0.011258080234980063,0.13053797468363673,0.14530443961426842,0.04995300205614349,0.08359378846726258
27,262,states/NC/samples/fps__pct27.csv,0.00022629318140769054,0.002933274114203161,0.010713412587122339,0.009193152848169728,0.016613924050644675,0.14537870965788352,0.04010024835952735,0.06826123624073405
28,272,states/NC/samples/fps__pct28.csv,0.00022629318140769054,0.002933274114203161,0.009818815221746935,0.008788551632530043,0.016613924050644675,0.14537870965788352,0.036751775009732805,0.06525698083236592
29,281,states/NC/samples/fps__pct29.csv,0.00022629318140769054,0.002933274114203161,0.009243085273248174,0.008528801681687672,0.016613924050644675,0.14537870965788352,0.03459682076568839,0.06332827878087113
30,291,states/NC/samples/fps__pct30.csv,0.00022629318140769054,0.002933274114203161,0.008673957800373968,0.008455601955503609,0.016613924050644675,0.14537870965788352,0.03246657955403951,0.06278475428124289
32,310,states/NC/samples/fps__pct32.csv,0.00022629318140769054,0.002933274114203161,0.007617645047498835,0.008188860300851416,0.016613924050644675,0.14537870965788352,0.028512806338346852,0.060804137249831004
34,330,states/NC/samples/fps__pct34.csv,0.00022629318140769054,0.002933274114203161,0.006424875584748826,0.007787742355064401,0.016613924050644675,0.14537870965788352,0.02404827635754241,0.05782574590684179
