ID,Start_Lat,Start_Lng,State,County,City
A-3453201,35.948426,-76.957116,NC,Bertie,Windsor
A-3454694,35.460099,-83.016202,NC,Haywood,Waynesville
A-3449237,34.860544,-79.999125,NC,Anson,Morven
A-3446733,34.0172,-78.27306999999998,NC,Brunswick,Supply
A-3452198,36.49108,-80.74635,NC,Surry,Mount Airy
A-3449773,36.07728,-78.76953,NC,Granville,Creedmoor
A-3446465,35.27275,-81.1599,NC,Gaston,Gastonia
A-3453068,34.97247,-78.86533,NC,Cumberland,Fayetteville
A-3454071,35.175479,-77.678461,NC,Lenoir,Kinston
A-3453774,36.03153,-79.80945,NC,Guilford,Greensboro
A-3453229,35.62336,-82.19896,NC,McDowell,Old Fort
A-3451548,35.97305,-77.87994,NC,Nash,Rocky Mount
A-3454676,35.63115999999999,-80.49382,NC,Rowan,Salisbury
A-3454043,35.4381,-78.42283,NC,Johnston,Four Oaks
A-3453373,35.72677,-81.55781999999998,NC,Burke,Valdese
A-3454161,36.43272,-78.29321999999998,NC,Warren,Manson
A-3449671,34.34767,-77.88231999999998,NC,New Hanover,Castle Hayne
A-3453566,36.07257,-79.268,NC,Alamance,Mebane
A-3455139,35.151633000000004,-80.62956,NC,Mecklenburg,Charlotte
A-3455163,35.65614799999999,-78.955211,NC,Wake,New Hill
A-3446142,36.09228,-80.25072,NC,Forsyth,Winston Salem
A-3454705,35.53349,-82.60233000000002,NC,Buncombe,Asheville
A-3445666,35.80904,-80.86654899999998,NC,Iredell,Statesville
A-3453605,34.959908,-78.45796899999998,NC,Sampson,Roseboro
A-3450955,35.83471,-78.330337,NC,Wake,Zebulon
A-3455042,34.62236,-79.0549,NC,Robeson,Lumberton
A-3450713,35.24807,-82.33309,NC,Polk,Saluda
A-3445922,35.45044199999999,-80.79633199999998,NC,Mecklenburg,Davidson
A-3446416,35.75371,-78.64465,NC,Wake,Raleigh
A-3449033,35.773307,-79.616247,NC,Randolph,Ramseur
A-3448457,36.31894000000001,-80.44131,NC,Stokes,Pinnacle
