ID,Start_Lat,Start_Lng,State,County,City
A-3425245,41.032445,-103.686372,NE,Kimball,Kimball
A-161629,40.998852,-95.891747,NE,Cass,Plattsmouth
A-160929,42.446793,-96.380684,NE,Dakota,South Sioux City
A-3425396,40.900272,-96.64339,NE,Lancaster,Lincoln
A-3426140,41.32918,-96.34691,NE,Douglas,Valley
A-160988,41.343349,-95.962334,NE,Douglas,Omaha
A-161287,41.147312,-96.138885,NE,Sarpy,Omaha
A-160961,41.368233,-96.166649,NE,Douglas,Bennington
A-161412,41.161812,-95.96711,NE,Sarpy,Bellevue
A-160942,41.203243,-96.287498,NE,Douglas,Elkhorn
A-3426478,41.26343,-96.07108,NE,Douglas,Omaha
A-161301,41.094444,-96.253387,NE,Sarpy,Gretna
A-161215,41.262585,-96.188698,NE,Douglas,Omaha
A-161607,41.365112,-96.06221,NE,Douglas,Omaha
A-161601,41.252388,-95.941483,NE,Douglas,Omaha
A-161465,41.08130300000001,-95.928032,NE,Sarpy,Bellevue
A-161597,41.10355,-96.061935,NE,Sarpy,Papillion
A-161441,41.190777,-96.042976,NE,Douglas,Omaha
A-161316,41.27763,-96.293236,NE,Douglas,Waterloo
A-161242,41.284992,-96.005951,NE,Douglas,Omaha
A-160852,41.378712,-96.234261,NE,Douglas,Bennington
A-161288,41.213051,-96.117188,NE,Douglas,Omaha
A-161417,41.197548,-96.189774,NE,Douglas,Omaha
A-161068,41.29208,-96.138893,NE,Douglas,Omaha
A-3427606,41.22327,-95.99726,NE,Douglas,Omaha
A-160948,41.147114,-96.2342,NE,Sarpy,Gretna
A-161146,41.148502,-95.915443,NE,Sarpy,Bellevue
A-161308,41.403976,-96.098244,NE,Douglas,Omaha
A-160920,41.143555,-96.023659,NE,Sarpy,Papillion
A-161304,41.202084,-95.933678,NE,Douglas,Omaha
A-161430,41.310974,-96.053017,NE,Douglas,Omaha
A-3425395,40.950524,-96.64358,NE,Lancaster,Lincoln
A-160951,41.29966,-95.933609,NE,Douglas,Omaha
A-161300,41.248264,-96.330376,NE,Douglas,Waterloo
A-161414,41.273834,-96.234596,NE,Douglas,Elkhorn
A-161250,41.233429,-96.154655,NE,Douglas,Omaha
A-161375,41.341389,-96.023376,NE,Douglas,Omaha
A-161085,41.118561,-95.94738,NE,Sarpy,Bellevue
A-160895,41.234203,-96.043213,NE,Douglas,Omaha
A-161531,41.176785,-96.099541,NE,Sarpy,La Vista
A-161088,41.14481,-96.063477,NE,Sarpy,Papillion
A-161581,41.233891,-96.21534,NE,Douglas,Omaha
A-161479,41.307358,-95.975792,NE,Douglas,Omaha
A-161132,41.257847,-95.978607,NE,Douglas,Omaha
A-161083,41.183575,-96.138885,NE,Sarpy,Omaha
A-160877,41.212517,-96.081451,NE,Douglas,Omaha
A-161065,41.248642,-96.119568,NE,Douglas,Omaha
A-161274,41.164654,-96.177391,NE,Sarpy,Omaha
A-161520,41.335468,-96.079384,NE,Douglas,Omaha
A-160860,41.196201,-95.967415,NE,Douglas,Omaha
A-160888,41.29020300000001,-96.092392,NE,Douglas,Omaha
A-161368,41.279621,-96.043388,NE,Douglas,Omaha
A-161381,41.292126,-96.177383,NE,Douglas,Omaha
A-161323,41.125645,-96.258232,NE,Sarpy,Gretna
A-160896,41.248726,-96.015518,NE,Douglas,Omaha
A-3425106,41.224892,-95.951761,NE,Douglas,Omaha
A-161448,41.212448,-96.023972,NE,Douglas,Omaha
A-161299,41.310501,-96.32515,NE,Douglas,Valley
A-160971,41.312901,-96.024048,NE,Douglas,Omaha
A-160863,41.176273,-96.066887,NE,Sarpy,La Vista
A-3427722,41.24011,-96.0861,NE,Douglas,Omaha
A-161572,41.234169,-96.1884,NE,Douglas,Omaha
A-161619,41.393158,-96.175995,NE,Washington,Bennington
A-161551,41.172909,-96.023689,NE,Sarpy,Papillion
A-161535,41.158836,-95.939011,NE,Sarpy,Bellevue
A-161021,41.265724,-96.138763,NE,Douglas,Omaha
A-161177,41.098972,-95.963692,NE,Sarpy,Bellevue
