ID,Start_Lat,Start_Lng,State,County,City
A-230606,39.046383,-74.901123,NJ,Cape May,Cape May Court House
A-198251,41.346992,-74.686195,NJ,Sussex,Montague
A-3454902,40.17014,-74.10580999999998,NJ,Monmouth,Belmar
A-3447755,40.00693,-75.03882,NJ,Burlington,Palmyra
A-196509,40.979057,-74.009064,NJ,Bergen,Emerson
A-197909,40.644226,-74.716179,NJ,Somerset,Bedminster
A-3453413,39.59365,-74.43674,NJ,Ocean,Tuckerton
A-230514,39.674576,-75.48640400000002,NJ,Salem,Pennsville
A-233365,40.927914,-75.090874,NJ,Warren,Columbia
A-3452290,40.19159000000001,-74.59206999999998,NJ,Mercer,Trenton
A-230065,39.496475,-74.99587199999998,NJ,Cumberland,Vineland
A-196581,40.606724,-74.261658,NJ,Union,Rahway
A-196145,41.018269,-74.364014,NJ,Passaic,West Milford
A-232588,40.578148,-75.100319,NJ,Hunterdon,Milford
A-3445863,39.2589,-74.64477,NJ,Cape May,Marmora
A-194361,40.981148,-74.77109499999997,NJ,Sussex,Andover
A-233604,39.715897,-75.195122,NJ,Gloucester,Mullica Hill
A-3446317,39.444924,-75.273954,NJ,Cumberland,Bridgeton
A-231917,39.768772,-74.89666,NJ,Camden,Atco
A-194500,40.77306,-74.47953000000003,NJ,Morris,Morristown
A-232440,39.581753000000006,-74.708771,NJ,Atlantic,Egg Harbor City
A-3449704,40.26194,-74.84617,NJ,Mercer,Trenton
A-196477,40.438477,-74.507675,NJ,Middlesex,North Brunswick
A-3447766,40.014505,-74.310946,NJ,Ocean,Lakehurst
A-196446,40.728828,-74.031837,NJ,Hudson,Jersey City
A-3447395,39.36249,-74.44045,NJ,Atlantic,Atlantic City
A-196365,40.411842,-74.14157900000002,NJ,Monmouth,Holmdel
A-195570,40.786282,-74.916229,NJ,Warren,Port Murray
A-195496,41.153648,-74.576187,NJ,Sussex,Hamburg
A-232010,40.028999,-74.818947,NJ,Burlington,Mount Holly
A-196251,40.870018,-74.186584,NJ,Passaic,Clifton
A-3454853,39.9493,-74.11511999999998,NJ,Ocean,Toms River
A-3455343,40.502163,-74.854196,NJ,Hunterdon,Flemington
A-3446525,39.71006,-74.27814000000002,NJ,Ocean,Manahawkin
A-196150,41.098862,-74.161278,NJ,Bergen,Mahwah
A-194748,40.930168,-74.590179,NJ,Morris,Wharton
A-229318,39.802788,-75.348541,NJ,Gloucester,Bridgeport
A-194451,41.141544,-74.84021800000002,NJ,Sussex,Newton
A-196287,40.820007,-74.721581,NJ,Morris,Chester
A-3453489,39.851516,-75.096956,NJ,Gloucester,Woodbury
A-198406,40.608334,-74.48919699999998,NJ,Middlesex,Green Brook
A-196649,40.859127,-74.349289,NJ,Morris,Parsippany
A-231307,39.646,-75.337746,NJ,Salem,Pilesgrove
A-198083,40.49411,-74.64846,NJ,Somerset,Hillsborough
A-3453399,40.33676,-74.63169,NJ,Mercer,Princeton
A-198215,40.943085,-74.943161,NJ,Warren,Blairstown
A-3446830,39.34878,-74.99877,NJ,Cumberland,Millville
