percentage,n_points,sample_path,bottleneck_h0,bottleneck_h1,wasserstein_h0,wasserstein_h1,normalized_bottleneck_h0,normalized_bottleneck_h1,normalized_wasserstein_h0,normalized_wasserstein_h1
1,2,states/OR/samples/fps__pct01.csv,6.68885273912525,0.19020153001099233,7.863637735800749,0.3686605293239323,9.33534652314163,0.9911442473134564,2.1967879848138576,0.6274994196870188
2,4,states/OR/samples/fps__pct02.csv,2.200023646275623,0.30188388115385417,7.174064733086504,0.7818831263423058,3.070479183516068,1.5731233715365456,2.0041486825074917,1.330848216766282
3,6,states/OR/samples/fps__pct03.csv,1.142585409685251,0.19020153001099233,4.264130397023139,0.3686605293239323,1.5946577309597776,0.9911442473134564,1.1912286319107883,0.6274994196870188
4,8,states/OR/samples/fps__pct04.csv,0.7165082434320013,0.31530809447171904,4.012933498695883,0.7029048102222348,1.0,1.643077234704426,1.1210541978119837,1.1964187251576037
5,10,states/OR/samples/fps__pct05.csv,0.7165082434320013,0.19190095743030605,3.5796070399880056,0.5875073629674606,1.0,1.0,1.0,1.0
6,12,states/OR/samples/fps__pct06.csv,0.7165082434320013,0.15845033182318846,3.4858320667547598,0.5371462270852918,1.0,0.8256880733944953,0.9738029978749958,0.9142799919514232
7,14,states/OR/samples/fps__pct07.csv,0.4724690042050097,0.3519586474254654,3.2057232176977557,0.7318849856725715,0.6594048408179248,1.8340640512608624,0.8955517133267503,1.2457460651656673
8,16,states/OR/samples/fps__pct08.csv,0.24108037425625112,0.35050831062297055,2.758413164915008,0.778369262906399,0.3364655975226478,1.826506315114488,0.7705910548561918,1.3248672475778134
9,18,states/OR/samples/fps__pct09.csv,0.24108037425625112,0.1544832924597537,2.5703359796333807,0.6722769559570474,0.3364655975226478,0.8050157462912004,0.7180497610268398,1.1442868606129821
10,20,states/OR/samples/fps__pct10.csv,0.18927286369524726,0.1544832924597537,2.262871271162498,0.6725172914816882,0.26416006435410927,0.8050157462912004,0.632156336124001,1.1446959372302128
11,22,states/OR/samples/fps__pct11.csv,0.1799954296442504,0.1544832924597537,2.112048504637504,0.7349845640728231,0.2512119452835472,0.8050157462912004,0.5900224468897516,1.25102187717353
12,24,states/OR/samples/fps__pct12.csv,0.1515590622907489,0.19083230245028396,1.8986591320352424,0.7784212965755685,0.21152452003175354,0.9944312160067769,0.5304099334997409,1.3249558144153535
13,26,states/OR/samples/fps__pct13.csv,0.12731306848100035,0.19029954675146948,1.719303598976249,0.6633716506489226,0.1776854204372915,0.9916550146477608,0.48030512281650056,1.1291290840990935
14,28,states/OR/samples/fps__pct14.csv,0.12731306848100035,0.14860536257462353,1.6089203768651283,0.44848286698259865,0.1776854204372915,0.7743857277449673,0.4494684357505676,0.7633655256971444
