ID,Start_Lat,Start_Lng,State,County,City
A-3524858,42.97521,-117.05312,OR,Malheur,Jordan Valley
A-3525836,45.902489,-123.756989,OR,Clatsop,Seaside
A-3527843,42.0738,-122.60562,OR,Jackson,Ashland
A-3528242,45.823486,-119.562475,OR,Morrow,Irrigon
A-3528799,44.2692,-121.21277,OR,Deschutes,Redmond
A-3528216,44.80393,-117.81303,OR,Baker,Baker City
A-3528512,43.982616,-124.05078,OR,Lane,Florence
A-3525788,45.569249,-122.162321,OR,Multnomah,Corbett
A-3526525,44.72133,-123.05407,OR,Linn,Albany
A-3527559,44.714609,-119.10383,OR,Grant,Long Creek
A-307545,45.962139,-118.402565,OR,Umatilla,Milton Freewater
A-3528233,44.049308,-116.977007,OR,Malheur,Ontario
A-3527903,43.1545,-123.36498,OR,Douglas,Roseburg
A-3525663,42.741383,-121.838766,OR,Klamath,Chiloquin
A-3525607,45.657955,-121.214365,OR,Wasco,The Dalles
A-3526067,45.60481,-117.629736,OR,Wallowa,Wallowa
A-307711,46.096127,-122.973289,OR,Columbia,Rainier
A-3527197,43.92233,-123.01187,OR,Lane,Creswell
A-3528496,44.962221,-121.46493,OR,Wasco,Maupin
A-3528152,42.43794000000001,-123.28689,OR,Josephine,Grants Pass
A-3526259,44.63598,-124.05312,OR,Lincoln,Newport
A-3525091,45.358475,-122.761968,OR,Washington,Tualatin
A-3526612,45.37076,-118.2957,OR,Union,La Grande
A-3528198,45.720187,-119.01828799999998,OR,Umatilla,Echo
A-3525605,44.468477,-117.335927,OR,Baker,Huntington
A-3526582,44.765772,-121.00313,OR,Jefferson,Madras
A-3525812,43.83755,-121.4222,OR,Deschutes,Bend
A-3528364,44.31319000000001,-123.29635,OR,Benton,Monroe
A-3527447,45.690655,-121.730778,OR,Hood River,Cascade Locks
A-3527560,45.13791,-118.95729,OR,Umatilla,Pilot Rock
