ID,Start_Lat,Start_Lng,State,County,City
A-3511578,37.075546,-113.584929,UT,Washington,Saint George
A-3511057,41.297864,-111.96889,UT,Weber,Ogden
A-3511135,38.716074,-109.706169,UT,Grand,Thompson
A-3511417,38.87592,-111.96007,UT,Sevier,Salina
A-3511271,40.165345,-110.425112,UT,Duchesne,Talmage
A-3511740,38.420938,-113.09991399999998,UT,Beaver,Milford
A-3511275,40.143644,-111.64666,UT,Utah,Spanish Fork
A-3511418,38.871965,-110.764031,UT,Emery,Green River
A-3511223,40.593366,-112.294062,UT,Tooele,Tooele
A-3511613,39.475092,-110.503744,UT,Carbon,East Carbon
A-3511656,37.836837,-112.875455,UT,Iron,Parowan
A-3511404,40.75285,-111.62586,UT,Salt Lake,Park City
A-3511434,39.47947,-111.98281,UT,Juab,Nephi
A-3511134,38.654199,-112.59726299999998,UT,Millard,Fillmore
A-3511268,37.36576,-113.259591,UT,Washington,Hurricane
A-3511763,39.886176,-110.747903,UT,Duchesne,Duchesne
A-3511301,40.52231,-111.944956,UT,Salt Lake,Riverton
A-3511290,40.96691,-111.89136,UT,Davis,Farmington
A-3511433,39.68853,-111.83093,UT,Juab,Nephi
A-3511419,39.25817,-112.10932,UT,Millard,Fillmore
