ID,Start_Lat,Start_Lng,State,County,City
A-3451019,36.68768,-83.1014,VA,Lee,Jonesville
A-3447067,37.759879,-75.61762,VA,Accomack,Parksley
A-3448340,36.580641,-79.262394,VA,Pittsylvania,Ringgold
A-230430,39.290592,-78.08500699999998,VA,Frederick,Clear Brook
A-3455152,37.26237,-81.12097,VA,Bland,Rocky Gap
A-3451553,37.39283,-77.50950999999998,VA,Chesterfield,Richmond
A-3451604,38.273384,-79.301202,VA,Augusta,West Augusta
A-3446474,36.78559,-76.40599,VA,Chesapeake,Chesapeake
A-229169,38.765934,-77.053528,VA,Fairfax County,Alexandria
A-3453434,36.67975,-82.03761,VA,Washington,Abingdon
A-3448277,37.33928,-80.00220999999998,VA,Roanoke County,Roanoke
A-3454860,36.598146,-78.155126,VA,Mecklenburg,Bracey
A-3447872,38.258384,-78.00451600000002,VA,Culpeper,Rapidan
A-3451667,37.769804,-76.472004,VA,Lancaster,Lancaster
